task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
lesion,resampling_floor,1.0,0.8766783722371411,0.8766783722371411,0.0,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,0.950195373069528,0.8805887253540683,0.8766783722371411,0.003910353116927223,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,0.9290924309458328,0.8468048244152728,0.8766783722371411,-0.02987354782186824,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,0.9121685606060606,0.8334980562693549,0.8766783722371411,-0.043180315967786154,20170222CH_Exp3_zfp_M03
lesion,axis0_+30deg,0.7984555984555984,0.715237772506495,0.8766783722371411,-0.16144059973064606,20170222CH_Exp3_zfp_M03
lesion,axis1_+5deg,0.9563870647999009,0.8822020384108715,0.8766783722371411,0.005523666173730457,20170222CH_Exp3_zfp_M03
lesion,axis1_+10deg,0.9491270884174958,0.8904781938017109,0.8766783722371411,0.013799821564569825,20170222CH_Exp3_zfp_M03
lesion,axis1_+20deg,0.9287559985234404,0.8736154110767114,0.8766783722371411,-0.0030629611604297002,20170222CH_Exp3_zfp_M03
lesion,axis1_+30deg,0.8394211630534187,0.7541197391819798,0.8766783722371411,-0.12255863305516124,20170222CH_Exp3_zfp_M03
lesion,axis2_+5deg,0.945461156223488,0.8603125211391464,0.8766783722371411,-0.01636585109799471,20170222CH_Exp3_zfp_M03
lesion,axis2_+10deg,0.9496981891348089,0.8662307587522136,0.8766783722371411,-0.01044761348492751,20170222CH_Exp3_zfp_M03
lesion,axis2_+20deg,0.9307122921975488,0.8579557000609632,0.8766783722371411,-0.018722672176177846,20170222CH_Exp3_zfp_M03
lesion,axis2_+30deg,0.9207029575653665,0.8620312072269367,0.8766783722371411,-0.014647165010204355,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,0.9999590315047728,0.897489539748954,0.8974504249291785,3.9114819775476484e-05,20170222CH_Exp3_zfp_M08
lesion,axis0_+5deg,0.9577900912646675,0.8962260063260973,0.8974504249291785,-0.001224418603081201,20170222CH_Exp3_zfp_M08
lesion,axis0_+10deg,0.954454146681425,0.8972435450104675,0.8974504249291785,-0.0002068799187109338,20170222CH_Exp3_zfp_M08
lesion,axis0_+20deg,0.909294859397362,0.8497621781203871,0.8974504249291785,-0.04768824680879136,20170222CH_Exp3_zfp_M08
lesion,axis0_+30deg,0.7318954611373384,0.6756075491209927,0.8974504249291785,-0.22184287580818574,20170222CH_Exp3_zfp_M08
lesion,axis1_+5deg,0.9659531090723751,0.9004336513443192,0.8974504249291785,0.002983226415140705,20170222CH_Exp3_zfp_M08
lesion,axis1_+10deg,0.9568926623190189,0.9037353813929132,0.8974504249291785,0.0062849564637347255,20170222CH_Exp3_zfp_M08
lesion,axis1_+20deg,0.9515481171548117,0.9048361934477379,0.8974504249291785,0.007385768518559432,20170222CH_Exp3_zfp_M08
lesion,axis1_+30deg,0.9024086055031569,0.8463605175050635,0.8974504249291785,-0.05108990742411501,20170222CH_Exp3_zfp_M08
