task,transform,stage,relative_l2,cosine,subject
lesion,resampling_floor,input,1.8748411321212188e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level0,1.8436099708196707e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level1,1.970329503819812e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level2,2.320995190530084e-05,0.9999998211860657,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level3,6.321469072645414e-07,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level4,4.187736067251535e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level4,4.187736067251535e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level3,6.741012475686148e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level2,0.00015834126679692417,0.9999998807907104,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level1,0.00017023498367052525,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level0,0.00022646717843599617,0.9999998807907104,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,output_logits,6.889166979817674e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,query_mask_embedding,1.0326764368073782e-06,0.9999999403953552,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,input,0.13355621695518494,0.9913369417190552,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,encoder_level0,0.3933401107788086,0.9206163883209229,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,encoder_level1,0.2532457113265991,0.9674748182296753,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,encoder_level2,0.2788761258125305,0.9603387117385864,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,encoder_level3,0.23929759860038757,0.9709463119506836,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,encoder_level4,0.18064889311790466,0.9836663007736206,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,canvas_level4,0.18064889311790466,0.9836663007736206,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,canvas_level3,0.30875641107559204,0.9511865377426147,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,canvas_level2,0.3233301639556885,0.9462997913360596,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,canvas_level1,0.2428218275308609,0.9700831174850464,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,canvas_level0,0.2061031609773636,0.9785891175270081,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,output_logits,0.08105839788913727,0.9967231750488281,20170222CH_Exp3_zfp_M03
lesion,axis0_+5deg,query_mask_embedding,0.03118598647415638,0.9995329976081848,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,input,0.13506865501403809,0.9911438822746277,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,encoder_level0,0.42191281914711,0.9075490236282349,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,encoder_level1,0.26514938473701477,0.9642348885536194,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,encoder_level2,0.31908443570137024,0.9477595090866089,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,encoder_level3,0.2535647749900818,0.9673221111297607,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,encoder_level4,0.2546064555644989,0.9673503041267395,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,canvas_level4,0.2546064555644989,0.9673503041267395,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,canvas_level3,0.36026903986930847,0.9328886270523071,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,canvas_level2,0.3941875994205475,0.9195114374160767,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,canvas_level1,0.2920067310333252,0.9565165638923645,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,canvas_level0,0.2467769980430603,0.969246506690979,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,output_logits,0.10057570040225983,0.9949591159820557,20170222CH_Exp3_zfp_M03
lesion,axis0_+10deg,query_mask_embedding,0.033143769949674606,0.9994752407073975,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,input,0.13660071790218353,0.9909565448760986,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,encoder_level0,0.49704238772392273,0.8678176999092102,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,encoder_level1,0.3353947103023529,0.9420878887176514,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,encoder_level2,0.386120468378067,0.922813355922699,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,encoder_level3,0.275239497423172,0.9613851308822632,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,encoder_level4,0.34842729568481445,0.9374706149101257,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,canvas_level4,0.34842729568481445,0.9374706149101257,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,canvas_level3,0.43394237756729126,0.901623010635376,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,canvas_level2,0.48673903942108154,0.8756282329559326,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,canvas_level1,0.3746834099292755,0.9275197982788086,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,canvas_level0,0.3316759467124939,0.9439277052879333,20170222CH_Exp3_zfp_M03
lesion,axis0_+20deg,output_logits,0.1864994764328003,0.982527494430542,20170222CH_Exp3_zfp_M03
