transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,15,0.9999643080869285,0.9998126990073047,2.6336115711426504e-05,-7.259328306852275e-05
axis0_+5deg,15,0.8742011031397428,0.46095398902490503,-0.024448278365732958,-0.083825478669249
axis0_+10deg,15,0.8471555092136306,0.44384407564646855,-0.048404220187686225,-0.18597672516206465
axis0_+20deg,15,0.733902673458368,0.1906792567773378,-0.1243684931646123,-0.4894963910642315
axis0_+30deg,15,0.5874901852265537,0.1059034978570441,-0.24477512443845761,-0.6430136833308677
axis1_+5deg,15,0.8867157814985572,0.6404040404040404,-0.028018493090552217,-0.20777433479902685
axis1_+10deg,15,0.8548245035873668,0.5117085862966175,-0.038955807847753085,-0.3268577627087182
axis1_+20deg,15,0.752692710196652,0.2666158826890116,-0.1109073790549995,-0.5149187797963725
axis1_+30deg,15,0.6652052983574986,0.1532717626252702,-0.18224208712881887,-0.6122430501072289
axis2_+5deg,15,0.8989372794421722,0.6062958171625701,-0.028879720216390032,-0.0909202107114887
axis2_+10deg,15,0.8849374392050087,0.5926966292134831,-0.03763809951650947,-0.11903338960713516
axis2_+20deg,15,0.8283713376076565,0.3302162478082992,-0.06217488336026095,-0.2466743881601713
axis2_+30deg,15,0.776461894538809,0.2503008423586041,-0.09155216647820717,-0.35223360676207155
