transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,15,1.868445777593782e-06,7.383197022805393e-08,0.999999996026357
resampling_floor,encoder_level0,15,1.9036409867112525e-05,3.7317332890396923e-07,0.9999999880790711
resampling_floor,encoder_level1,15,2.0325939840404316e-05,6.423060526197504e-07,0.999999996026357
resampling_floor,encoder_level2,15,2.2775738155663324e-05,5.371825503172371e-07,0.9999999682108561
resampling_floor,encoder_level3,15,6.498989023384638e-07,4.2655992681067163e-08,0.9999999880790711
resampling_floor,encoder_level4,15,4.5180515068447375e-06,4.87689291124516e-07,0.9999999642372132
resampling_floor,canvas_level4,15,4.5180515068447375e-06,4.87689291124516e-07,0.9999999642372132
resampling_floor,canvas_level3,15,7.164317163793991e-05,2.5561200582460716e-06,0.9999999880790711
resampling_floor,canvas_level2,15,0.00016150621134632578,2.165446785617322e-06,0.9999999602635702
resampling_floor,canvas_level1,15,0.00017377567710354924,3.972432327695159e-06,0.9999999880790711
resampling_floor,canvas_level0,15,0.0002275926381116733,1.314620201355685e-06,0.9999999403953552
resampling_floor,output_logits,15,6.896316238756602e-05,4.1660471903282933e-07,0.999999984105428
resampling_floor,query_mask_embedding,15,1.628590943406986e-06,7.136864135397886e-07,0.999999996026357
axis0_+5deg,input,15,0.12959516694148382,0.005711235821604614,0.991825807094574
axis0_+5deg,encoder_level0,15,0.3920897682507833,0.004355769628715555,0.921113375822703
axis0_+5deg,encoder_level1,15,0.2552881419658661,0.002697952567094592,0.966923979918162
axis0_+5deg,encoder_level2,15,0.2776362438996633,0.003565635796543616,0.9606901009877523
axis0_+5deg,encoder_level3,15,0.2330547700325648,0.006543404276608249,0.9724404573440552
axis0_+5deg,encoder_level4,15,0.16883715192476909,0.007329200024531816,0.9858648141225179
axis0_+5deg,canvas_level4,15,0.16883715192476909,0.007329200024531816,0.9858648141225179
axis0_+5deg,canvas_level3,15,0.3046359300613403,0.005791670315508629,0.952527626355489
axis0_+5deg,canvas_level2,15,0.3219034512837728,0.004163244815981108,0.9467761198679606
