domain,role,subject,slice,baseline_dice,unetr_style_dice,path
CAMRI,worst_dice,064,53,0.9873471741637831,0.9826753925702619,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/worst_dice_064.png
CAMRI,median_dice,007,1,0.9879251379174042,0.9877208970871392,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/median_dice_007.png
CAMRI,best_dice,043,0,0.9893833432090006,0.9883809889915242,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/best_dice_043.png
CAMRI,largest_improvement,007,1,0.9879251379174042,0.9877208970871392,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/largest_improvement_007.png
CAMRI,largest_regression,078,51,0.9902644832412222,0.9836113448999665,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/largest_regression_078.png
CAMRI,largest_hd95_improvement,064,53,0.9873471741637831,0.9826753925702619,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/largest_hd95_improvement_064.png
CAMRI,previously_pixelated,099,1,0.9893460194024758,0.988369183789991,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/previously_pixelated_099.png
CAMRI,high_curvature,064,53,0.9873471741637831,0.9826753925702619,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/camri/high_curvature_064.png
Mouse,worst_dice,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.9616361059855552,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/worst_dice_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_dice,POLYIC_20190524_polyic___E4_P1_7,16,0.9789330210944218,0.9807730154008101,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/median_dice_POLYIC_20190524_polyic___E4_P1_7.png
Mouse,best_dice,POLYIC_20190531_polyic_m__E3_P1_2,8,0.9820229914044932,0.9835287760977298,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/best_dice_POLYIC_20190531_polyic_m__E3_P1_2.png
Mouse,largest_improvement,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.9616361059855552,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/largest_improvement_POLYIC_20190510_mouse43__E9_P1.png
Mouse,largest_regression,POLYIC_20190517_mouse37__E3_P1,23,0.9742176125116561,0.9673153785813007,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/largest_regression_POLYIC_20190517_mouse37__E3_P1.png
Mouse,largest_hd95_improvement,POLYIC_20190510_mouse43__E2_P1_1,0,0.9722420109912477,0.9773878597818773,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/largest_hd95_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,previously_pixelated,POLYIC_20190517_mouse39__E12_P1,17,0.9763518471575521,0.9718772149467088,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,29,0.9810138170360435,0.9818268567192918,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_augmented_decoder/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
