epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.092825743236712,55.08754634857178,0.9139907566478043,False,0.9101973297269773,0.9656076836513253,0.863425233732824,9407.333333333334,46316.833333333336,0.8936249717968309,0.9177841835686312,0.8924777183418697,0.9447789926604816,9873.8,4779.3,1.0588524089578522
2,0.3244460869048323,54.23484992980957,0.9491997087349842,False,0.9450789887057619,0.9738862443535128,0.9192769837194711,7545.666666666667,27716.0,0.9437706629013504,0.9533204287642063,0.9552095460908312,0.9515639828178669,3868.8,4191.1,0.9962537704443275
3,0.260739305721862,53.35551619529724,0.9546288359385797,False,0.9536536068197939,0.9628564346000344,0.9454579523957326,11437.0,19215.5,0.9817847727591493,0.9556040650573656,0.9361515767953511,0.975994229552019,5773.5,2076.6,1.0427808312186877
4,0.23813789098390512,53.48868227005005,0.9626689467045102,False,0.9613513021937704,0.9641095811368174,0.9591859390096705,11184.5,14453.0,0.9948319705076484,0.9639865912152501,0.9574388037543953,0.9707042609562064,3738.3,2534.3,1.0139250639456587
5,0.214249351727111,53.15662097930908,0.9662355916016394,False,0.9660641732614507,0.9661446137721371,0.9665113432171323,10441.0,11990.666666666666,1.0003933808483436,0.9664070099418283,0.9553454674712508,0.9778036774078748,3963.5,1920.2,1.0236067988640913
6,0.21283076251191752,53.9691321849823,0.9690904125135498,False,0.9669478076730486,0.9785753331348168,0.9564637105572019,6301.5,15454.666666666666,0.9774668624424256,0.9712330173540511,0.9728011429974593,0.9697402956416645,2352.9,2617.7,0.9969230619743653
7,0.1943415142595768,53.88226318359375,0.9679462982788023,False,0.967181219441085,0.979822552768889,0.9559498943177337,5806.166666666667,15794.833333333334,0.9757375317449535,0.9687113771165196,0.9759158552635967,0.9616845880652948,2056.5,3315.4,0.9854394683634485
8,0.18882779963314533,52.8726806640625,0.9711256794547414,False,0.9712803048896502,0.9820769886885766,0.9613605134298905,5344.166666666667,13589.666666666666,0.9789266133561578,0.9709710540198326,0.9757387147838678,0.9663063708587236,2082.1,2915.8,0.9903633509037734
9,0.17484467516520194,53.19890737533569,0.9733459316924762,False,0.9713322471911617,0.9804140136909821,0.9631492852368129,5819.833333333333,13195.166666666666,0.9823954293732072,0.9753596161937906,0.9788190228927253,0.9719781387929671,1824.1,2424.7,0.9930509925612914
10,0.16544615184622152,52.862366676330566,0.9752511115720581,True,0.9733602243287561,0.9852770952800848,0.9621997194435172,4588.166666666667,13121.333333333334,0.9765171728318833,0.97714199881536,0.9768909731980948,0.9774303468150117,2003.2,1953.2,1.0005878152964782
11,0.17044622424457753,54.13781499862671,0.9718648618326808,False,0.9721366457528728,0.9901266848388279,0.9554776771430857,2983.0,15343.5,0.9649949571735394,0.9715930779124887,0.9902539949356889,0.9536940836912674,814.3,4007.3,0.9630939775406924
12,0.16413432798747504,54.0249969959259,0.9766906315239423,True,0.975809221836354,0.9828231124562278,0.9692365899073785,5423.333333333333,10674.0,0.9861535092460342,0.9775720412115307,0.9758536137178705,0.97932744246555,2098.0,1789.4,1.0035904069639863
13,0.1565705186554364,53.81726789474487,0.9774383237144024,True,0.9765001432435726,0.9799989054673027,0.9733439206280208,6311.166666666667,9419.333333333334,0.9931588998873934,0.9783765041852321,0.974685298734489,0.9821305290474376,2209.4,1547.2,1.007681261544143
14,0.1561042114294001,53.815967321395874,0.9742490015700636,True,0.9743187705356978,0.9903236457195134,0.9593817375571708,2920.3333333333335,14043.833333333334,0.9687431343668264,0.9741792326044292,0.9892467911755738,0.9596023724323872,903.1,3496.3,0.970038165471785
15,0.14986607911331312,53.28236484527588,0.9780388882296116,True,0.9770137004693112,0.9832675423498908,0.9712186797847653,5140.0,10197.333333333334,0.9877311553158906,0.9790640759899121,0.9832223326849047,0.9749706838581205,1442.1,2166.7,0.9916347564319757
16,0.14943320689988987,54.53279948234558,0.9770696693912563,True,0.9756215955582742,0.986215210155753,0.9657601425164314,4198.0,12077.166666666666,0.9792128773239662,0.9785177432242383,0.9852060343663244,0.9719532712838514,1264.8,2426.8,0.986569039946762
17,0.15886534697243146,53.92311096191406,0.978247794086047,True,0.9778560795461096,0.9797324467593245,0.9762895264694692,6128.333333333333,8462.5,0.9964934953948429,0.9786395086259845,0.9750517333215127,0.9822898953115982,2178.0,1533.2,1.007476049903155
18,0.1514327452917184,53.49230742454529,0.9777006025872628,True,0.9757752212537741,0.9867835693368424,0.9654225524693182,4018.6666666666665,12128.166666666666,0.9782960862504266,0.9796259839207513,0.9845567192822393,0.9747738364092641,1324.3,2182.9,0.9900870414316936
19,0.1547644981848342,53.30272388458252,0.9789324276209981,True,0.9793960669640188,0.9815454411285586,0.9774860425647801,5548.833333333333,7938.166666666667,0.9958876224126727,0.9784687882779775,0.9839334922457776,0.9731043931708927,1379.2,2327.4,0.9890327708275223
20,0.1499266085614051,53.65681171417236,0.976760502648861,True,0.9757781131309663,0.9892335289912483,0.9632589187981612,3145.0,13024.666666666666,0.9737379907905224,0.9777428921667559,0.9898757866333453,0.9659322308791536,856.5,2948.5,0.9758250842269005
21,0.1566342921661479,53.535884380340576,0.9807203402287648,True,0.9804908525645654,0.9810438346434522,0.9801425953498096,5816.833333333333,7026.333333333333,0.9991013688218757,0.980949827892964,0.9791449038400591,0.9827875065981576,1812.4,1490.7,1.003754652997113
22,0.14463038609496184,53.4720721244812,0.9806191919703507,True,0.9812783175755136,0.9873299890175944,0.975509675609052,3778.5,8474.166666666666,0.9880516713663662,0.9799600663651878,0.9864470358716286,0.9735867197231226,1159.1,2286.9,0.9869834260785124
23,0.1396311635949782,54.59793996810913,0.9808821249720856,True,0.9807529556229234,0.9867419241798254,0.9750654460517273,4089.8333333333335,8716.666666666666,0.9881574860735305,0.9810112943212479,0.9849236300902202,0.9771554695308595,1295.9,1977.7,0.9921306121057706
24,0.14391807839274406,53.48794484138489,0.9785943739251847,True,0.9805098870323139,0.9768027910405213,0.9843809569305743,7331.0,5539.0,1.0077712753070425,0.9766788608180554,0.9681954558898749,0.985344607581067,2805.2,1269.4,1.0177891225830442
25,0.1541615700615304,54.464988231658936,0.9788510910383615,True,0.9796135728289107,0.9875643592295286,0.9720918375929996,3731.0,9749.166666666666,0.9843450479702147,0.9780886092478124,0.9878339879492752,0.9685694405647952,1033.8,2720.9,0.9805117069644144
26,0.14205769170075655,53.55396127700806,0.9795430722533583,True,0.9773155445866107,0.991727012398322,0.9637735578339807,2417.0,12643.5,0.9718165053439399,0.981770599920106,0.9859553895369959,0.9776451825729436,1206.6,1934.8,0.991592890767117
