domain,role,subject,slice,baseline_dice,unetr_style_dice,path
CAMRI,worst_dice,064,53,0.9873471741637831,0.9855688697437471,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/worst_dice_064.png
CAMRI,median_dice,009,0,0.9887403479144617,0.9890007200085789,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/median_dice_009.png
CAMRI,best_dice,043,0,0.9893833432090006,0.9897551017333464,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/best_dice_043.png
CAMRI,largest_improvement,043,0,0.9893833432090006,0.9897551017333464,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/largest_improvement_043.png
CAMRI,largest_regression,064,53,0.9873471741637831,0.9855688697437471,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/largest_regression_064.png
CAMRI,largest_hd95_improvement,064,53,0.9873471741637831,0.9855688697437471,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/largest_hd95_improvement_064.png
CAMRI,previously_pixelated,099,1,0.9893460194024758,0.9891228837544384,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/previously_pixelated_099.png
CAMRI,high_curvature,064,53,0.9873471741637831,0.9855688697437471,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/camri/high_curvature_064.png
Mouse,worst_dice,POLYIC_20190510_mouse43__E9_P1,0,0.9531438429585958,0.9559227593962862,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/worst_dice_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_dice,POLYIC_20190510_mouse39__E4_P1,6,0.9793219226819717,0.981186216320082,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/median_dice_POLYIC_20190510_mouse39__E4_P1.png
Mouse,best_dice,POLYIC_20190531_polyic_m__E3_P1_2,8,0.9820229914044932,0.9837929284385045,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/best_dice_POLYIC_20190531_polyic_m__E3_P1_2.png
Mouse,largest_improvement,POLYIC_20190510_mouse43__E2_P1_1,1,0.9722420109912477,0.9782216814976654,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/largest_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,largest_regression,POLYIC_20190524_polyic___E9_P1_1,4,0.9730556274894258,0.9716772342430999,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/largest_regression_POLYIC_20190524_polyic___E9_P1_1.png
Mouse,largest_hd95_improvement,POLYIC_20190510_mouse43__E2_P1_1,1,0.9722420109912477,0.9782216814976654,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/largest_hd95_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,previously_pixelated,POLYIC_20190517_mouse39__E12_P1,0,0.9763518471575521,0.9794147583551962,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,8,0.9810138170360435,0.98021061286717,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_style_level0_decoder/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
