domain,subject,baseline_dice,unetr_style_dice,dice_change,baseline_hd95_mm,unetr_style_hd95_mm,hd95_change_mm,baseline_assd_mm,unetr_style_assd_mm
CAMRI,064,0.9873471741637831,0.9855688697437471,-0.0017783044200360143,0.20000000298023224,0.20000000298023224,0.0,0.03804505576516614,0.1064434696526144
CAMRI,007,0.9879251379174042,0.9882432163152,0.0003180783977957402,0.10000000149011612,0.10000000149011612,0.0,0.011416409673941138,0.011235360677619407
CAMRI,043,0.9893833432090006,0.9897551017333464,0.0003717585243457888,0.10000000149011612,0.10000000149011612,0.0,0.009655559352078538,0.009102997561716942
CAMRI,078,0.9902644832412222,0.9887179863685865,-0.0015464968726356387,0.20000000298023224,0.20000000298023224,0.0,0.027812486582450602,0.03291086885753811
CAMRI,009,0.9887403479144617,0.9890007200085789,0.0002603720941171117,0.10000000149011612,0.10000000149011612,0.0,0.010032371806573922,0.009658629251268383
CAMRI,099,0.9893460194024758,0.9891228837544384,-0.00022313564803744246,0.10000000149011612,0.10000000149011612,0.0,0.009939829553465519,0.017631209661182402
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9749279593539092,0.9753582530896959,0.00043029373578673535,0.20000000298023224,0.20000000298023224,0.0,0.03470856034128311,0.03461176829424059
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9777070505673854,0.9787842603648885,0.0010772097975031425,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.028407452406270656,0.027229681146382752
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9810286870127125,0.9826975572778374,0.0016688702651248555,0.10000000149011612,0.10000000149011612,0.0,0.02421230213200227,0.021611109747123537
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9800141178712329,0.9808499850492076,0.0008358671779746807,0.10000000149011612,0.10000000149011612,0.0,0.02443820450517168,0.022772186234775896
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9793219226819717,0.981186216320082,0.0018642936381102482,0.10000000149011612,0.10000000149011612,0.0,0.025302355629467813,0.021540549541302176
Mouse,POLYIC_20190510_mouse42__E2_P1,0.9796471947842393,0.9799115338217039,0.0002643390374645893,0.10000000149011612,0.10000000149011612,0.0,0.026509234064009596,0.025923117393763424
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9722420109912477,0.9782216814976654,0.005979670506417678,0.20000000298023224,0.10000000149011612,-0.10000000149011612,0.030568430214321523,0.023666334298633063
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9531438429585958,0.9559227593962862,0.0027789164376904596,0.4000000059604645,0.4472135488519456,0.04721354289148111,0.08674332226720438,0.08867876178160754
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9780392619016323,0.9785795121419124,0.000540250240280149,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.02924265948764805,0.02854794655016958
