domain,role,subject,slice,baseline_dice,paper_width_dice,path
CAMRI,worst_dice,007,1,0.9879251379174042,0.9874416241198248,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/worst_dice_007.png
CAMRI,median_dice,009,0,0.9887403479144617,0.9897615389650645,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/median_dice_009.png
CAMRI,best_dice,078,51,0.9902644832412222,0.9906775466276708,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/best_dice_078.png
CAMRI,largest_improvement,064,52,0.9873471741637831,0.989495494905652,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/largest_improvement_064.png
CAMRI,largest_regression,043,1,0.9893833432090006,0.988697199531042,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/largest_regression_043.png
CAMRI,largest_hd95_improvement,064,52,0.9873471741637831,0.989495494905652,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/largest_hd95_improvement_064.png
CAMRI,previously_pixelated,099,1,0.9893460194024758,0.9904450151702365,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/previously_pixelated_099.png
CAMRI,high_curvature,064,52,0.9873471741637831,0.989495494905652,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/camri/high_curvature_064.png
Mouse,worst_dice,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.9639868980823635,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/worst_dice_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_dice,POLYIC_20190614_polyic___E3_P1_1,2,0.9810156980712353,0.9819491817728893,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/median_dice_POLYIC_20190614_polyic___E3_P1_1.png
Mouse,best_dice,POLYIC_20190531_polyic_m__E3_P1_2,8,0.9820229914044932,0.9842542712673298,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/best_dice_POLYIC_20190531_polyic_m__E3_P1_2.png
Mouse,largest_improvement,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.9639868980823635,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/largest_improvement_POLYIC_20190510_mouse43__E9_P1.png
Mouse,largest_regression,POLYIC_20190629_polyic_mo__E4_P1_4,8,0.9810138170360435,0.9795116330066947,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/largest_regression_POLYIC_20190629_polyic_mo__E4_P1_4.png
Mouse,largest_hd95_improvement,POLYIC_20190510_mouse34__E2_P1,1,0.9749279593539092,0.9787429095284478,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/largest_hd95_improvement_POLYIC_20190510_mouse34__E2_P1.png
Mouse,previously_pixelated,POLYIC_20190517_mouse39__E12_P1,0,0.9763518471575521,0.9811839383853369,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,8,0.9810138170360435,0.9795116330066947,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/paper_width_level0_decoder/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
