condition,domain,subject,boundary_band_probability_std,boundary_band_intermediate_0.1_0.9_percent,boundary_band_gradient_mean_per_native_pixel,probability_isocontour_points,probability_isocontour_subvoxel_coordinate_percent,probability_isocontour_mean_fractional_offset
current_best,CAMRI,064,0.4460284411907196,16.705769652294627,0.20706593990325928,21188,49.929205210496505,0.1519586253750785
paper_width,CAMRI,064,0.4528193175792694,14.059991892987433,0.2082565277814865,21194,49.95517599320563,0.1604905132313328
current_best,CAMRI,007,0.3866519629955292,7.153972700191187,0.12423483282327652,6503,49.96924496386283,0.1534250676982862
paper_width,CAMRI,007,0.39285072684288025,6.936503966268849,0.1264486163854599,6549,49.98473049320507,0.15713358502753347
current_best,CAMRI,043,0.3820428252220154,8.041186565334641,0.12636122107505798,6323,49.95255416732564,0.15346401807721402
paper_width,CAMRI,043,0.39013156294822693,7.203189604252806,0.128411665558815,6310,49.98415213946117,0.1586145559242605
current_best,CAMRI,078,0.44327569007873535,16.514329845286895,0.20677705109119415,20007,49.94002099265257,0.15378518978271655
paper_width,CAMRI,078,0.4553682208061218,12.79158993247391,0.20864634215831757,20421,49.95347926154449,0.16210792329136622
current_best,CAMRI,009,0.3806621730327606,7.846423699083998,0.1258024275302887,6329,49.936798862379526,0.15161203191024994
paper_width,CAMRI,009,0.3919779658317566,6.388591940213607,0.13052143156528473,6200,49.95967741935484,0.1616254443691271
current_best,CAMRI,099,0.38158491253852844,7.476146148475681,0.1248994991183281,6742,49.97033521210324,0.15353555840779237
paper_width,CAMRI,099,0.3864270746707916,6.820010055304173,0.12542450428009033,6754,49.97038791827065,0.15656647726993458
current_best,Mouse,POLYIC_20190510_mouse34__E2_P1,0.44428229331970215,16.843670646333422,0.20510002970695496,8960,49.955357142857146,0.15047879431650685
paper_width,Mouse,POLYIC_20190510_mouse34__E2_P1,0.4570752680301666,13.161691894185882,0.21042467653751373,8982,49.96103317746604,0.15982558422475507
current_best,Mouse,POLYIC_20190510_mouse35__E3_P1,0.4432373642921448,17.611225475780365,0.2066928744316101,9061,49.91722767906412,0.15230244680622468
paper_width,Mouse,POLYIC_20190510_mouse35__E3_P1,0.45862874388694763,12.737658674188998,0.21231959760189056,9022,49.93349589891377,0.16162042978950641
current_best,Mouse,POLYIC_20190510_mouse37__E2_P1,0.4433239698410034,16.05521784537932,0.20818446576595306,9529,49.91079861475496,0.15340815591899157
paper_width,Mouse,POLYIC_20190510_mouse37__E2_P1,0.4580986201763153,11.679673880977285,0.21466973423957825,9555,49.973835688121405,0.16428382713267217
current_best,Mouse,POLYIC_20190510_mouse38__E2_P1,0.44341984391212463,16.984671454603923,0.20732837915420532,9286,49.93538660348912,0.1521012295667136
