domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,0,0.5003919724051427,-0.0030731402110173445,12698,12756,current_best
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.3385073690812167,0.003100218348817907,12698,12756,current_best
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.26175917215428035,0.003844539928733015,12698,12756,current_best
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,4,0.21966133584195674,0.005769384353533358,12698,12756,current_best
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.18697083725305738,0.006627476093819695,12698,12756,current_best
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.16933207902163688,0.002219147851373837,12698,12756,current_best
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.15443712762621511,0.006539820963748583,12698,12756,current_best
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5211839121613557,0.012746172452841265,7822,8379,current_best
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.3622150614631818,0.02278780500703248,7822,8379,current_best
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.28237259816207183,0.027322738791066947,7822,8379,current_best
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.24107888769542904,0.03460995391890129,7822,8379,current_best
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.20599116839718343,0.027520189107999082,7822,8379,current_best
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,3,0.17400644468313642,0.026729533407247902,7822,8379,current_best
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.1655328798185941,0.033085935303124925,7822,8379,current_best
CAMRI,064,x,2,1.5999999403953562,0,0.50346511261616,1,0.5048475371383894,0.001382424522229364,12698,12790,paper_width
CAMRI,064,x,3,1.5999999403953562,2,0.3354071507323988,2,0.34487881157154027,0.009471660839141471,12698,12790,paper_width
CAMRI,064,x,4,1.5999999403953562,0,0.25791463222554734,0,0.2701329163408913,0.01221828411534398,12698,12790,paper_width
CAMRI,064,x,5,1.5999999403953562,4,0.21389195148842338,4,0.2107896794370602,-0.0031022720513631807,12698,12790,paper_width
CAMRI,064,x,6,1.5999999403953562,5,0.1803433611592377,5,0.1920250195465207,0.011681658387283023,12698,12790,paper_width
CAMRI,064,x,7,1.5999999403953562,1,0.16711293117026305,1,0.16755277560594214,0.0004398444356790987,12698,12790,paper_width
CAMRI,064,x,8,1.5999999403953562,1,0.14789730666246653,1,0.15676309616888193,0.008865789506415395,12698,12790,paper_width
CAMRI,064,y,2,2.4999999627470975,1,0.5084377397085145,1,0.5163343742493394,0.007896634540824898,7822,8326,paper_width
CAMRI,064,y,3,2.4999999627470975,2,0.3394272564561493,2,0.3537112659140043,0.014284009457855018,7822,8326,paper_width
CAMRI,064,y,4,2.4999999627470975,3,0.2550498593710049,3,0.2686764352630315,0.013626575892026593,7822,8326,paper_width
CAMRI,064,y,5,2.4999999627470975,2,0.20646893377652775,3,0.21210665385539273,0.005637720078864983,7822,8326,paper_width
CAMRI,064,y,6,2.4999999627470975,5,0.17847097928918434,5,0.1922892145087677,0.013818235219583364,7822,8326,paper_width
CAMRI,064,y,7,2.4999999627470975,1,0.14727691127588852,0,0.151573384578429,0.004296473302540488,7822,8326,paper_width
CAMRI,064,y,8,2.4999999627470975,7,0.13244694451546918,7,0.15433581551765554,0.021888871002186366,7822,8326,paper_width
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.5196011004126547,-0.056091863340010484,2814,2908,current_best
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,0,0.35385144429160936,0.008791032067018034,2814,2908,current_best
CAMRI,007,x,4,3.1999998807907124,2,0.3034825870646766,3,0.2740715268225585,-0.029411060242118148,2814,2908,current_best
CAMRI,007,x,5,3.1999998807907124,2,0.2085998578535892,0,0.2125171939477304,0.003917336094141188,2814,2908,current_best
CAMRI,007,x,6,3.1999998807907124,0,0.19900497512437812,3,0.1887895460797799,-0.010215429044598212,2814,2908,current_best
CAMRI,007,x,7,3.1999998807907124,3,0.16062544420753375,5,0.16162310866574967,0.0009976644582159189,2814,2908,current_best
CAMRI,007,x,8,3.1999998807907124,6,0.15636105188343993,7,0.13892709766162312,-0.017433954221816816,2814,2908,current_best
CAMRI,007,y,2,4.999999925494195,0,0.556926528323051,0,0.5240089335566722,-0.03291759476637879,3566,3582,current_best
CAMRI,007,y,3,4.999999925494195,1,0.339035333707235,1,0.3458961474036851,0.006860813696450085,3566,3582,current_best
CAMRI,007,y,4,4.999999925494195,0,0.3051037577117218,0,0.2646566164154104,-0.04044714129631144,3566,3582,current_best
CAMRI,007,y,5,4.999999925494195,0,0.2319125070106562,1,0.33556672250139585,0.10365421549073967,3566,3582,current_best
CAMRI,007,y,6,4.999999925494195,2,0.18900729108244532,0,0.18592964824120603,-0.003077642841239292,3566,3582,current_best
CAMRI,007,y,7,4.999999925494195,6,0.16320807627593942,5,0.20268006700167504,0.03947199072573562,3566,3582,current_best
CAMRI,007,y,8,4.999999925494195,0,0.16881660123387549,7,0.19905080960357344,0.03023420836969795,3566,3582,current_best
CAMRI,007,x,2,3.1999998807907124,0,0.5756929637526652,1,0.5037465940054496,-0.07194636974721558,2814,2936,paper_width
CAMRI,007,x,3,3.1999998807907124,0,0.34506041222459133,0,0.351158038147139,0.006097625922547645,2814,2936,paper_width
CAMRI,007,x,4,3.1999998807907124,2,0.3034825870646766,2,0.2619209809264305,-0.04156160613824611,2814,2936,paper_width
CAMRI,007,x,5,3.1999998807907124,2,0.2085998578535892,3,0.207425068119891,-0.001174789733698195,2814,2936,paper_width
CAMRI,007,x,6,3.1999998807907124,0,0.19900497512437812,3,0.18256130790190736,-0.01644366722247076,2814,2936,paper_width
CAMRI,007,x,7,3.1999998807907124,3,0.16062544420753375,5,0.1651907356948229,0.004565291487289153,2814,2936,paper_width
CAMRI,007,x,8,3.1999998807907124,6,0.15636105188343993,3,0.13760217983651227,-0.018758872046927666,2814,2936,paper_width
CAMRI,007,y,2,4.999999925494195,0,0.556926528323051,0,0.5439132851584213,-0.013013243164629706,3566,3598,paper_width
CAMRI,007,y,3,4.999999925494195,1,0.339035333707235,1,0.3668704836020011,0.027835149894766098,3566,3598,paper_width
CAMRI,007,y,4,4.999999925494195,0,0.3051037577117218,2,0.27904391328515843,-0.026059844426563394,3566,3598,paper_width
