dataset,subject,filtered_dice
CAMRI,064,0.9782303329632139
CAMRI,007,0.9823766067424188
CAMRI,043,0.9838353535974965
CAMRI,078,0.9791858031060042
CAMRI,009,0.9856807901644495
CAMRI,099,0.9864444971156343
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9627039175435588
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9627408670049276
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9665118161367808
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9688711662409024
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9650181881186117
Mouse,POLYIC_20190510_mouse42__E2_P1,0.9654640546066189
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9617306396474559
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9561079156414293
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9631881309627239
Mouse,POLYIC_20190517_mouse35__E2_P1,0.9660315055646811
Mouse,POLYIC_20190517_mouse36__E2_P1,0.9639901429987904
Mouse,POLYIC_20190517_mouse37__E3_P1,0.9656582269498677
Mouse,POLYIC_20190517_mouse38__E3_P1,0.9680198154851133
Mouse,POLYIC_20190517_mouse39__E12_P1,0.9713672664167666
Mouse,POLYIC_20190517_mouse42__E4_P1,0.9660090140420738
Mouse,POLYIC_20190517_mouse43__E3_P1,0.9694270715822298
Mouse,POLYIC_20190524_polyic___E3_P1,0.9569492722662533
Mouse,POLYIC_20190524_polyic___E3_P1_1,0.9668679799077432
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.9672414881069095
Mouse,POLYIC_20190524_polyic___E3_P1_12,0.9638769164805885
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.9672381536019815
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.9615733404189114
Mouse,POLYIC_20190524_polyic___E3_P1_4,0.9643762231597669
Mouse,POLYIC_20190524_polyic___E3_P1_5,0.968907720678818
Mouse,POLYIC_20190524_polyic___E3_P1_6,0.9628546861580888
Mouse,POLYIC_20190524_polyic___E3_P1_7,0.9637078264878496
Mouse,POLYIC_20190524_polyic___E3_P1_9,0.9655363398473419
Mouse,POLYIC_20190524_polyic___E4_P1_1,0.9657184206971318
Mouse,POLYIC_20190524_polyic___E4_P1_7,0.9632295327348074
Mouse,POLYIC_20190524_polyic___E4_P1_9,0.9556809389597947
Mouse,POLYIC_20190524_polyic___E8_P1_1,0.9646958281810549
Mouse,POLYIC_20190524_polyic___E9_P1_1,0.9614644272520406
Mouse,POLYIC_20190531_polyic_m__E3_P1,0.9664633745339789
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.962095042914342
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.9628212802169777
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.9603662911691735
Mouse,POLYIC_20190531_polyic_m__E3_P1_12,0.9607333299957317
Mouse,POLYIC_20190531_polyic_m__E3_P1_13,0.9618079014087136
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.9680483778520454
Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.9606408826420135
Mouse,POLYIC_20190531_polyic_m__E3_P1_4,0.9612451106747274
Mouse,POLYIC_20190531_polyic_m__E3_P1_5,0.966551449084173
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.9603860033266032
Mouse,POLYIC_20190531_polyic_m__E3_P1_7,0.9658452762685855
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,0.9584091331001295
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.9686530078853826
Mouse,POLYIC_20190531_polyic_m__E5_P1_11,0.9677522055695204
Mouse,POLYIC_20190612_polyic___E10_P1_1,0.9696746905255144
Mouse,POLYIC_20190612_polyic___E12_P1,0.9652145789739911
Mouse,POLYIC_20190612_polyic___E3_P1,0.9685276337391958
Mouse,POLYIC_20190612_polyic___E3_P1_1,0.9647382288938142
Mouse,POLYIC_20190612_polyic___E3_P1_2,0.9668141095171818
Mouse,POLYIC_20190612_polyic___E3_P1_3,0.9693234102629863
Mouse,POLYIC_20190612_polyic___E3_P1_4,0.9689437608179485
Mouse,POLYIC_20190614_polyic___E3_P1,0.9690279731704089
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.9669346707700192
Mouse,POLYIC_20190614_polyic___E3_P1_3,0.9683176325869868
Mouse,POLYIC_20190614_polyic___E3_P1_4,0.9706977920120219
Mouse,POLYIC_20190614_polyic___E3_P1_5,0.9657608997259688
Mouse,POLYIC_20190614_polyic___E3_P1_6,0.9679186469306662
Mouse,POLYIC_20190614_polyic___E4_P1_5,0.9694760620229631
Mouse,POLYIC_20190618_mouse33__E3_P1,0.9680695075651374
Mouse,POLYIC_20190618_mouse34__E3_P1,0.9696456823296642
Mouse,POLYIC_20190618_mouse35__E3_P1,0.9675501158287785
Mouse,POLYIC_20190618_mouse36__E3_P1,0.9690023099782641
Mouse,POLYIC_20190619_mouse38__E3_P1,0.9664612660164413
Mouse,POLYIC_20190619_mouse39__E3_P1,0.9663069769897907
Mouse,POLYIC_20190619_mouse42__E3_P1,0.9701884447413944
Mouse,POLYIC_20190619_mouse43__E3_P1,0.9711031231047229
Mouse,POLYIC_20190628_mouse33__E3_P1,0.9655914653575792
Mouse,POLYIC_20190628_mouse34__E6_P1,0.9680083685828895
Mouse,POLYIC_20190628_mouse35__E3_P1,0.9688818448665942
Mouse,POLYIC_20190628_mouse36__E3_P1,0.9696098950126256
Mouse,POLYIC_20190629_polyic_mo__E3_P1,0.9674966000181554
Mouse,POLYIC_20190629_polyic_mo__E3_P1_1,0.9653497314899845
Mouse,POLYIC_20190629_polyic_mo__E3_P1_2,0.9673038043736829
Mouse,POLYIC_20190629_polyic_mo__E3_P1_3,0.9677646303565737
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.9653307254945811
Mouse,POLYIC_20190629_polyic_mo__E4_P1_2,0.9681749332632545
Mouse,POLYIC_20190629_polyic_mo__E4_P1_4,0.9670385923523704
