dataset,subject,role,slice,raw_dice,filtered_dice,figure
CAMRI,099,strong,3,0.9864156726255024,0.9864444971151942,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/camri/strong_099.png
CAMRI,007,average,3,0.982376606741807,0.982376606741807,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/camri/average_007.png
CAMRI,064,difficult,26,0.9778291597421441,0.9782303329627886,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/camri/difficult_064.png
CAMRI,064,detached_island,60,0.9778291597421441,0.9782303329627886,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/camri/detached_island_064.png
CAMRI,064,boundary_error,48,0.9778291597421441,0.9782303329627886,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/camri/boundary_error_064.png
Mouse,POLYIC_20190517_mouse39__E12_P1,strong,20,0.9710611477270802,0.9713672664162813,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/mouse/strong_POLYIC_20190517_mouse39__E12_P1.png
Mouse,POLYIC_20190517_mouse37__E3_P1,average,21,0.9655625618138559,0.9656582269493006,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/mouse/average_POLYIC_20190517_mouse37__E3_P1.png
Mouse,POLYIC_20190524_polyic___E4_P1_9,difficult,18,0.9556809389577894,0.9556809389577894,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/mouse/difficult_POLYIC_20190524_polyic___E4_P1_9.png
Mouse,POLYIC_20190531_polyic_m__E3_P1_3,detached_island,4,0.9348080337234642,0.960640882640312,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/mouse/detached_island_POLYIC_20190531_polyic_m__E3_P1_3.png
Mouse,POLYIC_20190517_mouse37__E3_P1,boundary_error,1,0.9655625618138559,0.9656582269493006,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/presentation_results/expert_comparisons/mouse/boundary_error_POLYIC_20190517_mouse37__E3_P1.png
