domain,subject,baseline_components,baseline_detached_fp_count,baseline_detached_fp_voxels,baseline_largest_detached_fp,baseline_expert_voxels_outside_primary_component,baseline_boundary_error_voxels,baseline_nonboundary_error_voxels,baseline_connected_leakage_voxels,baseline_terminal_error_voxels,filter_components,filter_detached_fp_count,filter_detached_fp_voxels,filter_largest_detached_fp,filter_expert_voxels_outside_primary_component,filter_boundary_error_voxels,filter_nonboundary_error_voxels,filter_connected_leakage_voxels,filter_terminal_error_voxels,learned_components,learned_detached_fp_count,learned_detached_fp_voxels,learned_largest_detached_fp,learned_expert_voxels_outside_primary_component,learned_boundary_error_voxels,learned_nonboundary_error_voxels,learned_connected_leakage_voxels,learned_terminal_error_voxels
CAMRI,064,4,3,210,201,0,11143,210,0,4928,1,0,0,0,0,11143,0,0,4928,4,3,203,195,0,11548,203,0,5088
CAMRI,007,1,0,0,0,0,5061,16,16,2673,1,0,0,0,0,5061,16,16,2673,1,0,0,0,0,5188,10,10,2769
CAMRI,043,2,1,30,30,0,4246,30,0,2249,1,0,0,0,0,4246,0,0,2249,2,1,30,30,0,4387,30,0,2316
CAMRI,078,5,4,51,19,0,9953,91,40,3154,1,0,0,0,0,9953,40,40,3136,6,5,59,19,0,10317,85,29,3276
CAMRI,009,1,0,0,0,0,3707,0,0,2009,1,0,0,0,0,3707,0,0,2009,1,0,0,0,0,3805,0,0,2061
CAMRI,099,2,1,9,9,0,4084,100,91,2201,1,0,0,0,0,4084,91,91,2192,2,1,9,9,0,4188,100,91,2251
Mouse,POLYIC_20190510_mouse34__E2_P1,1,0,0,0,0,7692,8,8,2536,1,0,0,0,0,7692,8,8,2536,1,0,0,0,0,7825,2,2,2540
Mouse,POLYIC_20190510_mouse35__E3_P1,1,0,0,0,0,7888,3,3,2269,1,0,0,0,0,7888,3,3,2269,1,0,0,0,0,8010,3,3,2290
Mouse,POLYIC_20190510_mouse37__E2_P1,1,0,0,0,0,7944,0,0,2725,1,0,0,0,0,7944,0,0,2725,1,0,0,0,0,8213,0,0,2833
Mouse,POLYIC_20190510_mouse38__E2_P1,1,0,0,0,0,7057,0,0,2237,1,0,0,0,0,7057,0,0,2237,1,0,0,0,0,7211,0,0,2265
Mouse,POLYIC_20190510_mouse39__E4_P1,2,1,21,21,0,8090,9,0,2604,1,0,0,0,0,8078,0,0,2604,2,1,13,13,0,8310,8,0,2668
Mouse,POLYIC_20190510_mouse42__E2_P1,3,2,61,44,0,7790,63,2,2703,1,0,0,0,0,7790,2,2,2642,3,2,61,44,0,8002,61,0,2771
Mouse,POLYIC_20190510_mouse43__E2_P1_1,1,0,0,0,0,6001,19,19,2517,1,0,0,0,0,6001,19,19,2517,1,0,0,0,0,6150,17,17,2575
Mouse,POLYIC_20190510_mouse43__E9_P1,2,1,87,87,0,9650,693,606,4814,1,0,0,0,0,9650,606,606,4814,2,1,85,85,0,9808,685,597,4820
Mouse,POLYIC_20190517_mouse33__E2_P1,1,0,0,0,0,7911,9,9,2371,1,0,0,0,0,7911,9,9,2371,1,0,0,0,0,8081,7,7,2410
Mouse,POLYIC_20190517_mouse35__E2_P1,1,0,0,0,0,7489,0,0,2109,1,0,0,0,0,7489,0,0,2109,1,0,0,0,0,7725,0,0,2156
Mouse,POLYIC_20190517_mouse36__E2_P1,1,0,0,0,0,8150,4,4,2807,1,0,0,0,0,8150,4,4,2807,1,0,0,0,0,8420,3,3,2889
Mouse,POLYIC_20190517_mouse37__E3_P1,2,1,60,60,0,20772,85,25,7837,1,0,0,0,0,20772,25,25,7777,2,1,53,53,0,20568,73,20,7613
Mouse,POLYIC_20190517_mouse38__E3_P1,1,0,0,0,0,7269,0,0,2160,1,0,0,0,0,7269,0,0,2160,1,0,0,0,0,7413,0,0,2161
Mouse,POLYIC_20190517_mouse39__E12_P1,3,2,186,145,0,16890,190,5,6215,1,0,0,0,0,16889,5,5,6029,3,2,172,135,0,16834,173,2,6031
Mouse,POLYIC_20190517_mouse42__E4_P1,1,0,0,0,0,7851,0,0,2438,1,0,0,0,0,7851,0,0,2438,1,0,0,0,0,8008,0,0,2474
Mouse,POLYIC_20190517_mouse43__E3_P1,1,0,0,0,0,7181,0,0,2417,1,0,0,0,0,7181,0,0,2417,1,0,0,0,0,7323,0,0,2457
Mouse,POLYIC_20190524_polyic___E3_P1,3,2,2306,2138,0,9264,2306,0,4001,1,0,0,0,0,9264,0,0,3993,3,2,2256,2097,0,9575,2256,0,4111
Mouse,POLYIC_20190524_polyic___E3_P1_1,1,0,0,0,0,7631,0,0,2702,1,0,0,0,0,7631,0,0,2702,1,0,0,0,0,7841,0,0,2793
Mouse,POLYIC_20190524_polyic___E3_P1_10,1,0,0,0,0,7265,3,3,2627,1,0,0,0,0,7265,3,3,2627,1,0,0,0,0,7446,3,3,2712
Mouse,POLYIC_20190524_polyic___E3_P1_12,2,1,29,29,0,8422,30,1,3405,1,0,0,0,0,8422,1,1,3405,2,1,21,21,0,8648,21,0,3482
Mouse,POLYIC_20190524_polyic___E3_P1_13,6,5,2750,1903,0,7057,2750,0,4185,1,0,0,0,0,7057,0,0,2572,5,4,2650,1837,0,7324,2650,0,4191
Mouse,POLYIC_20190524_polyic___E3_P1_3,5,4,1378,826,0,8387,1381,3,3588,1,0,0,0,0,8387,3,3,2742,5,4,1315,790,0,8685,1318,3,3660
Mouse,POLYIC_20190524_polyic___E3_P1_4,1,0,0,0,0,7899,1,1,2775,1,0,0,0,0,7899,1,1,2775,1,0,0,0,0,8216,0,0,2862
Mouse,POLYIC_20190524_polyic___E3_P1_5,2,1,401,401,0,6787,409,8,2282,1,0,0,0,0,6787,8,8,2282,2,1,386,386,0,6848,393,7,2333
Mouse,POLYIC_20190524_polyic___E3_P1_6,1,0,0,0,0,8640,0,0,3131,1,0,0,0,0,8640,0,0,3131,1,0,0,0,0,8766,0,0,3089
Mouse,POLYIC_20190524_polyic___E3_P1_7,1,0,0,0,0,7547,43,43,2692,1,0,0,0,0,7547,43,43,2692,1,0,0,0,0,7761,41,41,2723
Mouse,POLYIC_20190524_polyic___E3_P1_9,1,0,0,0,0,7467,0,0,2600,1,0,0,0,0,7467,0,0,2600,1,0,0,0,0,7614,0,0,2626
Mouse,POLYIC_20190524_polyic___E4_P1_1,2,1,3,3,0,7580,3,0,2704,1,0,0,0,0,7580,0,0,2704,1,0,0,0,0,7752,0,0,2790
Mouse,POLYIC_20190524_polyic___E4_P1_7,1,0,0,0,0,7827,10,8,2964,1,0,0,0,0,7827,10,8,2964,1,0,0,0,0,8101,6,4,3054
Mouse,POLYIC_20190524_polyic___E4_P1_9,1,0,0,0,0,9662,133,0,3173,1,0,0,0,0,9662,133,0,3173,1,0,0,0,0,10044,148,0,3297
Mouse,POLYIC_20190524_polyic___E8_P1_1,4,3,75,68,0,7837,87,12,2919,1,0,0,0,0,7837,12,12,2915,3,2,67,65,0,7806,78,11,2820
Mouse,POLYIC_20190524_polyic___E9_P1_1,3,2,2030,1928,0,9038,2181,151,3386,1,0,0,0,0,9038,151,151,3284,3,2,1975,1882,0,9240,2116,141,3341
Mouse,POLYIC_20190531_polyic_m__E3_P1,1,0,0,0,0,7648,1,1,2779,1,0,0,0,0,7648,1,1,2779,1,0,0,0,0,7844,1,1,2843
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,1,0,0,0,0,8154,21,21,3130,1,0,0,0,0,8154,21,21,3130,1,0,0,0,0,8472,18,18,3218
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,3,2,594,552,0,8258,597,3,2987,1,0,0,0,0,8258,3,3,2987,3,2,582,543,0,8617,584,2,3090
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,3,2,36,30,0,8841,33,3,3099,1,0,0,0,0,8835,3,3,3069,2,1,30,30,0,9164,33,3,3212
Mouse,POLYIC_20190531_polyic_m__E3_P1_12,1,0,0,0,0,8621,2,2,3001,1,0,0,0,0,8621,2,2,3001,1,0,0,0,0,8797,1,1,3071
Mouse,POLYIC_20190531_polyic_m__E3_P1_13,2,1,9,9,0,8422,10,1,3145,1,0,0,0,0,8422,1,1,3136,2,1,9,9,0,8666,10,1,3187
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,1,0,0,0,0,7411,2,2,2878,1,0,0,0,0,7411,2,2,2878,1,0,0,0,0,7685,1,1,2961
Mouse,POLYIC_20190531_polyic_m__E3_P1_3,3,2,6392,6351,0,9104,6392,0,8871,1,0,0,0,0,9104,0,0,2990,3,2,6305,6267,0,9397,6305,0,8854
Mouse,POLYIC_20190531_polyic_m__E3_P1_4,1,0,0,0,0,8509,2,2,2924,1,0,0,0,0,8509,2,2,2924,1,0,0,0,0,8761,2,2,2957
Mouse,POLYIC_20190531_polyic_m__E3_P1_5,2,1,21,21,0,7560,9,0,2921,1,0,0,0,0,7548,0,0,2921,2,1,18,18,0,7720,9,0,2921
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,1,0,0,0,0,8793,0,0,2953,1,0,0,0,0,8793,0,0,2953,1,0,0,0,0,9063,0,0,3018
Mouse,POLYIC_20190531_polyic_m__E3_P1_7,1,0,0,0,0,7708,4,4,2718,1,0,0,0,0,7708,4,4,2718,1,0,0,0,0,7926,2,2,2738
Mouse,POLYIC_20190531_polyic_m__E3_P1_8,1,0,0,0,0,8958,4,4,3149,1,0,0,0,0,8958,4,4,3149,1,0,0,0,0,9258,2,2,3258
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,2,1,12,12,0,7290,14,2,2634,1,0,0,0,0,7290,2,2,2634,2,1,12,12,0,7403,14,2,2651
Mouse,POLYIC_20190531_polyic_m__E5_P1_11,2,1,7,7,0,7695,10,3,2997,1,0,0,0,0,7695,3,3,2997,2,1,7,7,0,7768,8,1,2960
Mouse,POLYIC_20190612_polyic___E10_P1_1,1,0,0,0,0,6847,0,0,2561,1,0,0,0,0,6847,0,0,2561,1,0,0,0,0,7053,0,0,2655
Mouse,POLYIC_20190612_polyic___E12_P1,1,0,0,0,0,7736,8,8,3022,1,0,0,0,0,7736,8,8,3022,1,0,0,0,0,7883,7,7,3078
Mouse,POLYIC_20190612_polyic___E3_P1,2,1,19,19,0,7189,4,2,2747,1,0,0,0,0,7172,2,2,2747,2,1,17,17,0,7330,3,1,2817
Mouse,POLYIC_20190612_polyic___E3_P1_1,1,0,0,0,0,7695,0,0,3144,1,0,0,0,0,7695,0,0,3144,1,0,0,0,0,7848,0,0,3192
Mouse,POLYIC_20190612_polyic___E3_P1_2,1,0,0,0,0,7369,6,6,2737,1,0,0,0,0,7369,6,6,2737,2,1,3,3,0,7642,4,4,2807
Mouse,POLYIC_20190612_polyic___E3_P1_3,1,0,0,0,0,6686,8,8,2930,1,0,0,0,0,6686,8,8,2930,1,0,0,0,0,6817,5,5,3000
Mouse,POLYIC_20190612_polyic___E3_P1_4,1,0,0,0,0,6830,7,7,3038,1,0,0,0,0,6830,7,7,3038,1,0,0,0,0,6963,4,4,3102
Mouse,POLYIC_20190614_polyic___E3_P1,1,0,0,0,0,7019,4,4,2440,1,0,0,0,0,7019,4,4,2440,1,0,0,0,0,7130,4,4,2475
Mouse,POLYIC_20190614_polyic___E3_P1_1,3,2,143,121,0,7674,143,0,2762,1,0,0,0,0,7674,0,0,2762,3,2,137,119,0,7851,137,0,2841
Mouse,POLYIC_20190614_polyic___E3_P1_3,1,0,0,0,0,7520,0,0,3017,1,0,0,0,0,7520,0,0,3017,1,0,0,0,0,7655,0,0,3026
Mouse,POLYIC_20190614_polyic___E3_P1_4,1,0,0,0,0,6954,0,0,2404,1,0,0,0,0,6954,0,0,2404,1,0,0,0,0,7073,0,0,2429
