transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,6,0.9999989845399103,0.9999969232757268,2.850208994746121e-09,-3.0357760255617094e-06
axis0_+5deg,6,0.9958760152344946,0.995360182090967,-0.0007127774788810252,-0.0010111061138642352
axis0_+10deg,6,0.9957076170753849,0.9951312396056786,-0.0008161636291375748,-0.0011389084918607129
axis0_+20deg,6,0.9947187673265442,0.9938798410508761,-0.0014297415445029271,-0.002086158758719203
axis0_+30deg,6,0.9936841004558506,0.9928608561825397,-0.002287979536401289,-0.003050350572864291
axis1_+5deg,6,0.9962337159591567,0.9958060737335337,-0.0005621179694442943,-0.0009703262678947278
axis1_+10deg,6,0.995906159030079,0.9953736299931405,-0.0007438953121320369,-0.0010631794437392372
axis1_+20deg,6,0.9949333550199738,0.9943187151131012,-0.0011667041062600376,-0.0016329808762041154
axis1_+30deg,6,0.9937224633110393,0.9932594331631047,-0.002050570496210898,-0.0028970499665210703
axis2_+5deg,6,0.9965740590510873,0.9962928779598574,-0.0006567828239289845,-0.0008892297691425188
axis2_+10deg,6,0.9962534055404838,0.995850622406639,-0.0007201348613309899,-0.0008364062089651902
axis2_+20deg,6,0.9951566504603558,0.9946969354376762,-0.0013800152584721448,-0.0018339295724494331
axis2_+30deg,6,0.9939411500231351,0.9931719803671796,-0.0022220182588734705,-0.0030037277859197298
