transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
resampling_floor,0.9999922657488689,0.8953348619552154,0.8953272302630457,7.631692169662863e-06,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,0.9727441966490635,0.8787815459720631,0.8953272302630457,-0.016545684290982576,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,0.9701707373095475,0.8858318160361454,0.8953272302630457,-0.009495414226900367,POLYIC_20190510_mouse34__E2_P1
axis0_+20deg,0.9511170059765413,0.9273533725635724,0.8953272302630457,0.032026142300526694,POLYIC_20190510_mouse34__E2_P1
axis0_+30deg,0.9474012025776365,0.9263154176931295,0.8953272302630457,0.030988187430083802,POLYIC_20190510_mouse34__E2_P1
axis1_+5deg,0.9800097062697881,0.892332498833114,0.8953272302630457,-0.002994731429931674,POLYIC_20190510_mouse34__E2_P1
axis1_+10deg,0.9751976994967649,0.9055985654430402,0.8953272302630457,0.010271335179994456,POLYIC_20190510_mouse34__E2_P1
axis1_+20deg,0.948852768641009,0.9299225492365567,0.8953272302630457,0.03459531897351098,POLYIC_20190510_mouse34__E2_P1
axis1_+30deg,0.942131493959571,0.92658714415439,0.8953272302630457,0.031259913891344304,POLYIC_20190510_mouse34__E2_P1
axis2_+5deg,0.9826124354878348,0.8884377907468494,0.8953272302630457,-0.006889439516196361,POLYIC_20190510_mouse34__E2_P1
axis2_+10deg,0.9817111140153292,0.889628368938451,0.8953272302630457,-0.0056988613245947395,POLYIC_20190510_mouse34__E2_P1
axis2_+20deg,0.9659925903056499,0.8936231736150091,0.8953272302630457,-0.0017040566480366337,POLYIC_20190510_mouse34__E2_P1
axis2_+30deg,0.9505066666666667,0.8808773224226977,0.8953272302630457,-0.014449907840348053,POLYIC_20190510_mouse34__E2_P1
resampling_floor,0.9999843664504026,0.9129988897081882,0.9129988897081882,0.0,POLYIC_20190510_mouse35__E3_P1
axis0_+5deg,0.978075215055433,0.9064874096633884,0.9129988897081882,-0.0065114800447998444,POLYIC_20190510_mouse35__E3_P1
axis0_+10deg,0.9723318919596415,0.9153619396328357,0.9129988897081882,0.002363049924647531,POLYIC_20190510_mouse35__E3_P1
axis0_+20deg,0.9700990410312844,0.9178099712646128,0.9129988897081882,0.004811081556424623,POLYIC_20190510_mouse35__E3_P1
axis0_+30deg,0.9650794151511806,0.9201687503743828,0.9129988897081882,0.007169860666194627,POLYIC_20190510_mouse35__E3_P1
axis1_+5deg,0.9809412315616951,0.911640028091076,0.9129988897081882,-0.0013588616171121837,POLYIC_20190510_mouse35__E3_P1
axis1_+10deg,0.9734036690024408,0.9202422544354942,0.9129988897081882,0.007243364727306023,POLYIC_20190510_mouse35__E3_P1
axis1_+20deg,0.9706164688253611,0.9119553261697267,0.9129988897081882,-0.0010435635384614672,POLYIC_20190510_mouse35__E3_P1
axis1_+30deg,0.9617724264763671,0.9184705230401978,0.9129988897081882,0.005471633332009618,POLYIC_20190510_mouse35__E3_P1
axis2_+5deg,0.9742950950766226,0.8966780451253018,0.9129988897081882,-0.016320844582886407,POLYIC_20190510_mouse35__E3_P1
axis2_+10deg,0.9762702981819302,0.89865620565896,0.9129988897081882,-0.014342684049228227,POLYIC_20190510_mouse35__E3_P1
axis2_+20deg,0.9747156088767328,0.9064192062516315,0.9129988897081882,-0.006579683456556684,POLYIC_20190510_mouse35__E3_P1
axis2_+30deg,0.9672734029621944,0.9029005687060678,0.9129988897081882,-0.01009832100212038,POLYIC_20190510_mouse35__E3_P1
resampling_floor,0.9999865448527334,0.8935722437122997,0.8935590005038978,1.3243208401902962e-05,POLYIC_20190510_mouse37__E2_P1
axis0_+5deg,0.9735771147241578,0.8774513727687505,0.8935590005038978,-0.01610762773514729,POLYIC_20190510_mouse37__E2_P1
axis0_+10deg,0.9646633860328762,0.8675675675675676,0.8935590005038978,-0.025991432936330217,POLYIC_20190510_mouse37__E2_P1
axis0_+20deg,0.9703676689984418,0.8804323252065724,0.8935590005038978,-0.013126675297325363,POLYIC_20190510_mouse37__E2_P1
axis0_+30deg,0.9724900070538444,0.8920900568959522,0.8935590005038978,-0.001468943607945583,POLYIC_20190510_mouse37__E2_P1
axis1_+5deg,0.979585183977833,0.9031973043803819,0.8935590005038978,0.009638303876484122,POLYIC_20190510_mouse37__E2_P1
axis1_+10deg,0.9745579587495066,0.8894027883135343,0.8935590005038978,-0.004156212190363551,POLYIC_20190510_mouse37__E2_P1
axis1_+20deg,0.9525810090636792,0.8601169723791499,0.8935590005038978,-0.03344202812474795,POLYIC_20190510_mouse37__E2_P1
axis1_+30deg,0.9446009752081002,0.8530453307749827,0.8935590005038978,-0.040513669728915125,POLYIC_20190510_mouse37__E2_P1
axis2_+5deg,0.9851546643678005,0.9000246963471857,0.8935590005038978,0.006465695843287933,POLYIC_20190510_mouse37__E2_P1
axis2_+10deg,0.9831266243822298,0.8926139650798831,0.8935590005038978,-0.0009450354240146952,POLYIC_20190510_mouse37__E2_P1
axis2_+20deg,0.9658739792540278,0.9163721667072874,0.8935590005038978,0.02281316620338958,POLYIC_20190510_mouse37__E2_P1
axis2_+30deg,0.9448630113117599,0.9282109367174437,0.8935590005038978,0.0346519362135459,POLYIC_20190510_mouse37__E2_P1
resampling_floor,0.9999783429466587,0.9066010131202215,0.9066081443550353,-7.131234813884113e-06,POLYIC_20190510_mouse38__E2_P1
axis0_+5deg,0.9709673550307965,0.8844613566967916,0.9066081443550353,-0.02214678765824374,POLYIC_20190510_mouse38__E2_P1
axis0_+10deg,0.9756069136809598,0.9149814935425966,0.9066081443550353,0.008373349187561274,POLYIC_20190510_mouse38__E2_P1
axis0_+20deg,0.9628454317069945,0.9219435158686259,0.9066081443550353,0.015335371513590546,POLYIC_20190510_mouse38__E2_P1
axis0_+30deg,0.9590033874788744,0.9251780707126052,0.9066081443550353,0.01856992635756982,POLYIC_20190510_mouse38__E2_P1
axis1_+5deg,0.9806212331942513,0.8949803592777182,0.9066081443550353,-0.011627785077317099,POLYIC_20190510_mouse38__E2_P1
