transform,stage,relative_l2,cosine,subject
resampling_floor,input,2.3405148112942697e-06,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level0,1.8289896615897305e-05,0.9999998807907104,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level1,1.9823419279418886e-05,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level2,2.2279424229054712e-05,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level3,7.258019536493521e-07,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level4,5.13028089699219e-06,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,output_logits,0.00013074901653453708,1.0,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,input,0.15203090012073517,0.9888119697570801,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,encoder_level0,0.37165531516075134,0.9295251369476318,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,encoder_level1,0.2531919479370117,0.9674715995788574,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,encoder_level2,0.28521090745925903,0.9585337042808533,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,encoder_level3,0.24322648346424103,0.9699797630310059,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,encoder_level4,0.18615612387657166,0.9829930663108826,POLYIC_20190510_mouse34__E2_P1
axis0_+5deg,output_logits,0.16244561970233917,0.9867181181907654,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,input,0.15262003242969513,0.9887315630912781,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,encoder_level0,0.3888542652130127,0.9223017692565918,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,encoder_level1,0.2637150287628174,0.9646246433258057,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,encoder_level2,0.301833838224411,0.9533650279045105,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,encoder_level3,0.29479384422302246,0.9555655717849731,POLYIC_20190510_mouse34__E2_P1
axis0_+10deg,encoder_level4,0.24361342191696167,0.9709611535072327,POLYIC_20190510_mouse34__E2_P1
