transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,15,2.530984685715036e-06,4.6445271438957476e-07,1.000000003973643
resampling_floor,encoder_level0,15,1.8475259882203924e-05,6.308309356555362e-07,0.9999999761581421
resampling_floor,encoder_level1,15,1.9866279520404834e-05,1.5628205864014443e-06,0.9999999761581421
resampling_floor,encoder_level2,15,2.252474041597452e-05,1.336736296016443e-06,1.0000000278155008
resampling_floor,encoder_level3,15,7.814492922382973e-07,1.4257724278493855e-07,1.0
resampling_floor,encoder_level4,15,4.109792159094165e-06,6.790750825944873e-07,1.000000007947286
resampling_floor,output_logits,15,0.0001274132509327804,2.0366095460106826e-06,1.0000000238418578
axis0_+5deg,input,15,0.16034468213717143,0.024856482596053737,0.9872472564379374
axis0_+5deg,encoder_level0,15,0.37853367924690245,0.021859987072032162,0.9264957785606385
axis0_+5deg,encoder_level1,15,0.2564897179603577,0.011189170903554792,0.9665319681167602
axis0_+5deg,encoder_level2,15,0.28483590483665466,0.004663141315350577,0.9586308240890503
axis0_+5deg,encoder_level3,15,0.23882244924704235,0.0166612679121983,0.9709333856900533
axis0_+5deg,encoder_level4,15,0.17524134616057077,0.019010958428053386,0.9847738305727641
axis0_+5deg,output_logits,15,0.15407451788584392,0.008470512149735048,0.988029686609904
axis0_+10deg,input,15,0.16040039757887523,0.024458295768537683,0.9872573614120483
axis0_+10deg,encoder_level0,15,0.39452467958132426,0.019873623635026594,0.9196921149889629
axis0_+10deg,encoder_level1,15,0.2672620316346486,0.011867779081974051,0.9635682861010234
axis0_+10deg,encoder_level2,15,0.30187896092732747,0.0039041621976392362,0.9533406575520833
axis0_+10deg,encoder_level3,15,0.2934415092070897,0.019577706222657053,0.955768104394277
axis0_+10deg,encoder_level4,15,0.2423170228799184,0.019109641762543216,0.9710750778516134
axis0_+10deg,output_logits,15,0.16982367336750032,0.009015631069128791,0.9854381561279297
axis0_+20deg,input,15,0.15849858323733013,0.024001548393603585,0.9875962058703105
axis0_+20deg,encoder_level0,15,0.44373042980829874,0.016186344286423068,0.8963642477989197
axis0_+20deg,encoder_level1,15,0.3206815640131632,0.009473028450751993,0.9471354365348816
axis0_+20deg,encoder_level2,15,0.3613393207391103,0.0021233883570637383,0.9325055678685507
axis0_+20deg,encoder_level3,15,0.3009055902560552,0.018298448515907752,0.953464686870575
axis0_+20deg,encoder_level4,15,0.33944504459698993,0.020859116259529423,0.941478180885315
axis0_+20deg,output_logits,15,0.22823112905025483,0.013007910490103029,0.973569917678833
axis0_+30deg,input,15,0.15652042925357817,0.0238929734886977,0.9879279772440592
axis0_+30deg,encoder_level0,15,0.4947319785753886,0.015598499386701074,0.8688920537630717
axis0_+30deg,encoder_level1,15,0.3761087775230408,0.00734594078053317,0.9266289790471395
axis0_+30deg,encoder_level2,15,0.423423033952713,0.0016602668924639067,0.9064350128173828
axis0_+30deg,encoder_level3,15,0.3061253666877747,0.017940129041605437,0.9518085718154907
axis0_+30deg,encoder_level4,15,0.4063194811344147,0.021595532986302117,0.9135516087214152
axis0_+30deg,output_logits,15,0.27559334337711333,0.01609826006783629,0.9613417983055115
axis1_+5deg,input,15,0.1575637310743332,0.025392104857209292,0.9876119573911031
axis1_+5deg,encoder_level0,15,0.37572251359621683,0.021757121693955262,0.9273369709650675
axis1_+5deg,encoder_level1,15,0.2505927393833796,0.013648210364394484,0.9680712779362997
axis1_+5deg,encoder_level2,15,0.28427297870318097,0.005736598975426597,0.958765172958374
axis1_+5deg,encoder_level3,15,0.23314474324385326,0.0161361196104001,0.9723409533500671
axis1_+5deg,encoder_level4,15,0.15681509772936503,0.011233629508323212,0.987885324160258
axis1_+5deg,output_logits,15,0.1516449640194575,0.007993724639589927,0.9884075403213501
axis1_+10deg,input,15,0.1575994610786438,0.025902286910765897,0.9875987887382507
axis1_+10deg,encoder_level0,15,0.3905831078688304,0.021512818538040896,0.9210069259007772
axis1_+10deg,encoder_level1,15,0.2659526964028676,0.012502650696991814,0.9639491637547811
axis1_+10deg,encoder_level2,15,0.31606906056404116,0.00463817276062891,0.9487251440684
axis1_+10deg,encoder_level3,15,0.27169200976689656,0.017541292296530973,0.9622241695721944
axis1_+10deg,encoder_level4,15,0.23189423282941182,0.014522859223604466,0.9733612259229024
axis1_+10deg,output_logits,15,0.17618932127952575,0.010714423778295816,0.9843177080154419
axis1_+20deg,input,15,0.15645576715469361,0.025567520760648742,0.9878001610438029
axis1_+20deg,encoder_level0,15,0.44240943193435667,0.01785875373308393,0.8967448274294535
axis1_+20deg,encoder_level1,15,0.32773218154907224,0.00970228856670893,0.9447185476620992
axis1_+20deg,encoder_level2,15,0.38726266622543337,0.004721897586423683,0.9221066355705261
axis1_+20deg,encoder_level3,15,0.28812478880087533,0.018305455798089443,0.9574107766151428
axis1_+20deg,encoder_level4,15,0.3371915062268575,0.01964240316078562,0.9417107701301575
axis1_+20deg,output_logits,15,0.25244239568710325,0.025409802233558827,0.9674119353294373
axis1_+30deg,input,15,0.15547692875067393,0.025478677784244716,0.9879631042480469
axis1_+30deg,encoder_level0,15,0.49474916060765584,0.01584925431688877,0.8689300616582235
axis1_+30deg,encoder_level1,15,0.3873851557572683,0.008164931982702895,0.9219834367434184
