transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
resampling_floor,1.0,0.992222447954799,0.992222447954799,0.0,064
axis0_+1mm,0.9987853701178095,0.9921648693985142,0.992222447954799,-5.7578556284743065e-05,064
axis0_+2mm,0.9988042602771438,0.9923205393454914,0.992222447954799,9.80913906923897e-05,064
axis0_+4mm,0.9990040278566336,0.9921504237085177,0.992222447954799,-7.202424628127702e-05,064
axis0_+6mm,0.9971590419945247,0.9912854740644588,0.992222447954799,-0.0009369738903401981,064
axis1_+1mm,0.9984886457117713,0.9921348616218828,0.992222447954799,-8.758633291616746e-05,064
axis1_+2mm,0.9986248524920006,0.9920814284482015,0.992222447954799,-0.00014101950659750617,064
axis1_+4mm,0.9988411495184842,0.9920155472589139,0.992222447954799,-0.00020690069588502613,064
axis1_+6mm,0.998027424544201,0.9920267489711934,0.992222447954799,-0.00019569898360560778,064
axis2_+1mm,0.998663119502581,0.9922885386176875,0.992222447954799,6.609066288854049e-05,064
axis2_+2mm,0.9931648154307897,0.9872026361683063,0.992222447954799,-0.0050198117864926894,064
axis2_+4mm,0.9518000440255349,0.9462191751146343,0.992222447954799,-0.0460032728401647,064
axis2_+6mm,0.8848025222615142,0.8802055303554497,0.992222447954799,-0.11201691759934929,064
resampling_floor,1.0,0.992577197968032,0.992577197968032,0.0,007
axis0_+1mm,0.9984318489274178,0.992544491881627,0.992577197968032,-3.2706086405043244e-05,007
axis0_+2mm,0.9986744432661718,0.9925314497919889,0.992577197968032,-4.5748176043081124e-05,007
axis0_+4mm,0.9991138349414055,0.9926083936898502,0.992577197968032,3.1195721818200184e-05,007
axis0_+6mm,0.9981344469533446,0.9922468214727176,0.992577197968032,-0.0003303764953144217,007
axis1_+1mm,0.9983768922455198,0.9924023842789705,0.992577197968032,-0.00017481368906147043,007
axis1_+2mm,0.998865521515067,0.9924219460442558,0.992577197968032,-0.00015525192377618957,007
