transform,stage,relative_l2,cosine,subject
resampling_floor,input,1.8405938817522838e-06,1.0,064
resampling_floor,encoder_level0,1.803374289011117e-05,1.0,064
resampling_floor,encoder_level1,1.7508678865851834e-05,1.0000001192092896,064
resampling_floor,encoder_level2,1.886932659544982e-05,0.9999999403953552,064
resampling_floor,encoder_level3,1.0121993909706362e-06,1.0,064
resampling_floor,encoder_level4,3.18364755003131e-06,1.0,064
resampling_floor,output_logits,0.00011480338434921578,0.9999999403953552,064
axis0_+1mm,input,1.6056624190241564e-06,1.0,064
axis0_+1mm,encoder_level0,0.015722043812274933,0.9999047517776489,064
axis0_+1mm,encoder_level1,0.21314510703086853,0.977021336555481,064
axis0_+1mm,encoder_level2,0.18595601618289948,0.9825882315635681,064
axis0_+1mm,encoder_level3,0.26442334055900574,0.9644131660461426,064
axis0_+1mm,encoder_level4,0.18753182888031006,0.9828410744667053,064
axis0_+1mm,output_logits,0.06188090518116951,0.9980857968330383,064
axis0_+2mm,input,1.5231406678140047e-06,1.0,064
axis0_+2mm,encoder_level0,0.09693589061498642,0.9956269264221191,064
axis0_+2mm,encoder_level1,0.09158830344676971,0.9959808588027954,064
axis0_+2mm,encoder_level2,0.23633429408073425,0.9717440009117126,064
axis0_+2mm,encoder_level3,0.2443408966064453,0.9696900844573975,064
axis0_+2mm,encoder_level4,0.21263863146305084,0.9775536060333252,064
axis0_+2mm,output_logits,0.0799194797873497,0.996801495552063,064
axis0_+4mm,input,0.25524455308914185,0.9668765664100647,064
axis0_+4mm,encoder_level0,0.3073965907096863,0.9530097246170044,064
axis0_+4mm,encoder_level1,0.2786877751350403,0.9609826803207397,064
axis0_+4mm,encoder_level2,0.2985363006591797,0.9546380639076233,064
axis0_+4mm,encoder_level3,0.30714094638824463,0.9518086910247803,064
axis0_+4mm,encoder_level4,0.18481992185115814,0.9829378128051758,064
axis0_+4mm,output_logits,0.23692744970321655,0.9715708494186401,064
axis0_+6mm,input,0.3247228264808655,0.9458092451095581,064
axis0_+6mm,encoder_level0,0.4036855697631836,0.9173727035522461,064
axis0_+6mm,encoder_level1,0.3860953748226166,0.9237871170043945,064
axis0_+6mm,encoder_level2,0.41552865505218506,0.9095848798751831,064
axis0_+6mm,encoder_level3,0.38583335280418396,0.9226692914962769,064
axis0_+6mm,encoder_level4,0.17164501547813416,0.985194206237793,064
axis0_+6mm,output_logits,0.3357442021369934,0.9421799182891846,064
axis1_+1mm,input,1.8405938817522838e-06,1.0,064
axis1_+1mm,encoder_level0,1.7995778762269765e-05,1.0,064
axis1_+1mm,encoder_level1,0.2831036150455475,0.9592182040214539,064
axis1_+1mm,encoder_level2,0.26167750358581543,0.9651651382446289,064
axis1_+1mm,encoder_level3,0.38999372720718384,0.9208618998527527,064
axis1_+1mm,encoder_level4,0.29818564653396606,0.9561636447906494,064
axis1_+1mm,output_logits,0.10920947045087814,0.9940276145935059,064
axis1_+2mm,input,1.8405938817522838e-06,1.0,064
axis1_+2mm,encoder_level0,0.07277426868677139,0.9973483681678772,064
axis1_+2mm,encoder_level1,0.12622079253196716,0.9920130968093872,064
axis1_+2mm,encoder_level2,0.3160100281238556,0.9487847089767456,064
axis1_+2mm,encoder_level3,0.3641957938671112,0.9314212799072266,064
axis1_+2mm,encoder_level4,0.3316648602485657,0.9461283683776855,064
axis1_+2mm,output_logits,0.1374262124300003,0.9905125498771667,064
axis1_+4mm,input,1.8405938817522838e-06,1.0,064
axis1_+4mm,encoder_level0,0.17802771925926208,0.9840254783630371,064
axis1_+4mm,encoder_level1,0.27013763785362244,0.96283358335495,064
axis1_+4mm,encoder_level2,0.29678434133529663,0.9551100730895996,064
axis1_+4mm,encoder_level3,0.4288593530654907,0.9034345149993896,064
axis1_+4mm,encoder_level4,0.27649030089378357,0.9619954824447632,064
axis1_+4mm,output_logits,0.24649988114833832,0.9691534042358398,064
axis1_+6mm,input,1.8405938817522838e-06,1.0,064
axis1_+6mm,encoder_level0,0.2410067766904831,0.9705233573913574,064
axis1_+6mm,encoder_level1,0.36241093277931213,0.9320308566093445,064
