transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,6,0.9999989845399103,0.9999969232757268,2.850208994746121e-09,-3.0357760255617094e-06
axis0_+1mm,6,0.9984796270161551,0.9978676366356313,1.4242160160105044e-06,-0.000190035334330374
axis0_+2mm,6,0.998754898824232,0.9981822621340786,-7.75030707428533e-05,-0.00048759330282077684
axis0_+4mm,6,0.9989692932413813,0.9986758918318056,-7.556130957285061e-05,-0.0002463859296975013
axis0_+6mm,6,0.9968567938156824,0.9931751371336788,-0.0015093879622034752,-0.004886540654992055
axis1_+1mm,6,0.9984663595915139,0.9978821409957853,-6.741777476767148e-05,-0.0006395020322388367
axis1_+2mm,6,0.9987317791568731,0.9982887855197513,-0.00011171717381390038,-0.0002874212710616275
axis1_+4mm,6,0.9990440996861332,0.9988411495184842,-0.00010913141684935439,-0.00020690069588502613
axis1_+6mm,6,0.998547947239266,0.998027424544201,-0.00012763605318677484,-0.00026311214450658316
axis2_+1mm,6,0.9978346338468556,0.9965810954386308,-7.757552250718207e-05,-0.0005768012934869171
axis2_+2mm,6,0.9957765707783032,0.9931427960280047,-0.0015372385342710866,-0.00528184953993982
axis2_+4mm,6,0.9812469634141335,0.9463834179065967,-0.016338135286180926,-0.051056177795572144
axis2_+6mm,6,0.9581265932398791,0.8751768488745981,-0.03904562567466907,-0.12154619519356724
