transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,6,1.7102706427370624e-06,2.0914907507008657e-07,0.999999980131785
resampling_floor,encoder_level0,6,1.872897731421593e-05,7.105132311653346e-07,1.0000000099341075
resampling_floor,encoder_level1,6,1.845082473058331e-05,1.2330833131491204e-06,1.0
resampling_floor,encoder_level2,6,2.0841782315983437e-05,2.018238100858348e-06,0.9999999701976776
resampling_floor,encoder_level3,6,9.128546404705654e-07,6.299316889749238e-08,0.9999999900658926
resampling_floor,encoder_level4,6,3.549003054104105e-06,6.075765469952692e-07,0.9999999900658926
resampling_floor,output_logits,6,0.00011266386475957309,2.2818606836486412e-06,0.999999980131785
axis0_+1mm,input,6,1.4617481648807977e-06,1.875614725913302e-07,1.0
axis0_+1mm,encoder_level0,6,0.013937889132648706,0.0030789056054144866,0.9999176959196726
axis0_+1mm,encoder_level1,6,0.20241621633370718,0.008477022208296768,0.9792660077412924
axis0_+1mm,encoder_level2,6,0.18663742393255234,0.0035353388496235033,0.9824391504128774
axis0_+1mm,encoder_level3,6,0.2294312591354052,0.028407328710633367,0.972888857126236
axis0_+1mm,encoder_level4,6,0.17864768207073212,0.016893875584028332,0.9841247797012329
axis0_+1mm,output_logits,6,0.06393086723983288,0.0012628220876862509,0.9979559282461802
axis0_+2mm,input,6,1.3723259068380382e-06,1.7178350600238777e-07,0.9999999900658926
axis0_+2mm,encoder_level0,6,0.06525056933363278,0.016421333257599736,0.9978742698828379
axis0_+2mm,encoder_level1,6,0.09355487177769344,0.0018117935400889411,0.9957573711872101
axis0_+2mm,encoder_level2,6,0.22891713927189508,0.006696911931388715,0.9734774132569631
axis0_+2mm,encoder_level3,6,0.21295959750811258,0.024118353682502463,0.9767519136269888
axis0_+2mm,encoder_level4,6,0.19830092787742615,0.01782631208758798,0.980273594458898
axis0_+2mm,output_logits,6,0.07592046757539113,0.006493603027578678,0.9970941841602325
axis0_+4mm,input,6,0.1702524075905482,0.05795844499660576,0.9836321572462717
axis0_+4mm,encoder_level0,6,0.23704473674297333,0.04227017063094725,0.9710842271645864
axis0_+4mm,encoder_level1,6,0.27129335204760235,0.006553053841002034,0.9629445274670919
axis0_+4mm,encoder_level2,6,0.29336629807949066,0.008790005240771701,0.956157902876536
axis0_+4mm,encoder_level3,6,0.27305568506320316,0.028200246560763306,0.9616586168607076
axis0_+4mm,encoder_level4,6,0.17981062084436417,0.01649289537770085,0.9836548169453939
axis0_+4mm,output_logits,6,0.22349693377812704,0.01652247303441823,0.9745865861574808
axis0_+6mm,input,6,0.2515728597839673,0.07160894967759593,0.9649740755558014
axis0_+6mm,encoder_level0,6,0.3464654783407847,0.04652122863769538,0.9382076064745585
axis0_+6mm,encoder_level1,6,0.38225676616032916,0.006415130355832258,0.9252318640549978
axis0_+6mm,encoder_level2,6,0.4094392955303192,0.01058112440429758,0.91227454940478
axis0_+6mm,encoder_level3,6,0.36920857429504395,0.012378573539497237,0.9293282826741537
axis0_+6mm,encoder_level4,6,0.17271881798903146,0.0077452010760922655,0.9849638839562734
axis0_+6mm,output_logits,6,0.3231012225151062,0.020581455344231985,0.9462535381317139
axis1_+1mm,input,6,1.7102706427370624e-06,2.0914907507008657e-07,0.999999980131785
axis1_+1mm,encoder_level0,6,1.8718315914156847e-05,7.29063104986343e-07,1.0000000298023224
axis1_+1mm,encoder_level1,6,0.2444043681025505,0.039598553343348615,0.9688639640808105
axis1_+1mm,encoder_level2,6,0.22834161669015884,0.022131191414413453,0.9733185966809591
axis1_+1mm,encoder_level3,6,0.3089070866505305,0.05864800807171551,0.9490842123826345
axis1_+1mm,encoder_level4,6,0.2085602805018425,0.06454479690830986,0.9766847193241119
axis1_+1mm,output_logits,6,0.0956545037527879,0.00982944069941285,0.9953769147396088
axis1_+2mm,input,6,1.7102706427370624e-06,2.0914907507008657e-07,0.999999980131785
axis1_+2mm,encoder_level0,6,0.05796992778778076,0.00824751679676822,0.998284121354421
axis1_+2mm,encoder_level1,6,0.12669168909390768,0.0010612658348116328,0.9919546743233999
axis1_+2mm,encoder_level2,6,0.2688092365860939,0.03058204755675404,0.962680995464325
axis1_+2mm,encoder_level3,6,0.2985464781522751,0.04791827664632723,0.9531681736310323
axis1_+2mm,encoder_level4,6,0.23630489657322565,0.06494243180817405,0.9706127246220907
axis1_+2mm,output_logits,6,0.12026612957318623,0.016572977558910674,0.9926139116287231
axis1_+4mm,input,6,1.7102706427370624e-06,2.0914907507008657e-07,0.999999980131785
axis1_+4mm,encoder_level0,6,0.14189190044999123,0.020080497595016976,0.9896738131841024
axis1_+4mm,encoder_level1,6,0.2654181520144145,0.0025399195636632206,0.9641440709431967
axis1_+4mm,encoder_level2,6,0.2967873364686966,0.000589346901412299,0.9551248749097189
axis1_+4mm,encoder_level3,6,0.34415726860364276,0.0593610852322069,0.9368908007939657
axis1_+4mm,encoder_level4,6,0.20541010548671088,0.053657094681053875,0.9777003328005472
axis1_+4mm,output_logits,6,0.21772675216197968,0.015550240497063227,0.9758938352266947
axis1_+6mm,input,6,1.7102706427370624e-06,2.0914907507008657e-07,0.999999980131785
axis1_+6mm,encoder_level0,6,0.1921027128895124,0.027165981556533828,0.9809826016426086
axis1_+6mm,encoder_level1,6,0.35379428664843243,0.004658031866344668,0.9353204866250356
axis1_+6mm,encoder_level2,6,0.4315357704957326,0.018775836842691362,0.9018711547056834
axis1_+6mm,encoder_level3,6,0.45449694991111755,0.029332060057253837,0.890149345000585
axis1_+6mm,encoder_level4,6,0.19953514635562897,0.008210044855178738,0.9800102909406027
axis1_+6mm,output_logits,6,0.30249370634555817,0.012550396372344832,0.953132152557373
axis2_+1mm,input,6,1.7084109534456122e-06,2.078924235515766e-07,0.999999980131785
axis2_+1mm,encoder_level0,6,3.6526415594077356e-05,2.5105349836223606e-05,1.0000000298023224
axis2_+1mm,encoder_level1,6,0.27434763063987094,0.02979695337791559,0.9611398080984751
axis2_+1mm,encoder_level2,6,0.24425018578767776,0.04062889278286924,0.9688292940457662
axis2_+1mm,encoder_level3,6,0.26922598481178284,0.01843737558736506,0.9628966450691223
axis2_+1mm,encoder_level4,6,0.22874263177315393,0.05545369068807711,0.9728160500526428
axis2_+1mm,output_logits,6,0.08518234019478162,0.014858008095753618,0.9962623318036398
axis2_+2mm,input,6,0.037749131155294435,0.0545319295853941,0.9977925022443136
axis2_+2mm,encoder_level0,6,0.08640258635083835,0.04918377256289027,0.9950547019640604
axis2_+2mm,encoder_level1,6,0.13554170231024423,0.017268561246295777,0.9906483391920725
axis2_+2mm,encoder_level2,6,0.2908633127808571,0.03131101499527855,0.956213504076004
axis2_+2mm,encoder_level3,6,0.260286383330822,0.026821874923476884,0.9651776452859243
axis2_+2mm,encoder_level4,6,0.25517772138118744,0.06308036725986378,0.96565513809522
axis2_+2mm,output_logits,6,0.14505851765473685,0.015873395419701876,0.9894137779871622
axis2_+4mm,input,6,0.20391567796468735,0.1011631637673029,0.9734093248844147
axis2_+4mm,encoder_level0,6,0.27635492632786435,0.06457388226692111,0.9591275850931803
axis2_+4mm,encoder_level1,6,0.3315397600332896,0.01040210248715036,0.9438022474447886
axis2_+4mm,encoder_level2,6,0.35040657718976337,0.0053310377912786245,0.9372526605923971
axis2_+4mm,encoder_level3,6,0.31873824695746106,0.017584313059617152,0.947797934214274
axis2_+4mm,encoder_level4,6,0.22529355436563492,0.042757818503272864,0.9737542271614075
axis2_+4mm,output_logits,6,0.30020522077878314,0.044838358347324046,0.9532147943973541
axis2_+6mm,input,6,0.30415503184000653,0.14566844695488151,0.9396904408931732
axis2_+6mm,encoder_level0,6,0.38173431654771167,0.08463485710821851,0.9215817948182424
axis2_+6mm,encoder_level1,6,0.4443887372811635,0.018087174633371693,0.8971537252267202
axis2_+6mm,encoder_level2,6,0.47449974219004315,0.00956572841704675,0.880385180314382
axis2_+6mm,encoder_level3,6,0.42864202956358594,0.011857858546841,0.9035049974918365
axis2_+6mm,encoder_level4,6,0.20399281630913416,0.012040138353176908,0.9794270793596903
axis2_+6mm,output_logits,6,0.39851414163907367,0.06400702308985169,0.9159213900566101
