transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
resampling_floor,0.9999922657488689,0.8953348619552154,0.8953272302630457,7.631692169662863e-06,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,0.9768955111278763,0.911321245770799,0.8953272302630457,0.015994015507753256,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,0.9822076837199135,0.9049271817484993,0.8953272302630457,0.009599951485453562,POLYIC_20190510_mouse34__E2_P1
axis0_+4mm,0.9730369902491018,0.9159988489409384,0.8953272302630457,0.02067161867789269,POLYIC_20190510_mouse34__E2_P1
axis0_+6mm,0.9857055308717635,0.8861523928408765,0.8953272302630457,-0.00917483742216918,POLYIC_20190510_mouse34__E2_P1
axis1_+1mm,0.9734308643281394,0.8734919738110273,0.8953272302630457,-0.021835256452018448,POLYIC_20190510_mouse34__E2_P1
axis1_+2mm,0.9844189917990656,0.8875672661840116,0.8953272302630457,-0.007759964079034121,POLYIC_20190510_mouse34__E2_P1
axis1_+4mm,0.9863902879625236,0.8851210139553698,0.8953272302630457,-0.01020621630767593,POLYIC_20190510_mouse34__E2_P1
axis1_+6mm,0.9806535192801454,0.9034857393744781,0.8953272302630457,0.008158509111432344,POLYIC_20190510_mouse34__E2_P1
axis2_+1mm,0.9757764552724567,0.8968651234304262,0.8953272302630457,0.0015378931673805107,POLYIC_20190510_mouse34__E2_P1
axis2_+2mm,0.976129042226102,0.8941328702284878,0.8953272302630457,-0.001194360034557973,POLYIC_20190510_mouse34__E2_P1
axis2_+4mm,0.9817201996386907,0.8848286672622158,0.8953272302630457,-0.010498563000829964,POLYIC_20190510_mouse34__E2_P1
axis2_+6mm,0.9631228838876718,0.9249737993958449,0.8953272302630457,0.029646569132799172,POLYIC_20190510_mouse34__E2_P1
resampling_floor,0.9999843664504026,0.9129988897081882,0.9129988897081882,0.0,POLYIC_20190510_mouse35__E3_P1
axis0_+1mm,0.9887755102040816,0.9165737248524992,0.9129988897081882,0.003574835144311006,POLYIC_20190510_mouse35__E3_P1
axis0_+2mm,0.9829655349194882,0.9068150442775851,0.9129988897081882,-0.00618384543060313,POLYIC_20190510_mouse35__E3_P1
axis0_+4mm,0.9899920596860038,0.9184519342293784,0.9129988897081882,0.00545304452119022,POLYIC_20190510_mouse35__E3_P1
axis0_+6mm,0.9865188573200512,0.904495514565064,0.9129988897081882,-0.008503375143124159,POLYIC_20190510_mouse35__E3_P1
axis1_+1mm,0.9712042084397514,0.8889640494299714,0.9129988897081882,-0.024034840278216785,POLYIC_20190510_mouse35__E3_P1
axis1_+2mm,0.9775178525538691,0.9088883261585211,0.9129988897081882,-0.004110563549667101,POLYIC_20190510_mouse35__E3_P1
axis1_+4mm,0.9805389221556886,0.9006343554898076,0.9129988897081882,-0.012364534218380574,POLYIC_20190510_mouse35__E3_P1
axis1_+6mm,0.9785476052122554,0.9295494623284118,0.9129988897081882,0.016550572620223636,POLYIC_20190510_mouse35__E3_P1
axis2_+1mm,0.9767764136180681,0.9091507459663809,0.9129988897081882,-0.0038481437418073083,POLYIC_20190510_mouse35__E3_P1
axis2_+2mm,0.9801472717171006,0.9138381644151788,0.9129988897081882,0.0008392747069906337,POLYIC_20190510_mouse35__E3_P1
axis2_+4mm,0.9832219747587231,0.9128128653979767,0.9129988897081882,-0.00018602431021152999,POLYIC_20190510_mouse35__E3_P1
axis2_+6mm,0.9792779959547626,0.9201502732240437,0.9129988897081882,0.007151383515855536,POLYIC_20190510_mouse35__E3_P1
resampling_floor,0.9999865448527334,0.8935722437122997,0.8935590005038978,1.3243208401902962e-05,POLYIC_20190510_mouse37__E2_P1
axis0_+1mm,0.9808549231664327,0.9099615556008731,0.8935590005038978,0.016402555096975302,POLYIC_20190510_mouse37__E2_P1
axis0_+2mm,0.9835107180332784,0.9062119549697143,0.8935590005038978,0.01265295446581649,POLYIC_20190510_mouse37__E2_P1
axis0_+4mm,0.9930958149705408,0.8968953337051496,0.8935590005038978,0.0033363332012518176,POLYIC_20190510_mouse37__E2_P1
axis0_+6mm,0.9824661594838429,0.9040789858386248,0.8935590005038978,0.010519985334726978,POLYIC_20190510_mouse37__E2_P1
axis1_+1mm,0.982012561806762,0.8865434968079786,0.8935590005038978,-0.00701550369591919,POLYIC_20190510_mouse37__E2_P1
axis1_+2mm,0.9858305246314643,0.9050905240709174,0.8935590005038978,0.011531523567019586,POLYIC_20190510_mouse37__E2_P1
axis1_+4mm,0.987001733102253,0.8847304949972126,0.8935590005038978,-0.008828505506685236,POLYIC_20190510_mouse37__E2_P1
axis1_+6mm,0.9862854045263586,0.8991365659824923,0.8935590005038978,0.005577565478594448,POLYIC_20190510_mouse37__E2_P1
axis2_+1mm,0.9713666655723713,0.869063336435585,0.8935590005038978,-0.024495664068312828,POLYIC_20190510_mouse37__E2_P1
axis2_+2mm,0.9877160386563832,0.8887809902155521,0.8935590005038978,-0.00477801028834568,POLYIC_20190510_mouse37__E2_P1
axis2_+4mm,0.9472568451164691,0.8463949843260188,0.8935590005038978,-0.04716401617787902,POLYIC_20190510_mouse37__E2_P1
axis2_+6mm,0.9772375954514997,0.8827087970226585,0.8935590005038978,-0.010850203481239329,POLYIC_20190510_mouse37__E2_P1
