transform,stage,relative_l2,cosine,subject
resampling_floor,input,2.3405148112942697e-06,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level0,1.8289896615897305e-05,0.9999998807907104,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level1,1.9823419279418886e-05,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level2,2.2279424229054712e-05,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level3,7.258019536493521e-07,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,encoder_level4,5.13028089699219e-06,1.0,POLYIC_20190510_mouse34__E2_P1
resampling_floor,output_logits,0.00013074901653453708,1.0,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,input,2.095157469739206e-06,1.0,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,encoder_level0,1.9654677089420147e-05,1.0,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,encoder_level1,0.2090858668088913,0.9779104590415955,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,encoder_level2,0.23350889980793,0.972376823425293,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,encoder_level3,0.2237289547920227,0.9746597409248352,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,encoder_level4,0.19614316523075104,0.9809662103652954,POLYIC_20190510_mouse34__E2_P1
axis0_+1mm,output_logits,0.1199120581150055,0.9927940368652344,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,input,2.158983079425525e-06,1.0,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,encoder_level0,1.9353103198227473e-05,1.0,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,encoder_level1,0.07448069006204605,0.9972394704818726,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,encoder_level2,0.24808907508850098,0.9687475562095642,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,encoder_level3,0.2136346995830536,0.9769208431243896,POLYIC_20190510_mouse34__E2_P1
axis0_+2mm,encoder_level4,0.22849437594413757,0.9740497469902039,POLYIC_20190510_mouse34__E2_P1
