transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,15,2.530984685715036e-06,4.6445271438957476e-07,1.000000003973643
resampling_floor,encoder_level0,15,1.8475259882203924e-05,6.308309356555362e-07,0.9999999761581421
resampling_floor,encoder_level1,15,1.9866279520404834e-05,1.5628205864014443e-06,0.9999999761581421
resampling_floor,encoder_level2,15,2.252474041597452e-05,1.336736296016443e-06,1.0000000278155008
resampling_floor,encoder_level3,15,7.814492922382973e-07,1.4257724278493855e-07,1.0
resampling_floor,encoder_level4,15,4.109792159094165e-06,6.790750825944873e-07,1.000000007947286
resampling_floor,output_logits,15,0.0001274132509327804,2.0366095460106826e-06,1.0000000238418578
axis0_+1mm,input,15,2.2681359496345977e-06,3.7978329821209417e-07,1.000000007947286
axis0_+1mm,encoder_level0,15,1.969298282347154e-05,3.8338799966924517e-07,0.9999999920527141
axis0_+1mm,encoder_level1,15,0.21760733922322592,0.024270856200777517,0.975731345017751
axis0_+1mm,encoder_level2,15,0.2334514131148656,0.005492594873624629,0.9723771293958028
axis0_+1mm,encoder_level3,15,0.22667694687843323,0.010078852541141449,0.9739262104034424
axis0_+1mm,encoder_level4,15,0.19379211962223053,0.01213004347453213,0.9812855998675029
axis0_+1mm,output_logits,15,0.09864788204431534,0.009373829274225955,0.9950851003328959
axis0_+2mm,input,15,2.248320432348313e-06,3.591218455626161e-07,0.999999996026357
axis0_+2mm,encoder_level0,15,2.029139638276926e-05,2.4642999355468433e-06,1.000000003973643
axis0_+2mm,encoder_level1,15,0.07560305744409561,0.0038342396996584225,0.9971489111582438
axis0_+2mm,encoder_level2,15,0.24719598193963369,0.004985761738187319,0.9689613819122315
axis0_+2mm,encoder_level3,15,0.21446183721224468,0.009016267934156044,0.9766970992088317
axis0_+2mm,encoder_level4,15,0.21866939266522725,0.011679476019598558,0.9761092503865559
axis0_+2mm,output_logits,15,0.10962590922911962,0.006962714490047516,0.993970763683319
axis0_+4mm,input,15,2.2474179331766208e-06,3.3977428097773536e-07,1.000000003973643
axis0_+4mm,encoder_level0,15,0.08680733293294907,0.0018460674824270946,0.9962233861287435
axis0_+4mm,encoder_level1,15,0.21137232581774393,0.0025778823897966677,0.9774191339810689
axis0_+4mm,encoder_level2,15,0.2832981129487356,0.0025055184472883526,0.959313710530599
axis0_+4mm,encoder_level3,15,0.2642496864000956,0.010437965597704177,0.9644546588261922
axis0_+4mm,encoder_level4,15,0.21547657748063406,0.007875835212689862,0.9766706387201946
axis0_+4mm,output_logits,15,0.19756204386552176,0.006975456611348344,0.9802851517995198
axis0_+6mm,input,15,0.14881782134373983,0.017097102385859455,0.98871408700943
axis0_+6mm,encoder_level0,15,0.2330476701259613,0.014853837678441579,0.9724792838096619
axis0_+6mm,encoder_level1,15,0.3398161550362905,0.0024735964845785034,0.9407784342765808
axis0_+6mm,encoder_level2,15,0.39566331505775454,0.005486023151022898,0.918387504418691
axis0_+6mm,encoder_level3,15,0.3617801030476888,0.005150570608497877,0.9323369264602661
axis0_+6mm,encoder_level4,15,0.1986495574315389,0.006638300582669339,0.9800743818283081
axis0_+6mm,output_logits,15,0.2801315446694692,0.005216408037120366,0.9599914948145548
axis1_+1mm,input,15,2.530984685715036e-06,4.6445271438957476e-07,1.000000003973643
axis1_+1mm,encoder_level0,15,1.8475291532619546e-05,6.326924091529512e-07,0.9999999920527141
axis1_+1mm,encoder_level1,15,0.22577601571877798,0.017680567636364282,0.9740090608596802
axis1_+1mm,encoder_level2,15,0.21949491500854493,0.0066787625119032225,0.9755919734636943
axis1_+1mm,encoder_level3,15,0.2687824755907059,0.013015513988858198,0.9631699124972025
axis1_+1mm,encoder_level4,15,0.23415727615356446,0.022321373139784002,0.972361707687378
axis1_+1mm,output_logits,15,0.13563348402579625,0.018454435539051264,0.990613830089569
axis1_+2mm,input,15,2.530984685715036e-06,4.6445271438957476e-07,1.000000003973643
axis1_+2mm,encoder_level0,15,0.04340367019176483,0.0009230327940798962,0.9990571697552999
axis1_+2mm,encoder_level1,15,0.12564338147640228,0.0024450279413065793,0.9920890967051188
axis1_+2mm,encoder_level2,15,0.2371106853087743,0.009082406722614006,0.9714509169260661
axis1_+2mm,encoder_level3,15,0.2224055379629135,0.013677763033742487,0.974865750471751
axis1_+2mm,encoder_level4,15,0.21953514218330383,0.014759966014845912,0.9761687477429708
axis1_+2mm,output_logits,15,0.13519893785317738,0.007187749154264347,0.9908101201057434
axis1_+4mm,input,15,2.530984685715036e-06,4.6445271438957476e-07,1.000000003973643
axis1_+4mm,encoder_level0,15,0.10631683518489202,0.002260962136058291,0.9943297187487284
axis1_+4mm,encoder_level1,15,0.2544828375180562,0.0025787403617210064,0.9670916199684143
axis1_+4mm,encoder_level2,15,0.2959299107392629,0.0027354921330126226,0.9553776343663534
axis1_+4mm,encoder_level3,15,0.2891825179258982,0.00874010438889256,0.9574792861938477
axis1_+4mm,encoder_level4,15,0.20008090734481812,0.00956072614765456,0.9799343625704448
axis1_+4mm,output_logits,15,0.22694102029005686,0.009952771757769608,0.9738999644915263
axis1_+6mm,input,15,0.09136733853759628,0.04222374756112459,0.9949177106221517
axis1_+6mm,encoder_level0,15,0.22837287584940594,0.040300070995354105,0.9728354771931966
