corruption,severity,within_training_envelope,clean_dice,corrupted_dice,dice_delta,subject
noise,0.05,True,0.992222447954799,0.9920904301295774,-0.00013201782522154204,064
noise,0.1,True,0.992222447954799,0.9918801779687021,-0.000342269986096877,064
noise,0.2,True,0.992222447954799,0.9896399603175364,-0.0025824876372625427,064
noise,0.4,False,0.992222447954799,0.9844010843428852,-0.007821363611913767,064
blur,0.5,True,0.992222447954799,0.9920430103400573,-0.0001794376147417065,064
blur,1.0,True,0.992222447954799,0.9896360503930225,-0.0025863975617764767,064
blur,2.0,False,0.992222447954799,0.9794188233892553,-0.012803624565543625,064
blur,4.0,False,0.992222447954799,0.8978911244812329,-0.0943313234735661,064
intensity,0.1,True,0.992222447954799,0.9922908059089123,6.835795411330725e-05,064
intensity,0.25,True,0.992222447954799,0.9921953956292678,-2.7052325531129462e-05,064
intensity,0.5,False,0.992222447954799,0.9918707938710899,-0.00035165408370907425,064
intensity,0.75,False,0.992222447954799,0.990927832670197,-0.001294615284601952,064
noise,0.05,True,0.992577197968032,0.9924385372908202,-0.0001386606772117993,007
noise,0.1,True,0.992577197968032,0.992127805450235,-0.0004493925177969649,007
noise,0.2,True,0.992577197968032,0.9904521658189188,-0.002125032149113193,007
noise,0.4,False,0.992577197968032,0.9829604215572008,-0.009616776410831251,007
blur,0.5,True,0.992577197968032,0.9925777409342407,5.429662086609e-07,007
blur,1.0,True,0.992577197968032,0.9916043545194634,-0.0009728434485686277,007
blur,2.0,False,0.992577197968032,0.9817826738732791,-0.0107945240947529,007
blur,4.0,False,0.992577197968032,0.9345444438034602,-0.058032754164571765,007
intensity,0.1,True,0.992577197968032,0.9925576779955346,-1.9519972497383797e-05,007
intensity,0.25,True,0.992577197968032,0.9919351496514626,-0.0006420483165694435,007
intensity,0.5,False,0.992577197968032,0.9922558012542955,-0.00032139671373654366,007
intensity,0.75,False,0.992577197968032,0.9894273957277596,-0.0031498022402723924,007
noise,0.05,True,0.9930179134534799,0.9927628624220448,-0.0002550510314350829,043
noise,0.1,True,0.9930179134534799,0.9924810670011095,-0.0005368464523703986,043
noise,0.2,True,0.9930179134534799,0.9902825922339177,-0.0027353212195622145,043
noise,0.4,False,0.9930179134534799,0.9804591352792152,-0.012558778174264651,043
blur,0.5,True,0.9930179134534799,0.9929830380701093,-3.48753833705473e-05,043
blur,1.0,True,0.9930179134534799,0.9914665703797316,-0.001551343073748268,043
blur,2.0,False,0.9930179134534799,0.9792779578557244,-0.013739955597755538,043
blur,4.0,False,0.9930179134534799,0.9294910214149051,-0.06352689203857476,043
intensity,0.1,True,0.9930179134534799,0.9929738857728726,-4.4027680607294783e-05,043
intensity,0.25,True,0.9930179134534799,0.9929267734278037,-9.114002567622848e-05,043
intensity,0.5,False,0.9930179134534799,0.9920008235336861,-0.0010170899197937677,043
intensity,0.75,False,0.9930179134534799,0.9891704438292824,-0.0038474696241974637,043
noise,0.05,True,0.992422193260711,0.9922778894400291,-0.0001443038206818681,078
noise,0.1,True,0.992422193260711,0.9919771254882442,-0.0004450677724667784,078
noise,0.2,True,0.992422193260711,0.9899080428724019,-0.0025141503883091554,078
noise,0.4,False,0.992422193260711,0.9843912846732367,-0.00803090858747435,078
blur,0.5,True,0.992422193260711,0.9923038611866606,-0.00011833207405043122,078
blur,1.0,True,0.992422193260711,0.9900958060776852,-0.002326387183025802,078
blur,2.0,False,0.992422193260711,0.9808269789304077,-0.011595214330303305,078
blur,4.0,False,0.992422193260711,0.9426198354051059,-0.04980235785560516,078
intensity,0.1,True,0.992422193260711,0.9925237479739849,0.0001015547132738881,078
intensity,0.25,True,0.992422193260711,0.992467136034661,4.494277394995194e-05,078
intensity,0.5,False,0.992422193260711,0.9917738977166074,-0.0006482955441036165,078
intensity,0.75,False,0.992422193260711,0.9900987678466654,-0.002323425414045621,078
noise,0.05,True,0.9924140816301419,0.9923760375693123,-3.804406082963396e-05,009
noise,0.1,True,0.9924140816301419,0.9924824056301983,6.832400005640782e-05,009
noise,0.2,True,0.9924140816301419,0.9918341515566724,-0.000579930073469459,009
noise,0.4,False,0.9924140816301419,0.9832953752061782,-0.00911870642396373,009
blur,0.5,True,0.9924140816301419,0.9923121429978333,-0.00010193863230856248,009
blur,1.0,True,0.9924140816301419,0.9915318195960287,-0.0008822620341132348,009
blur,2.0,False,0.9924140816301419,0.9815668487148631,-0.010847232915278782,009
blur,4.0,False,0.9924140816301419,0.9154737229253328,-0.07694035870480909,009
intensity,0.1,True,0.9924140816301419,0.9923537704776739,-6.031115246796226e-05,009
intensity,0.25,True,0.9924140816301419,0.9923189680445618,-9.511358558011995e-05,009
intensity,0.5,False,0.9924140816301419,0.9923288428749174,-8.523875522448154e-05,009
intensity,0.75,False,0.9924140816301419,0.9896583638485373,-0.0027557177816045497,009
noise,0.05,True,0.9935452247046076,0.9934150625607746,-0.0001301621438329903,099
noise,0.1,True,0.9935452247046076,0.9931984724945815,-0.00034675221002611334,099
noise,0.2,True,0.9935452247046076,0.9913756874311924,-0.0021695372734151785,099
noise,0.4,False,0.9935452247046076,0.9816621247119085,-0.011883099992699098,099
blur,0.5,True,0.9935452247046076,0.9932746811982358,-0.0002705435063717898,099
blur,1.0,True,0.9935452247046076,0.9916548761351066,-0.001890348569500988,099
blur,2.0,False,0.9935452247046076,0.9816041056093784,-0.011941119095229213,099
