corruption,severity,within_training_envelope,n,mean_clean_dice,mean_corrupted_dice,min_corrupted_dice,mean_dice_delta,worst_dice_delta
blur,0.5,True,6,0.9926998431619619,0.9925824124545229,0.9920430103400573,-0.00011743070743906274,-0.0002705435063717898
blur,1.0,True,6,0.9926998431619619,0.9909982461835063,0.9896360503930225,-0.0017015969784555662,-0.0025863975617764767
blur,2.0,False,6,0.9926998431619619,0.9807462313954846,0.9792779578557244,-0.011953611766477227,-0.013739955597755538
blur,4.0,False,6,0.9926998431619619,0.9257394370512495,0.8978911244812329,-0.06696040611071237,-0.0943313234735661
intensity,0.1,True,6,0.9926998431619619,0.9926839943851475,0.9922908059089123,-1.5848776814301562e-05,-0.00014114652270036387
intensity,0.25,True,6,0.9926998431619619,0.9924294061525726,0.9919351496514626,-0.0002704370093892979,-0.0008122105769288179
intensity,0.5,False,6,0.9926998431619619,0.9919539428196947,0.9914934976675719,-0.0007459003422671991,-0.002051727037035711
intensity,0.75,False,6,0.9926998431619619,0.9891523198929008,0.9856311154349631,-0.003547523269061085,-0.007914109269644531
noise,0.05,True,6,0.9926998431619619,0.9925601365687599,0.9920904301295774,-0.00013970659320215276,-0.0002550510314350829
noise,0.1,True,6,0.9926998431619619,0.9923578423388452,0.9918801779687021,-0.0003420008231167874,-0.0005368464523703986
noise,0.2,True,6,0.9926998431619619,0.9905821000384399,0.9896399603175364,-0.002117743123521957,-0.0027353212195622145
noise,0.4,False,6,0.9926998431619619,0.9828615709617706,0.9804591352792152,-0.009838272200191142,-0.012558778174264651
