corruption,severity,within_training_envelope,clean_dice,corrupted_dice,dice_delta,subject
noise,0.05,True,0.8953272302630457,0.8935518716668509,-0.0017753585961948204,POLYIC_20190510_mouse34__E2_P1
noise,0.1,True,0.8953272302630457,0.8829084676267456,-0.012418762636300151,POLYIC_20190510_mouse34__E2_P1
noise,0.2,True,0.8953272302630457,0.822496871088861,-0.07283035917418468,POLYIC_20190510_mouse34__E2_P1
noise,0.4,False,0.8953272302630457,0.6015208560671417,-0.29380637419590405,POLYIC_20190510_mouse34__E2_P1
blur,0.5,True,0.8953272302630457,0.8787820550314597,-0.01654517523158605,POLYIC_20190510_mouse34__E2_P1
blur,1.0,True,0.8953272302630457,0.8139455676997863,-0.0813816625632594,POLYIC_20190510_mouse34__E2_P1
blur,2.0,False,0.8953272302630457,0.620960977281051,-0.2743662529819947,POLYIC_20190510_mouse34__E2_P1
blur,4.0,False,0.8953272302630457,0.47144695732847025,-0.4238802729345755,POLYIC_20190510_mouse34__E2_P1
intensity,0.1,True,0.8953272302630457,0.8973826552846779,0.00205542502163214,POLYIC_20190510_mouse34__E2_P1
intensity,0.25,True,0.8953272302630457,0.9002385078673278,0.004911277604282116,POLYIC_20190510_mouse34__E2_P1
intensity,0.5,False,0.8953272302630457,0.8979728224548897,0.002645592191844015,POLYIC_20190510_mouse34__E2_P1
intensity,0.75,False,0.8953272302630457,0.9060715059588299,0.010744275695784178,POLYIC_20190510_mouse34__E2_P1
noise,0.05,True,0.9129988897081882,0.9117776498865906,-0.0012212398215976084,POLYIC_20190510_mouse35__E3_P1
noise,0.1,True,0.9129988897081882,0.9057866245250664,-0.007212265183121791,POLYIC_20190510_mouse35__E3_P1
noise,0.2,True,0.9129988897081882,0.8727581741663969,-0.040240715541791316,POLYIC_20190510_mouse35__E3_P1
noise,0.4,False,0.9129988897081882,0.6375076734192756,-0.2754912162889126,POLYIC_20190510_mouse35__E3_P1
blur,0.5,True,0.9129988897081882,0.9067306074373213,-0.006268282270866954,POLYIC_20190510_mouse35__E3_P1
blur,1.0,True,0.9129988897081882,0.8774684245242302,-0.03553046518395797,POLYIC_20190510_mouse35__E3_P1
blur,2.0,False,0.9129988897081882,0.6532133894256998,-0.25978550028248837,POLYIC_20190510_mouse35__E3_P1
blur,4.0,False,0.9129988897081882,0.46455143657567266,-0.44844745313251555,POLYIC_20190510_mouse35__E3_P1
intensity,0.1,True,0.9129988897081882,0.91292151495377,-7.7374754418158e-05,POLYIC_20190510_mouse35__E3_P1
intensity,0.25,True,0.9129988897081882,0.9051417620012272,-0.007857127706961009,POLYIC_20190510_mouse35__E3_P1
intensity,0.5,False,0.9129988897081882,0.9181052128820961,0.005106323173907912,POLYIC_20190510_mouse35__E3_P1
intensity,0.75,False,0.9129988897081882,0.4559034189587198,-0.45709547074946844,POLYIC_20190510_mouse35__E3_P1
noise,0.05,True,0.8935590005038978,0.8848072296226748,-0.008751770881223031,POLYIC_20190510_mouse37__E2_P1
noise,0.1,True,0.8935590005038978,0.8737380321267689,-0.019820968377128878,POLYIC_20190510_mouse37__E2_P1
noise,0.2,True,0.8935590005038978,0.8004582751107608,-0.09310072539313696,POLYIC_20190510_mouse37__E2_P1
noise,0.4,False,0.8935590005038978,0.5469251427410801,-0.34663385776281774,POLYIC_20190510_mouse37__E2_P1
blur,0.5,True,0.8935590005038978,0.900270024317107,0.006711023813209205,POLYIC_20190510_mouse37__E2_P1
blur,1.0,True,0.8935590005038978,0.8840312257421973,-0.009527774761700525,POLYIC_20190510_mouse37__E2_P1
blur,2.0,False,0.8935590005038978,0.777490872328506,-0.1160681281753918,POLYIC_20190510_mouse37__E2_P1
blur,4.0,False,0.8935590005038978,0.4812243804972501,-0.4123346200066477,POLYIC_20190510_mouse37__E2_P1
intensity,0.1,True,0.8935590005038978,0.8917211586827233,-0.001837841821174524,POLYIC_20190510_mouse37__E2_P1
intensity,0.25,True,0.8935590005038978,0.8943637954299442,0.0008047949260463483,POLYIC_20190510_mouse37__E2_P1
intensity,0.5,False,0.8935590005038978,0.8899560415204463,-0.003602958983451532,POLYIC_20190510_mouse37__E2_P1
intensity,0.75,False,0.8935590005038978,0.8816591872442294,-0.01189981325966838,POLYIC_20190510_mouse37__E2_P1
noise,0.05,True,0.9066081443550353,0.902973616594598,-0.0036345277604373782,POLYIC_20190510_mouse38__E2_P1
noise,0.1,True,0.9066081443550353,0.8987149414359302,-0.007893202919105113,POLYIC_20190510_mouse38__E2_P1
noise,0.2,True,0.9066081443550353,0.8397051010531066,-0.06690304330192876,POLYIC_20190510_mouse38__E2_P1
noise,0.4,False,0.9066081443550353,0.6006283592553164,-0.3059797850997189,POLYIC_20190510_mouse38__E2_P1
blur,0.5,True,0.9066081443550353,0.893985160400886,-0.012622983954149292,POLYIC_20190510_mouse38__E2_P1
blur,1.0,True,0.9066081443550353,0.8482617767198566,-0.05834636763517875,POLYIC_20190510_mouse38__E2_P1
blur,2.0,False,0.9066081443550353,0.6281483900819248,-0.27845975427311054,POLYIC_20190510_mouse38__E2_P1
blur,4.0,False,0.9066081443550353,0.4588475288319767,-0.4477606155230586,POLYIC_20190510_mouse38__E2_P1
intensity,0.1,True,0.9066081443550353,0.903504575788706,-0.0031035685663293178,POLYIC_20190510_mouse38__E2_P1
intensity,0.25,True,0.9066081443550353,0.9048909415082039,-0.0017172028468314116,POLYIC_20190510_mouse38__E2_P1
intensity,0.5,False,0.9066081443550353,0.9085767846312589,0.0019686402762235655,POLYIC_20190510_mouse38__E2_P1
intensity,0.75,False,0.9066081443550353,0.8965362193004217,-0.010071925054613629,POLYIC_20190510_mouse38__E2_P1
noise,0.05,True,0.9181062759676362,0.914679113185531,-0.0034271627821051975,POLYIC_20190510_mouse39__E4_P1
noise,0.1,True,0.9181062759676362,0.9098377776230593,-0.00826849834457688,POLYIC_20190510_mouse39__E4_P1
noise,0.2,True,0.9181062759676362,0.8556121782307592,-0.062494097736876975,POLYIC_20190510_mouse39__E4_P1
noise,0.4,False,0.9181062759676362,0.5457690285324207,-0.37233724743521546,POLYIC_20190510_mouse39__E4_P1
blur,0.5,True,0.9181062759676362,0.9063279061894063,-0.01177836977822988,POLYIC_20190510_mouse39__E4_P1
blur,1.0,True,0.9181062759676362,0.8607421147568519,-0.05736416121078425,POLYIC_20190510_mouse39__E4_P1
blur,2.0,False,0.9181062759676362,0.6612573107613285,-0.2568489652063076,POLYIC_20190510_mouse39__E4_P1
blur,4.0,False,0.9181062759676362,0.42823631020563513,-0.48986996576200104,POLYIC_20190510_mouse39__E4_P1
intensity,0.1,True,0.9181062759676362,0.9179743948258489,-0.00013188114178730448,POLYIC_20190510_mouse39__E4_P1
intensity,0.25,True,0.9181062759676362,0.9130556593201344,-0.005050616647501727,POLYIC_20190510_mouse39__E4_P1
intensity,0.5,False,0.9181062759676362,0.916510816033913,-0.0015954599337231201,POLYIC_20190510_mouse39__E4_P1
intensity,0.75,False,0.9181062759676362,0.4517396699912672,-0.466366605976369,POLYIC_20190510_mouse39__E4_P1
noise,0.05,True,0.9208203593296161,0.9170891905963394,-0.003731168733276724,POLYIC_20190510_mouse42__E2_P1
noise,0.1,True,0.9208203593296161,0.9054502894378895,-0.015370069891726623,POLYIC_20190510_mouse42__E2_P1
noise,0.2,True,0.9208203593296161,0.7947289657465912,-0.1260913935830249,POLYIC_20190510_mouse42__E2_P1
noise,0.4,False,0.9208203593296161,0.5339061203872337,-0.3869142389423824,POLYIC_20190510_mouse42__E2_P1
blur,0.5,True,0.9208203593296161,0.9152044214780324,-0.005615937851583763,POLYIC_20190510_mouse42__E2_P1
blur,1.0,True,0.9208203593296161,0.8929643629349635,-0.027855996394652638,POLYIC_20190510_mouse42__E2_P1
blur,2.0,False,0.9208203593296161,0.7153820777911254,-0.20543828153849075,POLYIC_20190510_mouse42__E2_P1
blur,4.0,False,0.9208203593296161,0.4735802080442104,-0.44724015128540573,POLYIC_20190510_mouse42__E2_P1
intensity,0.1,True,0.9208203593296161,0.9221047886598354,0.0012844293302192167,POLYIC_20190510_mouse42__E2_P1
intensity,0.25,True,0.9208203593296161,0.9148499676706074,-0.0059703916590087,POLYIC_20190510_mouse42__E2_P1
intensity,0.5,False,0.9208203593296161,0.9137925553895546,-0.007027803940061528,POLYIC_20190510_mouse42__E2_P1
intensity,0.75,False,0.9208203593296161,0.8785233263247707,-0.04229703300484544,POLYIC_20190510_mouse42__E2_P1
noise,0.05,True,0.9306000376789751,0.9301138502070003,-0.0004861874719748194,POLYIC_20190510_mouse43__E2_P1_1
noise,0.1,True,0.9306000376789751,0.9282805403311934,-0.002319497347781696,POLYIC_20190510_mouse43__E2_P1_1
noise,0.2,True,0.9306000376789751,0.916568198141841,-0.014031839537134161,POLYIC_20190510_mouse43__E2_P1_1
noise,0.4,False,0.9306000376789751,0.6200009369583209,-0.3105991007206542,POLYIC_20190510_mouse43__E2_P1_1
blur,0.5,True,0.9306000376789751,0.9243885917170821,-0.006211445961893047,POLYIC_20190510_mouse43__E2_P1_1
blur,1.0,True,0.9306000376789751,0.9059267734553775,-0.024673264223597613,POLYIC_20190510_mouse43__E2_P1_1
blur,2.0,False,0.9306000376789751,0.649334718144571,-0.28126531953440415,POLYIC_20190510_mouse43__E2_P1_1
blur,4.0,False,0.9306000376789751,0.3458678045806845,-0.5847322330982907,POLYIC_20190510_mouse43__E2_P1_1
intensity,0.1,True,0.9306000376789751,0.9316370324954016,0.0010369948164264953,POLYIC_20190510_mouse43__E2_P1_1
intensity,0.25,True,0.9306000376789751,0.9248648080449433,-0.005735229634031835,POLYIC_20190510_mouse43__E2_P1_1
intensity,0.5,False,0.9306000376789751,0.9149566223250434,-0.015643415353931767,POLYIC_20190510_mouse43__E2_P1_1
intensity,0.75,False,0.9306000376789751,0.9310905747559998,0.000490537077024622,POLYIC_20190510_mouse43__E2_P1_1
noise,0.05,True,0.8967843040853012,0.8948235564581019,-0.001960747627199333,POLYIC_20190510_mouse43__E9_P1
noise,0.1,True,0.8967843040853012,0.8907624577493266,-0.006021846335974579,POLYIC_20190510_mouse43__E9_P1
noise,0.2,True,0.8967843040853012,0.8778888780539033,-0.018895426031397933,POLYIC_20190510_mouse43__E9_P1
noise,0.4,False,0.8967843040853012,0.8114101749246967,-0.0853741291606045,POLYIC_20190510_mouse43__E9_P1
blur,0.5,True,0.8967843040853012,0.8900801023360643,-0.0067042017492369155,POLYIC_20190510_mouse43__E9_P1
blur,1.0,True,0.8967843040853012,0.8722691708124799,-0.024515133272821288,POLYIC_20190510_mouse43__E9_P1
blur,2.0,False,0.8967843040853012,0.817936657259329,-0.07884764682597223,POLYIC_20190510_mouse43__E9_P1
blur,4.0,False,0.8967843040853012,0.5510300479363965,-0.34575425614890465,POLYIC_20190510_mouse43__E9_P1
intensity,0.1,True,0.8967843040853012,0.8940803770928346,-0.0027039269924665765,POLYIC_20190510_mouse43__E9_P1
intensity,0.25,True,0.8967843040853012,0.898054366899609,0.0012700628143078596,POLYIC_20190510_mouse43__E9_P1
intensity,0.5,False,0.8967843040853012,0.8882446687409881,-0.008539635344313123,POLYIC_20190510_mouse43__E9_P1
intensity,0.75,False,0.8967843040853012,0.8773807296538821,-0.019403574431419046,POLYIC_20190510_mouse43__E9_P1
