corruption,severity,within_training_envelope,n,mean_clean_dice,mean_corrupted_dice,min_corrupted_dice,mean_dice_delta,worst_dice_delta
blur,0.5,True,15,0.9145235496775522,0.90952423895206,0.8787820550314597,-0.00499931072549209,-0.01654517523158605
blur,1.0,True,15,0.9145235496775522,0.8821628248154638,0.8139455676997863,-0.0323607248620885,-0.0813816625632594
blur,2.0,False,15,0.9145235496775522,0.7315992682835611,0.5878318595130144,-0.1829242813939912,-0.32443600680288975
blur,4.0,False,15,0.9145235496775522,0.4682031369945345,0.3458678045806845,-0.4463204126830177,-0.5847322330982907
intensity,0.1,True,15,0.9145235496775522,0.9144645955610025,0.8917211586827233,-5.89541165498364e-05,-0.0031035685663293178
intensity,0.25,True,15,0.9145235496775522,0.912878146115619,0.8943637954299442,-0.0016454035619333008,-0.007857127706961009
intensity,0.5,False,15,0.9145235496775522,0.9138541781718034,0.8882446687409881,-0.0006693715057488465,-0.015643415353931767
intensity,0.75,False,15,0.9145235496775522,0.8411326881223087,0.4517396699912672,-0.07339086155524353,-0.466366605976369
noise,0.05,True,15,0.9145235496775522,0.9123176559745549,0.8848072296226748,-0.002205893702997471,-0.008751770881223031
noise,0.1,True,15,0.9145235496775522,0.906280789066953,0.8737380321267689,-0.008242760610599269,-0.019820968377128878
noise,0.2,True,15,0.9145235496775522,0.8617831190555137,0.7923681716206725,-0.052740430622038544,-0.1260913935830249
noise,0.4,False,15,0.9145235496775522,0.6385354183123904,0.5339061203872337,-0.2759881313651618,-0.3869142389423824
