domain,scan_id,inference_seconds,dice,precision,recall,false_positives,false_negatives,hd95_mm,assd_mm,surface_dice,boundary_precision,boundary_recall,connected_components,compactness,contour_roughness,volume_ratio,iou,probability_inside_brain,probability_boundary_band,probability_immediately_outside,probability_distant_background,prediction_path,probability_path,image_path,ground_truth_path
lesion,20170222CH_Exp3_zfp_M03,0.4899160210043192,0.95534778049633,0.9461704889658157,0.9647048442601253,622,400,0.14142135834465194,0.031812743204440525,0.9510816125860374,0.9383644746420772,0.9641344956413449,1,0.10942338653215375,10.110688737511472,1.0195888114356304,0.914512756168967,0.6007497310638428,0.6007497310638428,0.14770500361919403,0.00011590604117373005,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170222CH_Exp3_zfp_M03_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170222CH_Exp3_zfp_M03_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170222CH_Exp3_zfp_M03/t2.nii,/workspace/mouse_stroke_lesion_raw/20170222CH_Exp3_zfp_M03/masklesion_manual.nii
lesion,20170222CH_Exp3_zfp_M08,0.010190988890826702,0.9354494458886304,0.9724086926840368,0.9011968155216956,485,1874,0.2828427166893039,0.05472557542409444,0.9003507653061225,0.8964245630912298,0.9042333914697954,1,0.07304488062182203,11.56877913784453,0.9267675436284072,0.8787271231749948,0.5569090843200684,0.5559530258178711,0.11385046690702438,0.0008360773790627718,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170222CH_Exp3_zfp_M08_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170222CH_Exp3_zfp_M08_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170222CH_Exp3_zfp_M08/t2.nii,/workspace/mouse_stroke_lesion_raw/20170222CH_Exp3_zfp_M08/masklesion_manual.nii
lesion,20170404CH_SC_M05,0.01020192913711071,0.0,0.0,0.0,0,149,17.685232036031305,17.14486522713536,0.0,nan,0.0,0,0.0,0.0,0.0,0.0,0.00016716160462237895,0.00016716160462237895,7.554920011898503e-05,4.249698122293921e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170404CH_SC_M05_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170404CH_SC_M05_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170404CH_SC_M05/t2.nii,/workspace/mouse_stroke_lesion_raw/20170404CH_SC_M05/masklesion_manual.nii
lesion,20170405CH_SC_M16,0.009748181328177452,0.9270640503517216,0.9118718135469774,0.9427710843373494,121,76,0.10000000149011612,0.017210279655781768,0.9819247679531021,0.9755381604696673,0.9882926829268293,1,0.10128997935188976,10.37437550981527,1.0338855421686748,0.8640441683919945,0.5268746614456177,0.5268746614456177,0.07437561452388763,8.528321814083029e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170405CH_SC_M16_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170405CH_SC_M16_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170405CH_SC_M16/t2.nii,/workspace/mouse_stroke_lesion_raw/20170405CH_SC_M16/masklesion_manual.nii
lesion,20170628CH_Exp6_ZFPtm1a_M12,0.010433841496706009,0.9511114595993256,0.9830618364535214,0.9211725394896719,209,1038,0.14142135834465194,0.03493072380459215,0.952310325156874,0.9649407940561876,0.9401076716016151,1,0.109298300404173,10.114544316673681,0.9370443499392467,0.9067802945353967,0.42621034383773804,0.42621034383773804,0.13175012171268463,0.0008105761953629553,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170628CH_Exp6_ZFPtm1a_M12_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170628CH_Exp6_ZFPtm1a_M12_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M12/t2.nii,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M12/masklesion_manual.nii
lesion,20170628CH_Exp6_ZFPtm1a_M14,0.00989297404885292,0.9022774199513082,0.9927437949274379,0.8269219906230583,107,3064,0.6403124274667575,0.13125363980897792,0.7856287425149701,0.8372239747634069,0.739031339031339,1,0.11600454121705732,9.915755150559583,0.832966163927018,0.8219539584503087,0.3299490809440613,0.33426228165626526,0.10828322917222977,0.0017415086040273309,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170628CH_Exp6_ZFPtm1a_M14_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170628CH_Exp6_ZFPtm1a_M14_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M14/t2.nii,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M14/masklesion_manual.nii
lesion,20170628CH_Exp6_ZFPtm1a_M18,0.009813913144171238,0.9058783554196398,0.943382873319179,0.8712418300653595,80,197,0.10000000149011612,0.026772407224107682,0.9652567975830816,0.9782833505687694,0.9528949950932286,2,0.1266435269780125,9.62992989464516,0.9235294117647059,0.8279503105590063,0.3627639710903168,0.3627639710903168,0.060582373291254044,8.275665459223092e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170628CH_Exp6_ZFPtm1a_M18_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170628CH_Exp6_ZFPtm1a_M18_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M18/t2.nii,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M18/masklesion_manual.nii
lesion,20170628CH_Exp6_ZFPtm1a_M21,0.009672172367572784,0.9126279863481229,0.9003367003367003,0.9252595155709342,148,108,0.10000000149011612,0.02536072980381598,0.9696032972694487,0.9540816326530612,0.9854318418314256,2,0.13438561271157756,9.441330468963441,1.027681660899654,0.8392969240426867,0.22486363351345062,0.22486363351345062,0.04978306218981743,0.00025130706490017474,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170628CH_Exp6_ZFPtm1a_M21_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170628CH_Exp6_ZFPtm1a_M21_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M21/t2.nii,/workspace/mouse_stroke_lesion_raw/20170628CH_Exp6_ZFPtm1a_M21/masklesion_manual.nii
lesion,20170629CH_Exp6_ZFPtm1a_M23,0.009750732220709324,0.9375872661267802,0.9493849851548141,0.9260791614949662,358,536,0.14142135834465194,0.03136079504778243,0.9579439252336449,0.9598086124401913,0.9561643835616438,2,0.09312639174242866,10.66906921069069,0.9754516618397462,0.8825075568405836,0.5299313068389893,0.5299313068389893,0.13639304041862488,1.6113739548018202e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170629CH_Exp6_ZFPtm1a_M23_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170629CH_Exp6_ZFPtm1a_M23_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170629CH_Exp6_ZFPtm1a_M23/t2.nii,/workspace/mouse_stroke_lesion_raw/20170629CH_Exp6_ZFPtm1a_M23/masklesion_manual.nii
lesion,20170629CH_Exp6_ZFPtm1a_M32,0.009786702692508698,0.8384286520932483,0.9520058618794651,0.749063130585183,262,1741,0.5,0.09413530316303545,0.8170620437956204,0.8729152768512342,0.7702627166014533,13,0.06343214514577987,12.12590956527947,0.7868261746901124,0.7218055555555555,0.40309420228004456,0.40300890803337097,0.10563007742166519,1.7137203030870296e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/native_predictions/lesion/20170629CH_Exp6_ZFPtm1a_M32_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/stroke_lesion_only_decoder/probability_maps/lesion/20170629CH_Exp6_ZFPtm1a_M32_probability.nii.gz,/workspace/mouse_stroke_lesion_raw/20170629CH_Exp6_ZFPtm1a_M32/t2.nii,/workspace/mouse_stroke_lesion_raw/20170629CH_Exp6_ZFPtm1a_M32/masklesion_manual.nii
