dataset,subject,axis_angle_to_fixed_reference_deg,centroid_offset_x_mm,centroid_offset_y_mm,centroid_offset_z_mm,centroid_offset_mag_mm,extent_x_mm,extent_y_mm,extent_z_mm,axcodes,voxel_count,axis_angle_within_dataset_deg
CAMRI (rat brain),030,89.78340013839806,0.858479075843835,-1.0344063718964351,1.7369674510603093,2.1963694570642205,15.800000235438347,11.000000304634025,10.600000055266683,RIA,137126,0.6670191173962522
CAMRI (rat brain),025,88.83029779890269,-0.15134336639177928,-0.8930442688291953,0.3560790100963107,0.973254921421226,16.700000248849392,11.000000311479734,10.700000090985341,RIA,151932,3.1054098174311227
CAMRI (rat brain),003,88.13643966218027,-0.22886065675450418,-1.0400646905113096,-1.3972536690211221,1.7568237180353288,15.900000236928463,11.0,10.600000157952309,RIA,133559,1.5658434893105388
CAMRI (rat brain),066,89.21493185176402,-0.3889298674375146,-2.2861155172694447,0.031335912085714845,2.3191749695681323,15.400000229477882,26.200000390410423,10.600000157952309,RPI,266844,84.50498938571928
CAMRI (rat brain),020,89.14959254144814,0.23985498503368904,-1.020021052009969,0.9616044370498154,1.4222012704757818,16.900000251829624,11.000000287519756,11.100000302317056,RIA,151291,2.364953028067563
CAMRI (rat brain),006,89.52692035009518,-0.2894040613544071,-0.9619967650506762,-1.3598547443281728,1.690679571169011,15.70000023394823,11.0,10.400000154972076,RIA,134778,1.483020297617722
CAMRI (rat brain),042,89.24202107439866,-0.08168161725694892,-1.0553403809521937,1.8367633891517225,2.11993277110246,16.100000239908695,11.000000277251193,10.200000220448928,RIA,132670,1.517443988866322
CAMRI (rat brain),070,89.22169803484066,1.170208297999305,-3.078851683769348,0.7668867522330078,3.381838322880955,14.800000220537186,27.200000405311584,9.80000014603138,RPI,244766,82.94221770089592
CAMRI (rat brain),102,89.7989771693526,-0.3348640922986403,-1.1982202053179662,0.16777296446509438,1.255393718459921,16.600000247359276,11.000000284096899,10.800000160932541,RIA,137993,2.7195188343957706
CAMRI (rat brain),100,88.45788096162656,0.026221751327006732,-1.1090182717061712,0.7116483633594308,1.3179728754010664,18.100000269711018,11.000000294365464,11.300000202611663,RIA,163147,4.187940484720118
CAMRI (rat brain),005,86.27925216074958,0.44878576200046716,-0.9311353628183037,-1.8900777612679338,2.154255246646673,15.300000227987766,11.0,10.500000156462193,RIA,130575,3.5138520333401515
CAMRI (rat brain),088,88.2492559064998,0.25309467113420137,-2.9563755428091585,0.758086618537904,3.062500381042084,15.000000223517418,28.200000420212746,10.200000151991844,RPI,262403,84.83009711653023
CAMRI (rat brain),125,89.49430714966682,-0.3878345972591252,-0.991220011833887,-0.9980098119031964,1.4590943668406688,15.300000227987766,11.000000249868357,9.400000208527999,RIA,116971,1.8744961215188949
CAMRI (rat brain),120,84.36386941586292,1.5058216046986155,-1.9810781235341752,0.1361311228418245,2.492127789526247,15.20000022649765,26.600000396370888,11.800000175833702,RPI,255154,86.1884258565996
CAMRI (rat brain),114,88.85963412500412,1.1427780325473669,-2.876621144026875,0.11594739012186928,3.0974722977310694,15.20000022649765,26.00000038743019,11.60000017285347,RPI,247702,88.31772612236458
CAMRI (rat brain),050,87.06425282679906,-0.1899351740698591,-2.404660830803098,0.5787931459437914,2.480618992779646,14.400000214576721,27.400000408291817,10.200000151991844,RPI,244336,87.5146200358841
CAMRI (rat brain),071,81.91530597802037,-0.7354940040389135,-2.493883211810439,0.3603467621898391,2.6249294644138237,15.000000223517418,27.000000402331352,11.400000169873238,RPI,251127,86.78058191539697
CAMRI (rat brain),081,86.04398542594491,0.6469754322974308,-2.6641185735453536,0.6622771627607094,2.8204106126981143,14.600000217556953,25.80000038444996,10.600000157952309,RPI,247423,85.42448210573146
CAMRI (rat brain),097,88.80898749959698,-0.6581019024336524,-1.141976375806285,-0.5894937162809151,1.443852831288956,17.600000262260437,11.000000280674048,11.100000233859973,RIA,153279,1.764078837677679
CAMRI (rat brain),024,89.35093623735574,0.12226600722636961,-1.0225143198908686,0.5462810181761002,1.1657218629349286,16.700000248849392,11.00000033201686,11.500000171363354,RIA,155057,3.905922890066612
CAMRI (rat brain),126,87.5072969753304,-0.17339971689357897,-1.0581043183892034,-1.2442501177780545,1.6425013138513336,15.20000022649765,11.000000277251191,9.700000178769805,RIA,119010,6.229410181419842
CAMRI (rat brain),018,88.58104231553189,0.1437021152337878,-0.967173945486328,0.3548725331017417,1.0401972185601642,17.100000254809856,11.000000301211173,11.20000026957863,RIA,160665,4.734624938158808
CAMRI (rat brain),131,89.25242626356328,-0.15836857207655794,-1.1072070157821108,-1.086837339037156,1.5595523017661386,15.500000230967999,11.000000270405483,9.60000017727969,RIA,116830,1.4843461892184933
CAMRI (rat brain),022,89.97175525662281,0.32745268096283053,-0.9628071181435098,0.969034925912692,1.4047247035117494,16.700000248849392,11.000000311479734,11.100000199631431,RIA,156105,3.745363697463992
CAMRI (rat brain),073,85.6834509546058,1.2544048278473439,-1.9571765522838693,0.19017414452859605,2.3324317212265147,14.600000217556953,28.000000417232513,11.200000166893005,RPI,241872,85.22868409948073
CAMRI (rat brain),023,88.92177481456797,-0.15453306849403314,-1.0757450931984625,0.5084009489658081,1.1998247787523328,15.800000235438347,11.000000311479734,10.500000224919276,RIA,135758,2.112623605756488
