corruption,severity,within_training_envelope,n,mean_clean_dice,mean_corrupted_dice,min_corrupted_dice,mean_dice_delta,worst_dice_delta
blur,0.5,True,15,0.969155329669286,0.961335979242314,0.9416651950520111,-0.00781935042697186,-0.015211806592583366
blur,1.0,True,15,0.969155329669286,0.9181992010889937,0.8806664265693751,-0.05095612858029212,-0.07892247134366759
blur,2.0,False,15,0.969155329669286,0.6599759838783872,0.587001676161201,-0.3091793457908988,-0.3800513039712493
blur,4.0,False,15,0.969155329669286,0.41970124441923484,0.37343940112094365,-0.5494540852500511,-0.5838981483688056
intensity,0.1,True,15,0.969155329669286,0.9690735837930288,0.9554763258065072,-8.174587625722948e-05,-0.001959810997441025
intensity,0.25,True,15,0.969155329669286,0.9695756033170047,0.9573852529517554,0.0004202736477189273,-0.0064560183304825935
intensity,0.5,False,15,0.969155329669286,0.9522524868562546,0.7518776605840406,-0.016902842813031418,-0.20545988890570865
intensity,0.75,False,15,0.969155329669286,0.9286758658801691,0.7763982542979222,-0.04047946378911666,-0.19730095305179374
noise,0.05,True,15,0.969155329669286,0.9649651772289672,0.9502401405867449,-0.004190152440318699,-0.006636861057849552
noise,0.1,True,15,0.969155329669286,0.9591660308124447,0.9398939354338277,-0.009989298856841123,-0.01698306621076673
noise,0.2,True,15,0.969155329669286,0.9494559505660581,0.9181029703983558,-0.01969937910322781,-0.03877403124623868
noise,0.4,False,15,0.969155329669286,0.8012733391704966,0.7065033783783784,-0.16788199049878932,-0.25909768692508117
