corruption,severity,within_training_envelope,n,mean_clean_dice,mean_corrupted_dice,min_corrupted_dice,mean_dice_delta,worst_dice_delta
blur,0.5,True,15,0.6901214728727809,0.6667413699871326,0.04716379859783301,-0.02338010288564823,-0.08722779541780612
blur,1.0,True,15,0.6901214728727809,0.5934622471524709,0.009763617677286743,-0.09665922572031004,-0.28184169456631736
blur,2.0,False,15,0.6901214728727809,0.143252572449096,0.0010181296495551469,-0.546868900423685,-0.7492206790696632
blur,4.0,False,15,0.6901214728727809,0.05295834412774725,0.00045236806604573765,-0.6371631287450336,-0.8407629263268737
intensity,0.1,True,15,0.6901214728727809,0.7046434329915852,0.18131993605846083,0.01452196011880438,-0.07609290199953853
intensity,0.25,True,15,0.6901214728727809,0.6933275796473478,0.1270175438596491,0.0032061067745670136,-0.09529393316116974
intensity,0.5,False,15,0.6901214728727809,0.66281761800077,0.006207737501385656,-0.027303854872010813,-0.27296803259626845
intensity,0.75,False,15,0.6901214728727809,0.5193105989447986,0.0035600762873490145,-0.17081087392798228,-0.6540132858867524
noise,0.05,True,15,0.6901214728727809,0.6826825399885058,0.033783783783783786,-0.007438932884275041,-0.06610270883823664
noise,0.1,True,15,0.6901214728727809,0.6597108640840379,0.0074487895716946,-0.030410608788743018,-0.14157044120333162
noise,0.2,False,15,0.6901214728727809,0.5653790314576316,0.0004935834155972359,-0.12474244141514924,-0.4692321625913101
noise,0.4,False,15,0.6901214728727809,0.47486068085404176,0.00032605151613955004,-0.21526079201873916,-0.6227054080305444
