transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,15,2.5361397016846848e-06,4.6807054139701195e-07,0.999999996026357
resampling_floor,encoder_level0,15,1.851348497439176e-05,6.55054268766776e-07,0.999999980131785
resampling_floor,encoder_level1,15,1.9681334864192954e-05,1.689923160304636e-06,0.999999980131785
resampling_floor,encoder_level2,15,2.1357027799240312e-05,1.2049855032451376e-06,0.9999999920527141
resampling_floor,encoder_level3,15,5.842201517225476e-07,1.1795356931137552e-07,0.999999984105428
resampling_floor,encoder_level4,15,4.427042388973253e-06,7.624960029348356e-07,0.9999999920527141
resampling_floor,canvas_level4,15,4.427042388973253e-06,7.624960029348356e-07,0.9999999920527141
resampling_floor,canvas_level3,15,7.827024285991987e-05,5.273259684827308e-06,0.9999999920527141
resampling_floor,canvas_level2,15,0.0001669516476492087,5.438066205579959e-06,0.9999999562899272
resampling_floor,canvas_level1,15,0.0001875641484123965,3.7733291626981958e-06,0.9999999682108561
resampling_floor,canvas_level0,15,0.00022731341790252675,5.073465613619467e-06,0.999999984105428
resampling_floor,output_logits,15,7.843713586529096e-05,1.6407447763760032e-06,0.999999984105428
resampling_floor,query_mask_embedding,15,7.02949063224878e-07,4.238926268743809e-07,0.9999999682108561
axis0_+5deg,input,15,0.16041948795318603,0.022603988609120666,0.9872909188270569
axis0_+5deg,encoder_level0,15,0.3837626099586487,0.02046206664680475,0.9243688662846883
axis0_+5deg,encoder_level1,15,0.24049013753732046,0.010751027554841025,0.9706321438153585
axis0_+5deg,encoder_level2,15,0.2562691311041514,0.00459696533984695,0.9666222135225931
axis0_+5deg,encoder_level3,15,0.19788284003734588,0.014202773964060616,0.9801228165626525
axis0_+5deg,encoder_level4,15,0.18778413236141206,0.011466805345914311,0.9823954542477925
axis0_+5deg,canvas_level4,15,0.18778413236141206,0.011466805345914311,0.9823954542477925
axis0_+5deg,canvas_level3,15,0.2871292511622111,0.004867880029133955,0.957932194073995
axis0_+5deg,canvas_level2,15,0.28982189297676086,0.006315325305779574,0.9570943117141724
axis0_+5deg,canvas_level1,15,0.24056083858013153,0.009121598308927767,0.9706026554107666
axis0_+5deg,canvas_level0,15,0.20261903703212739,0.010661551059724538,0.9792460481325785
axis0_+5deg,output_logits,15,0.08760528167088827,0.008399878858325377,0.9961675445238749
axis0_+5deg,query_mask_embedding,15,0.01329997875727713,0.01571875627305327,0.9998436729113261
axis0_+10deg,input,15,0.16095614532629648,0.024082935028392503,0.9871820370356242
axis0_+10deg,encoder_level0,15,0.4043515940507253,0.01786432611062693,0.9153377413749695
axis0_+10deg,encoder_level1,15,0.2636034945646922,0.008674979148147834,0.9645972927411397
axis0_+10deg,encoder_level2,15,0.2908592760562897,0.0026027027832217133,0.9567665060361227
axis0_+10deg,encoder_level3,15,0.21938026348749798,0.01407265407121676,0.9755354603131612
axis0_+10deg,encoder_level4,15,0.2668759455283483,0.014360593208557917,0.9640118320782979
axis0_+10deg,canvas_level4,15,0.2668759455283483,0.014360593208557917,0.9640118320782979
axis0_+10deg,canvas_level3,15,0.3519845942656199,0.005207236224012933,0.9360103964805603
axis0_+10deg,canvas_level2,15,0.3550416549046834,0.007806452944947065,0.9351920445760091
axis0_+10deg,canvas_level1,15,0.2890300273895264,0.007389719054332356,0.9573849638303121
axis0_+10deg,canvas_level0,15,0.24190619289875032,0.009602847194329007,0.9703954656918844
axis0_+10deg,output_logits,15,0.1067626049121221,0.008071843261542559,0.9942965547243754
axis0_+10deg,query_mask_embedding,15,0.013654650840908288,0.014698680598206237,0.9998522798220316
axis0_+20deg,input,15,0.1613276998202006,0.024515866161148245,0.9871399124463399
axis0_+20deg,encoder_level0,15,0.46376558343569435,0.015666943437975405,0.8859490354855856
axis0_+20deg,encoder_level1,15,0.33165895541508994,0.006795321045383084,0.9434099117914836
axis0_+20deg,encoder_level2,15,0.3640014111995697,0.002510261068499519,0.9315919597943624
axis0_+20deg,encoder_level3,15,0.23965107103188832,0.013783287181854455,0.9707570870717367
axis0_+20deg,encoder_level4,15,0.3624410708745321,0.015575731464244676,0.9319388707478841
axis0_+20deg,canvas_level4,15,0.3624410708745321,0.015575731464244676,0.9319388707478841
axis0_+20deg,canvas_level3,15,0.4453317066033681,0.008048707339706994,0.8962478160858154
axis0_+20deg,canvas_level2,15,0.4663335104783376,0.009173543484457994,0.8868039210637411
axis0_+20deg,canvas_level1,15,0.39180099765459697,0.005821147109389749,0.9207131187121074
axis0_+20deg,canvas_level0,15,0.34324840108553567,0.00821192209452721,0.9398779590924581
axis0_+20deg,output_logits,15,0.20351981222629548,0.0032013728909623127,0.9791204373041789
axis0_+20deg,query_mask_embedding,15,0.015563347097486257,0.015645091896120764,0.9998191515604655
axis0_+30deg,input,15,0.16415075858434042,0.02447640943700985,0.9866956313451131
axis0_+30deg,encoder_level0,15,0.5204548756281535,0.014225072906033413,0.8538464625676473
axis0_+30deg,encoder_level1,15,0.3953190763791402,0.0059675112974813625,0.9188437382380168
axis0_+30deg,encoder_level2,15,0.4333908259868622,0.0019981471087928793,0.9021704276402791
axis0_+30deg,encoder_level3,15,0.2635953654845556,0.014388224064985553,0.9645220597585042
axis0_+30deg,encoder_level4,15,0.4398726999759674,0.014756278646892544,0.8983101685841878
axis0_+30deg,canvas_level4,15,0.4398726999759674,0.014756278646892544,0.8983101685841878
axis0_+30deg,canvas_level3,15,0.5225488702456157,0.006453577858925585,0.8558253169059753
axis0_+30deg,canvas_level2,15,0.5543940703074137,0.008327493550237389,0.838063657283783
axis0_+30deg,canvas_level1,15,0.47319208780924477,0.004714022302940121,0.8828223665555318
axis0_+30deg,canvas_level0,15,0.42002748052279154,0.007069763537735719,0.9090713183085124
axis0_+30deg,output_logits,15,0.2701078395048777,0.003073161923858414,0.9629491488138835
axis0_+30deg,query_mask_embedding,15,0.020202310010790824,0.017676800313946223,0.9997260729471843
axis1_+5deg,input,15,0.15683292746543884,0.025384149806301253,0.9877293825149536
axis1_+5deg,encoder_level0,15,0.37933038075764974,0.021663224567872293,0.9258694609006246
axis1_+5deg,encoder_level1,15,0.23963095843791962,0.011689640487932033,0.9708587447802226
axis1_+5deg,encoder_level2,15,0.2706309616565704,0.006485340478074525,0.9626681566238403
axis1_+5deg,encoder_level3,15,0.1979846864938736,0.013878206365498046,0.9801067471504211
axis1_+5deg,encoder_level4,15,0.18681035041809083,0.01168109967988546,0.9825156291325887
axis1_+5deg,canvas_level4,15,0.18681035041809083,0.01168109967988546,0.9825156291325887
axis1_+5deg,canvas_level3,15,0.2861361821492513,0.01143988735548897,0.9581350644429525
axis1_+5deg,canvas_level2,15,0.30067622661590576,0.009046813566018741,0.9537629087766012
axis1_+5deg,canvas_level1,15,0.25067803462346394,0.010997634070488791,0.9680468678474426
axis1_+5deg,canvas_level0,15,0.2147379070520401,0.010615746851816576,0.9766801277796427
axis1_+5deg,output_logits,15,0.09017377644777298,0.00775923219551929,0.9959720889727275
axis1_+5deg,query_mask_embedding,15,0.0166884361145397,0.013505044547373193,0.9998301267623901
axis1_+10deg,input,15,0.15783771673838298,0.02579667366215961,0.987568732102712
axis1_+10deg,encoder_level0,15,0.4047050396601359,0.02012181024098369,0.914767587184906
axis1_+10deg,encoder_level1,15,0.2631676216920217,0.01020159773419808,0.9647196213404338
axis1_+10deg,encoder_level2,15,0.30899577339490253,0.004972513232307749,0.9510768612225851
axis1_+10deg,encoder_level3,15,0.21279691259066263,0.013758083804148879,0.9769985357920329
axis1_+10deg,encoder_level4,15,0.26414129237333933,0.014641884155710603,0.9645784576733907
axis1_+10deg,canvas_level4,15,0.26414129237333933,0.014641884155710603,0.9645784576733907
axis1_+10deg,canvas_level3,15,0.3417706787586212,0.011597473115569915,0.939747707049052
axis1_+10deg,canvas_level2,15,0.36056275963783263,0.008490124903153809,0.9331309874852498
axis1_+10deg,canvas_level1,15,0.30384129683176675,0.00968900937911578,0.9529213269551595
axis1_+10deg,canvas_level0,15,0.2819052676359812,0.010473585039307395,0.9598044633865357
axis1_+10deg,output_logits,15,0.11933846573034922,0.00839350187566289,0.9928690115610759
axis1_+10deg,query_mask_embedding,15,0.015951271199931703,0.013540998540448827,0.9998385270436605
axis1_+20deg,input,15,0.15888157586256663,0.025657701904617775,0.9874229351679484
axis1_+20deg,encoder_level0,15,0.47361055612564085,0.016603541642553957,0.8805586417516073
axis1_+20deg,encoder_level1,15,0.3382369558016459,0.008089271426930528,0.9410574873288472
axis1_+20deg,encoder_level2,15,0.400189330180486,0.004713888444156314,0.9169423580169678
axis1_+20deg,encoder_level3,15,0.2551438222328822,0.013393085615640204,0.9668089946111044
axis1_+20deg,encoder_level4,15,0.36387290159861246,0.011475666119412708,0.9314079284667969
axis1_+20deg,canvas_level4,15,0.36387290159861246,0.011475666119412708,0.9314079284667969
axis1_+20deg,canvas_level3,15,0.4342666725317637,0.006119774978216619,0.90156329870224
axis1_+20deg,canvas_level2,15,0.47041592597961424,0.006369567913012819,0.8846990068753561
axis1_+20deg,canvas_level1,15,0.41397332549095156,0.0057817690573258446,0.9118091742197673
axis1_+20deg,canvas_level0,15,0.39524097442626954,0.008710452654821276,0.9203279217084249
axis1_+20deg,output_logits,15,0.2118304928143819,0.005303407265802782,0.9773512601852417
axis1_+20deg,query_mask_embedding,15,0.016794043220579626,0.011710780512096168,0.9998489618301392
axis1_+30deg,input,15,0.16200606127580006,0.025811050554683697,0.9869198719660441
axis1_+30deg,encoder_level0,15,0.5310178915659587,0.014223432649791616,0.8478394309679668
axis1_+30deg,encoder_level1,15,0.4076265235741933,0.00736910898098406,0.9134862502415975
axis1_+30deg,encoder_level2,15,0.4811973770459493,0.005669965069516173,0.8786959369977315
axis1_+30deg,encoder_level3,15,0.3037381052970886,0.013055281260145034,0.9526580770810446
axis1_+30deg,encoder_level4,15,0.4578576405843099,0.013783644326900903,0.8893494844436646
axis1_+30deg,canvas_level4,15,0.4578576405843099,0.013783644326900903,0.8893494844436646
axis1_+30deg,canvas_level3,15,0.510206005970637,0.006571093576960119,0.8630302389462788
axis1_+30deg,canvas_level2,15,0.5579711675643921,0.0063671499631880145,0.8358903408050538
axis1_+30deg,canvas_level1,15,0.49638095299402873,0.003925875676905855,0.8721153577168782
axis1_+30deg,canvas_level0,15,0.46967944701512654,0.004724982171918932,0.8865034818649292
axis1_+30deg,output_logits,15,0.27627554535865784,0.0031812769287623828,0.961137036482493
axis1_+30deg,query_mask_embedding,15,0.014460886176675559,0.010339331737170382,0.9998902519543965
axis2_+5deg,input,15,0.1394519954919815,0.025408504229107644,0.9902358929316203
axis2_+5deg,encoder_level0,15,0.3407965898513794,0.01981993130771167,0.9408956885337829
axis2_+5deg,encoder_level1,15,0.20198228160540263,0.015171670932378634,0.979299263159434
axis2_+5deg,encoder_level2,15,0.24597302873929341,0.00914333480328807,0.9692676345507304
axis2_+5deg,encoder_level3,15,0.18588859538237254,0.008869070673272826,0.9825315952301026
axis2_+5deg,encoder_level4,15,0.15251951118310292,0.014275446174252407,0.9883430282274882
axis2_+5deg,canvas_level4,15,0.15251951118310292,0.014275446174252407,0.9883430282274882
axis2_+5deg,canvas_level3,15,0.26170088251431783,0.009219344068057205,0.9651325305302938
axis2_+5deg,canvas_level2,15,0.2774985591570536,0.012026054624849142,0.9607391754786173
axis2_+5deg,canvas_level1,15,0.2210495670636495,0.01363002666296662,0.9752138018608093
axis2_+5deg,canvas_level0,15,0.20465091268221539,0.010511095316838257,0.978856873512268
axis2_+5deg,output_logits,15,0.07682731052239736,0.00781744339954933,0.9970405737559
axis2_+5deg,query_mask_embedding,15,0.010202180842558544,0.012026420071320605,0.9999080220858256
axis2_+10deg,input,15,0.13957504481077193,0.025243759783472233,0.9902281324068706
axis2_+10deg,encoder_level0,15,0.35506226619084674,0.018385157635262734,0.935549000898997
axis2_+10deg,encoder_level1,15,0.21992777387301127,0.015113180605200614,0.975405200322469
axis2_+10deg,encoder_level2,15,0.2670223116874695,0.00804740897309695,0.9636554797490438
axis2_+10deg,encoder_level3,15,0.20654263496398925,0.009768269036625178,0.9783880154291789
axis2_+10deg,encoder_level4,15,0.20428191423416137,0.016693494751726858,0.9790443062782288
axis2_+10deg,canvas_level4,15,0.20428191423416137,0.016693494751726858,0.9790443062782288
axis2_+10deg,canvas_level3,15,0.31357243259747825,0.005808077378699258,0.949578587214152
axis2_+10deg,canvas_level2,15,0.3268990377585093,0.011437413038092004,0.9454290906588236
axis2_+10deg,canvas_level1,15,0.2705052932103475,0.013234506603354089,0.9628648440043132
axis2_+10deg,canvas_level0,15,0.2693735877672831,0.010495401930674999,0.9634002407391866
axis2_+10deg,output_logits,15,0.10790848384300868,0.0067329117234760615,0.9941566864649455
axis2_+10deg,query_mask_embedding,15,0.009381249127909542,0.010781197494477758,0.9999253114064535
axis2_+20deg,input,15,0.1378490482767423,0.025228644615396797,0.9904822866121928
axis2_+20deg,encoder_level0,15,0.40507993499437966,0.016367373904543424,0.9145005504290263
axis2_+20deg,encoder_level1,15,0.2820637166500092,0.012566960478036814,0.9593122641245524
axis2_+20deg,encoder_level2,15,0.3360345661640167,0.006693579018316721,0.9418803413709005
axis2_+20deg,encoder_level3,15,0.2094679226477941,0.009448900610174383,0.977768619855245
axis2_+20deg,encoder_level4,15,0.27718650897343955,0.01617452266426041,0.9608033219973247
axis2_+20deg,canvas_level4,15,0.27718650897343955,0.01617452266426041,0.9608033219973247
axis2_+20deg,canvas_level3,15,0.3647436221440633,0.005522746439352502,0.9315783341725667
axis2_+20deg,canvas_level2,15,0.406307190656662,0.011974540478394573,0.915210235118866
axis2_+20deg,canvas_level1,15,0.35780569513638816,0.011817450011047365,0.9348857959111532
axis2_+20deg,canvas_level0,15,0.37689603368441266,0.009974238705817508,0.9281230370203654
