transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,15,0.9999908907428491,0.9999734816006506,1.5238144071449966e-06,-1.2508983817105523e-05
axis0_+5deg,15,0.9814152074546983,0.9652805915721232,-0.00909237816608545,-0.014294075143646445
axis0_+10deg,15,0.9781224897917933,0.9574438643939871,-0.010834295473267879,-0.01733695919793632
axis0_+20deg,15,0.9670439062744666,0.943950011824892,-0.021130258063020477,-0.029195049177116794
axis0_+30deg,15,0.9516212224306944,0.933176499721414,-0.034255128643425274,-0.04385550223271828
axis1_+5deg,15,0.9853503449777178,0.9744360902255639,-0.005439641048197393,-0.01056753736342042
axis1_+10deg,15,0.9838763826331758,0.9729251369133887,-0.004951585374286741,-0.00929827730008348
axis1_+20deg,15,0.9799502685561554,0.9689869588166381,-0.0058627907863227175,-0.011439817085871162
axis1_+30deg,15,0.9751607875196187,0.9590325895091815,-0.009037010116161589,-0.015023463323911468
axis2_+5deg,15,0.9870022904214546,0.978248991804345,-0.0031635229104588934,-0.0062986903574686615
axis2_+10deg,15,0.9858461401367677,0.9741071661152935,-0.003759616088145723,-0.0068608373039162895
axis2_+20deg,15,0.975424142321185,0.9595247611088907,-0.013056201978427894,-0.0278602778875372
axis2_+30deg,15,0.96582327755505,0.9529741351228093,-0.021948728291565866,-0.03169615912426671
