transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,15,0.9999920882196189,0.9999783429466587,1.7830000681155293e-06,-1.5506892323324806e-05
axis0_+5deg,15,0.9813873602212844,0.9695790228413398,-0.004347485190916522,-0.02214678765824374
axis0_+10deg,15,0.9787022621079786,0.9646633860328762,-0.0017512043046624534,-0.025991432936330217
axis0_+20deg,15,0.9730761623573283,0.9511170059765413,0.003820488765212208,-0.02681265250111653
axis0_+30deg,15,0.970217122994023,0.9474012025776365,0.007345848096585798,-0.014361980528239227
axis1_+5deg,15,0.9826264308317475,0.9717142121192608,-0.00018203737514754052,-0.011627785077317099
axis1_+10deg,15,0.979824601619408,0.9641055811050286,0.004517971767621972,-0.006080491433401614
axis1_+20deg,15,0.9691994000782331,0.931757534900705,0.000733493784317966,-0.06086515568597939
axis1_+30deg,15,0.9664075541701659,0.942131493959571,-0.002698080686107988,-0.040513669728915125
axis2_+5deg,15,0.9836493684378139,0.9736784231794815,-0.003744302106115094,-0.017228637910869593
axis2_+10deg,15,0.982056912394544,0.971652241563746,-0.0026105374704491037,-0.014342684049228227
axis2_+20deg,15,0.9771780394085482,0.9650145537521266,0.0028627221772301223,-0.007626839152759413
axis2_+30deg,15,0.9672334747865078,0.9411979958340371,0.00033053204927167753,-0.029581438280787298
