transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,15,0.9999920882196189,0.9999783429466587,1.7830000681155293e-06,-1.5506892323324806e-05
axis0_+1mm,15,0.9889392641837608,0.9768955111278763,0.00290852341190447,-0.007421791477517203
axis0_+2mm,15,0.989894131271903,0.9822076837199135,0.0008610575821143737,-0.01016818319158952
axis0_+4mm,15,0.9909697156113472,0.9730369902491018,0.002662661113549077,-0.003571499486795582
axis0_+6mm,15,0.9900775805963378,0.9824661594838429,-0.0028241125606317677,-0.012065325347390132
axis1_+1mm,15,0.9798170827641705,0.9677482613476395,-0.013370616730151542,-0.026166882748945408
axis1_+2mm,15,0.9897126404744708,0.9775178525538691,0.0020915800638542517,-0.007759964079034121
axis1_+4mm,15,0.987676421733805,0.9781961862222985,-0.008922670049330013,-0.017265797349164225
axis1_+6mm,15,0.9864939595155923,0.9755185338764625,0.006401099583432268,-0.003593017697736123
axis2_+1mm,15,0.9825266841911621,0.9625229975807269,-0.005598969425998032,-0.0334904174804056
axis2_+2mm,15,0.98342632478314,0.9685837640453294,-0.005558239382339969,-0.024512228446042394
axis2_+4mm,15,0.9708649724978955,0.9247833429470919,-0.02260066885891477,-0.07039807454668534
axis2_+6mm,15,0.9818669605356891,0.9631228838876718,0.005168021366580981,-0.010850203481239329
