transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,15,2.5361397016846848e-06,4.6807054139701195e-07,0.999999996026357
resampling_floor,encoder_level0,15,1.851348497439176e-05,6.55054268766776e-07,0.999999980131785
resampling_floor,encoder_level1,15,1.9681334864192954e-05,1.689923160304636e-06,0.999999980131785
resampling_floor,encoder_level2,15,2.1357027799240312e-05,1.2049855032451376e-06,0.9999999920527141
resampling_floor,encoder_level3,15,5.842201517225476e-07,1.1795356931137552e-07,0.999999984105428
resampling_floor,encoder_level4,15,4.427042388973253e-06,7.624960029348356e-07,0.9999999920527141
resampling_floor,canvas_level4,15,4.427042388973253e-06,7.624960029348356e-07,0.9999999920527141
resampling_floor,canvas_level3,15,7.827024285991987e-05,5.273259684827308e-06,0.9999999920527141
resampling_floor,canvas_level2,15,0.0001669516476492087,5.438066205579959e-06,0.9999999562899272
resampling_floor,canvas_level1,15,0.0001875641484123965,3.7733291626981958e-06,0.9999999682108561
resampling_floor,canvas_level0,15,0.00022731341790252675,5.073465613619467e-06,0.999999984105428
resampling_floor,output_logits,15,7.843713586529096e-05,1.6407447763760032e-06,0.999999984105428
resampling_floor,query_mask_embedding,15,7.02949063224878e-07,4.238926268743809e-07,0.9999999682108561
axis0_+1mm,input,15,2.2739250577312e-06,3.8403171377660724e-07,1.0
axis0_+1mm,encoder_level0,15,1.9834166232612914e-05,6.320112809136185e-07,0.999999980131785
axis0_+1mm,encoder_level1,15,0.20308329463005065,0.02127055913693381,0.9789319237073263
axis0_+1mm,encoder_level2,15,0.22304163873195648,0.005800189943830256,0.9748158534367879
axis0_+1mm,encoder_level3,15,0.17679180403550465,0.007233388739859803,0.9842252016067505
axis0_+1mm,encoder_level4,15,0.16661441723505657,0.008462271842540706,0.9861273606618245
axis0_+1mm,canvas_level4,15,0.16661441723505657,0.008462271842540706,0.9861273606618245
axis0_+1mm,canvas_level3,15,0.2430971384048462,0.0055345163402660815,0.9700330177942912
axis0_+1mm,canvas_level2,15,0.2455803672472636,0.009622936332901136,0.9694225668907166
axis0_+1mm,canvas_level1,15,0.20912719070911406,0.01567672810139619,0.9778402765591939
axis0_+1mm,canvas_level0,15,0.14830015301704408,0.00814491883551598,0.9890098094940185
axis0_+1mm,output_logits,15,0.06506253356734912,0.004642840930060077,0.9978765567143758
axis0_+1mm,query_mask_embedding,15,0.003600850561633706,0.0018371095214658464,0.9999928514162699
axis0_+2mm,input,15,2.2541975719529245e-06,3.634893255700765e-07,1.000000003973643
axis0_+2mm,encoder_level0,15,1.981147919044209e-05,1.6473212912608494e-06,0.9999999761581421
axis0_+2mm,encoder_level1,15,0.0842546025911967,0.004614180931430947,0.9964618643124898
axis0_+2mm,encoder_level2,15,0.23941626151402792,0.005123586749945468,0.9709058046340943
axis0_+2mm,encoder_level3,15,0.1676026076078415,0.0066192548371550855,0.9858352502187093
axis0_+2mm,encoder_level4,15,0.19450961550076803,0.007839741647725074,0.9810046990712483
axis0_+2mm,canvas_level4,15,0.19450961550076803,0.007839741647725074,0.9810046990712483
axis0_+2mm,canvas_level3,15,0.25476747353871665,0.006367290712136002,0.9670855522155761
axis0_+2mm,canvas_level2,15,0.2750695407390594,0.011453703731531385,0.9613878130912781
axis0_+2mm,canvas_level1,15,0.1981590082248052,0.012953848897514579,0.9804134368896484
axis0_+2mm,canvas_level0,15,0.1893156349658966,0.012054156355418783,0.9821773409843445
axis0_+2mm,output_logits,15,0.07453047633171081,0.006288132860374998,0.9972120960553487
axis0_+2mm,query_mask_embedding,15,0.00333244987608244,0.0014672201058108924,0.9999943733215332
axis0_+4mm,input,15,2.2533129291938772e-06,3.4437341678501823e-07,0.9999999880790711
axis0_+4mm,encoder_level0,15,0.0714340736468633,0.0015521751987301105,0.9974441051483154
axis0_+4mm,encoder_level1,15,0.21192675828933716,0.002662214284054876,0.9773086508115133
axis0_+4mm,encoder_level2,15,0.28903257052103676,0.0037956894929809695,0.957644808292389
axis0_+4mm,encoder_level3,15,0.22066182196140288,0.007040246985364824,0.9754071434338888
axis0_+4mm,encoder_level4,15,0.20338994761308035,0.00600878097885354,0.9790995279947917
axis0_+4mm,canvas_level4,15,0.20338994761308035,0.00600878097885354,0.9790995279947917
axis0_+4mm,canvas_level3,15,0.3060758570830027,0.006734489102284818,0.9521601398785909
axis0_+4mm,canvas_level2,15,0.3110219220320384,0.01380459877986302,0.9507716059684753
axis0_+4mm,canvas_level1,15,0.2809012432893117,0.009159962699512924,0.9603644967079162
axis0_+4mm,canvas_level0,15,0.30358865261077883,0.00661806919525912,0.9535223166147868
axis0_+4mm,output_logits,15,0.2743896245956421,0.004570897858871713,0.9616418441136678
axis0_+4mm,query_mask_embedding,15,0.003867476511125763,0.002949326944490373,0.9999902566274007
axis0_+6mm,input,15,0.1488178178668022,0.017097101431748456,0.98871408700943
axis0_+6mm,encoder_level0,15,0.226557132601738,0.015453560266947183,0.9740094304084778
axis0_+6mm,encoder_level1,15,0.34085416595141094,0.002558602629232669,0.9404250423113505
axis0_+6mm,encoder_level2,15,0.39461658596992494,0.005258779031598006,0.9188442627588908
axis0_+6mm,encoder_level3,15,0.34358539382616676,0.0030740957392622888,0.9391992568969727
axis0_+6mm,encoder_level4,15,0.21282580693562825,0.009190382217067247,0.9771489024162292
axis0_+6mm,canvas_level4,15,0.21282580693562825,0.009190382217067247,0.9771489024162292
axis0_+6mm,canvas_level3,15,0.3661404550075531,0.0098391433288434,0.931038518746694
axis0_+6mm,canvas_level2,15,0.40686076482137046,0.013489319913326546,0.913879390557607
axis0_+6mm,canvas_level1,15,0.38759344816207886,0.011499656083041687,0.9236445744832357
axis0_+6mm,canvas_level0,15,0.40132245620091755,0.006335668379992508,0.9176486253738403
axis0_+6mm,output_logits,15,0.3842490474383036,0.005107688449278208,0.9233105619748433
axis0_+6mm,query_mask_embedding,15,0.005265559737260143,0.0031395808056390723,0.9999832948048909
axis1_+1mm,input,15,2.5361397016846848e-06,4.6807054139701195e-07,0.999999996026357
axis1_+1mm,encoder_level0,15,1.8501803060644308e-05,6.513587312844989e-07,0.999999980131785
axis1_+1mm,encoder_level1,15,0.21254096925258636,0.016123891352301776,0.9770119905471801
axis1_+1mm,encoder_level2,15,0.20800401071707408,0.006524108841015472,0.9781071027119954
axis1_+1mm,encoder_level3,15,0.209467417995135,0.009697997196337705,0.9777900854746501
axis1_+1mm,encoder_level4,15,0.2116679569085439,0.019638021220610626,0.9773378133773803
axis1_+1mm,canvas_level4,15,0.2116679569085439,0.019638021220610626,0.9773378133773803
axis1_+1mm,canvas_level3,15,0.3039458155632019,0.009139039036996742,0.9527549147605896
axis1_+1mm,canvas_level2,15,0.26633651852607726,0.010179262331595816,0.9640014092127482
axis1_+1mm,canvas_level1,15,0.22431336144606273,0.013084537849014045,0.974481459458669
axis1_+1mm,canvas_level0,15,0.1516003559033076,0.010159498715775553,0.9884402871131897
axis1_+1mm,output_logits,15,0.07053274760643641,0.006981087890762546,0.9975643634796143
axis1_+1mm,query_mask_embedding,15,0.01820694807295998,0.005795355954690021,0.9998557408650716
axis1_+2mm,input,15,2.5361397016846848e-06,4.6807054139701195e-07,0.999999996026357
axis1_+2mm,encoder_level0,15,0.03571703980366389,0.0007760876327995955,0.9993616580963135
axis1_+2mm,encoder_level1,15,0.1296055813630422,0.0026715394095810263,0.991584861278534
axis1_+2mm,encoder_level2,15,0.2250850260257721,0.008819737823352195,0.9743080814679463
axis1_+2mm,encoder_level3,15,0.1734295070171356,0.010920493341809947,0.9847886641820272
axis1_+2mm,encoder_level4,15,0.20594694117705029,0.012864007425255198,0.9788529872894287
axis1_+2mm,canvas_level4,15,0.20594694117705029,0.012864007425255198,0.9788529872894287
axis1_+2mm,canvas_level3,15,0.29129824638366697,0.010148833722061127,0.956802248954773
axis1_+2mm,canvas_level2,15,0.30674952268600464,0.01247343233229071,0.9519157012303671
axis1_+2mm,canvas_level1,15,0.2220221867163976,0.010083095253184264,0.9751448313395182
axis1_+2mm,canvas_level0,15,0.2023459275563558,0.006672992930738048,0.9794092297554016
axis1_+2mm,output_logits,15,0.13387666742006937,0.0030199010866769132,0.991040066878001
axis1_+2mm,query_mask_embedding,15,0.003083300373206536,0.001027408959529515,0.9999957323074341
axis1_+4mm,input,15,2.5361397016846848e-06,4.6807054139701195e-07,0.999999996026357
axis1_+4mm,encoder_level0,15,0.08748851120471954,0.0019010208109757364,0.9961636861165365
axis1_+4mm,encoder_level1,15,0.25396525065104164,0.0023445382500119146,0.9672349413235982
axis1_+4mm,encoder_level2,15,0.3016551891962687,0.002191261720876879,0.9536047259966532
axis1_+4mm,encoder_level3,15,0.24325655698776244,0.00592369876976513,0.9701754093170166
axis1_+4mm,encoder_level4,15,0.19265646735827127,0.008207613514604058,0.9812942345937093
axis1_+4mm,canvas_level4,15,0.19265646735827127,0.008207613514604058,0.9812942345937093
axis1_+4mm,canvas_level3,15,0.3482418080170949,0.008198731690764526,0.937595276037852
axis1_+4mm,canvas_level2,15,0.3410936991373698,0.012670656671953738,0.940781303246816
axis1_+4mm,canvas_level1,15,0.28796525597572326,0.009624544375973257,0.9577908674875896
axis1_+4mm,canvas_level0,15,0.32347206870714823,0.008724847393977523,0.946581486860911
axis1_+4mm,output_logits,15,0.28846253355344137,0.0030698841378774097,0.9576028188069662
axis1_+4mm,query_mask_embedding,15,0.006331386820723613,0.00138241618443221,0.999984069665273
axis1_+6mm,input,15,0.09136733895391748,0.0422237421466279,0.9949176748593648
axis1_+6mm,encoder_level0,15,0.21380727539459865,0.04468449836099812,0.975959308942159
axis1_+6mm,encoder_level1,15,0.3630241910616557,0.008367259779495803,0.9318972984949748
axis1_+6mm,encoder_level2,15,0.42119079232215884,0.0025887427629092147,0.906969141960144
axis1_+6mm,encoder_level3,15,0.39258838693300885,0.0038729845559035097,0.9198179801305135
axis1_+6mm,encoder_level4,15,0.23677406311035157,0.00599178563364835,0.9717912316322327
axis1_+6mm,canvas_level4,15,0.23677406311035157,0.00599178563364835,0.9717912316322327
axis1_+6mm,canvas_level3,15,0.4217883924643199,0.009869922212827929,0.9079069097836813
axis1_+6mm,canvas_level2,15,0.42857969800631207,0.01031909388824672,0.9041176279385884
axis1_+6mm,canvas_level1,15,0.36804654995600383,0.008316786057280716,0.9303916573524476
axis1_+6mm,canvas_level0,15,0.41116963426272074,0.008046349464332837,0.9127399961153666
axis1_+6mm,output_logits,15,0.3974401235580444,0.00788089816670687,0.9176167567571004
axis1_+6mm,query_mask_embedding,15,0.010247921260694662,0.0035946093308204777,0.9999592701594034
axis2_+1mm,input,15,0.16762715180714924,0.024567825068018967,0.9858795285224915
axis2_+1mm,encoder_level0,15,0.42051481604576113,0.025400371543703615,0.9071590900421143
axis2_+1mm,encoder_level1,15,0.2077121982971827,0.009521587181674913,0.9781890590985616
axis2_+1mm,encoder_level2,15,0.21929981013139088,0.004994023169745934,0.9757186929384868
axis2_+1mm,encoder_level3,15,0.1748172601064046,0.011679370450227865,0.9845808068911235
axis2_+1mm,encoder_level4,15,0.31285720864931743,0.017810453514847027,0.9497475147247314
axis2_+1mm,canvas_level4,15,0.31285720864931743,0.017810453514847027,0.9497475147247314
axis2_+1mm,canvas_level3,15,0.31724058190981547,0.008750533693043487,0.9489564418792724
axis2_+1mm,canvas_level2,15,0.28802422285079954,0.007465432682872239,0.9580685098965963
axis2_+1mm,canvas_level1,15,0.23522548973560334,0.0076128482980531405,0.9719594558080037
axis2_+1mm,canvas_level0,15,0.21374573906262714,0.014138850436609065,0.9769230405489604
axis2_+1mm,output_logits,15,0.08926867842674255,0.009080787687301625,0.9960446755091349
axis2_+1mm,query_mask_embedding,15,0.019112782614926497,0.01333043502803108,0.9997925003369649
axis2_+2mm,input,15,2.982866984287587e-06,4.6650865305744995e-07,0.999999980131785
axis2_+2mm,encoder_level0,15,0.03571704129378001,0.0007760877152040766,0.9993616501490276
axis2_+2mm,encoder_level1,15,0.29464277227719626,0.011867317997681533,0.9555377801259358
axis2_+2mm,encoder_level2,15,0.2547622899214427,0.005072070116673672,0.9669987082481384
axis2_+2mm,encoder_level3,15,0.176462518175443,0.010942647998496454,0.9842573523521423
axis2_+2mm,encoder_level4,15,0.1948010245958964,0.012718008154699409,0.980806823571523
axis2_+2mm,canvas_level4,15,0.1948010245958964,0.012718008154699409,0.980806823571523
axis2_+2mm,canvas_level3,15,0.3454608718554179,0.005425190485861505,0.9393495043118795
axis2_+2mm,canvas_level2,15,0.34608808358510335,0.00448361081202565,0.9385702927907308
axis2_+2mm,canvas_level1,15,0.3202217002709707,0.010353655718636652,0.9474172433217366
axis2_+2mm,canvas_level0,15,0.26235631108283997,0.014885398085830828,0.9652299523353577
axis2_+2mm,output_logits,15,0.17783087491989136,0.012879915995394627,0.9840875466664633
axis2_+2mm,query_mask_embedding,15,0.010799737988660733,0.006042463507259384,0.9999386469523112
axis2_+4mm,input,15,3.1169791782303947e-06,5.33399954152361e-07,0.9999999761581421
axis2_+4mm,encoder_level0,15,0.08748851418495178,0.001901020946966538,0.9961636980374654
axis2_+4mm,encoder_level1,15,0.2445416957139969,0.0018233482268309633,0.9696394006411234
axis2_+4mm,encoder_level2,15,0.3743559638659159,0.005005814016850447,0.9272738178571065
axis2_+4mm,encoder_level3,15,0.34261555075645445,0.007813534742543567,0.9394788821538289
axis2_+4mm,encoder_level4,15,0.25331404904524485,0.015100491271926602,0.9675998250643413
axis2_+4mm,canvas_level4,15,0.25331404904524485,0.015100491271926602,0.9675998250643413
axis2_+4mm,canvas_level3,15,0.40452132423718773,0.006936186177033489,0.9148257811864217
axis2_+4mm,canvas_level2,15,0.4158577978610992,0.004136199951733158,0.9099090854326884
axis2_+4mm,canvas_level1,15,0.33067288200060524,0.006894750223440863,0.9440418283144633
