transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,15,0.9999908907428491,0.9999734816006506,1.5238144071449966e-06,-1.2508983817105523e-05
axis0_+1mm,15,0.9955927262222913,0.99159773504162,0.0005628697700612584,-0.0006591721536994832
axis0_+2mm,15,0.9963726058527284,0.9921275822122255,9.266198866114313e-05,-0.001636120441353306
axis0_+4mm,15,0.997030233671146,0.9946919778265871,0.00022066600573642515,-0.0002611993431481663
axis0_+6mm,15,0.9953934540565795,0.9885244824186658,0.0008837439273542932,-0.001540371730692769
axis1_+1mm,15,0.9929829325611632,0.9865968604186675,0.0008096838863275613,-0.001175913038097498
axis1_+2mm,15,0.9945392751568339,0.9835159019950257,-0.0003435512377476598,-0.006899690955813553
axis1_+4mm,15,0.9954136076601995,0.9887360253418368,-0.0017290356590510703,-0.004047380675396561
axis1_+6mm,15,0.9817546606231382,0.9160376374706208,-0.014000670662575716,-0.07937930914675229
axis2_+1mm,15,0.9800225527333742,0.9573936724269919,-0.011489789529749772,-0.02013890118766548
axis2_+2mm,15,0.981100695526237,0.9199453308856235,-0.011329405729470684,-0.07443032876048628
axis2_+4mm,15,0.9902188724368941,0.9627607853840774,-0.0037262183369423476,-0.034306894241404096
axis2_+6mm,15,0.9586596145584115,0.8481309629320682,-0.033400229352371885,-0.14557159679982157
