axis,magnitude,this_project,rs2net_baseline,difference
Rotation,5.0,0.9845892809512903,0.9825543864969486,-0.0020348944543416847
Rotation,10.0,0.9826150041872456,0.9801945920406435,-0.0024204121466020467
Rotation,20.0,0.9741394390506023,0.9731512006147032,-0.0009882384358991247
Rotation,30.0,0.9642017625017877,0.9679527173168988,0.0037509548151111183
Translation,1.0,0.9895327371722762,0.9837610103796978,-0.005771726792578424
Translation,2.0,0.9906708588452665,0.9876776988431714,-0.002993160002095152
Translation,4.0,0.9942209045894131,0.9831703699476826,-0.011050534641730558
Translation,6.0,0.9786025764127099,0.9861461668825399,0.007543590469829997
Noise,0.05,0.9649651772289672,0.9123176559745549,-0.0526475212544123
Noise,0.1,0.9591660308124447,0.906280789066953,-0.052885241745491696
Noise,0.2,0.9494559505660581,0.8617831190555137,-0.08767283151054439
Noise,0.4,0.8012733391704966,0.6385354183123904,-0.16273792085810623
Blur,0.5,0.961335979242314,0.90952423895206,-0.05181174029025393
Blur,1.0,0.9181992010889937,0.8821628248154638,-0.036036376273529847
Blur,2.0,0.6599759838783872,0.7315992682835611,0.07162328440517396
Blur,4.0,0.41970124441923484,0.4682031369945345,0.04850189257529963
Intensity,0.1,0.9690735837930288,0.9144645955610025,-0.05460898823202631
Intensity,0.25,0.9695756033170047,0.912878146115619,-0.05669745720138564
Intensity,0.5,0.9522524868562546,0.9138541781718034,-0.038398308684451266
Intensity,0.75,0.9286758658801691,0.8411326881223087,-0.08754317775786047
