task,transform,stage,relative_l2,cosine,subject
brain,resampling_floor,input,2.3476036403735634e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level0,1.8437560356687754e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level1,1.9450762920314446e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level2,2.1817995730089024e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level3,5.382088374972227e-07,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,encoder_level4,4.2971878428943455e-06,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level4,4.2971878428943455e-06,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level3,7.775744597893208e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level2,0.00016658964159432799,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level1,0.00018811215704772621,0.9999999403953552,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,canvas_level0,0.0002285956870764494,0.9999998211860657,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,output_logits,7.869173714425415e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,resampling_floor,query_mask_embedding,6.146384521343862e-07,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,input,2.1030803054600256e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,encoder_level0,1.9775510736508295e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,encoder_level1,0.19553980231285095,0.9807096719741821,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,encoder_level2,0.22385908663272858,0.9746446013450623,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,encoder_level3,0.1746283620595932,0.9846376180648804,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,encoder_level4,0.16955409944057465,0.9856775999069214,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,canvas_level4,0.16955409944057465,0.9856775999069214,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,canvas_level3,0.24363888800144196,0.9699057340621948,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,canvas_level2,0.24499110877513885,0.9696153402328491,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,canvas_level1,0.20578771829605103,0.9786632061004639,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,canvas_level0,0.15037095546722412,0.988724946975708,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,output_logits,0.06510971486568451,0.9978787899017334,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+1mm,query_mask_embedding,0.0028528873808681965,0.9999959468841553,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,input,2.1664350242645014e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,encoder_level0,1.950392652361188e-05,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,encoder_level1,0.08320751786231995,0.996558666229248,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,encoder_level2,0.2405523806810379,0.97063809633255,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,encoder_level3,0.1679428666830063,0.9857999086380005,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,encoder_level4,0.2012827843427658,0.979674220085144,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,canvas_level4,0.2012827843427658,0.979674220085144,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,canvas_level3,0.2583795189857483,0.9661375880241394,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,canvas_level2,0.2737397253513336,0.9618282318115234,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,canvas_level1,0.19904720783233643,0.980324387550354,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,canvas_level0,0.19133156538009644,0.9818670153617859,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,output_logits,0.07897428423166275,0.9968974590301514,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+2mm,query_mask_embedding,0.004014917183667421,0.9999932050704956,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,input,2.2380568225344177e-06,1.0,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,encoder_level0,0.07250311970710754,0.9973680973052979,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,encoder_level1,0.2115718126296997,0.9773876070976257,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,encoder_level2,0.2897454500198364,0.9574488997459412,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,encoder_level3,0.22002533078193665,0.9755769371986389,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,encoder_level4,0.20557457208633423,0.9786475896835327,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,canvas_level4,0.20557457208633423,0.9786475896835327,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,canvas_level3,0.30448269844055176,0.9526508450508118,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,canvas_level2,0.30919149518013,0.9514189958572388,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,canvas_level1,0.2793075442314148,0.9608142971992493,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,canvas_level0,0.30181270837783813,0.9540263414382935,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,output_logits,0.27140480279922485,0.9624751806259155,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+4mm,query_mask_embedding,0.002824154682457447,0.9999961853027344,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,input,0.14101751148700714,0.9900070428848267,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level0,0.2148818075656891,0.9767441749572754,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level1,0.33796676993370056,0.9414433836936951,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level2,0.39187583327293396,0.9200217723846436,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level3,0.34300991892814636,0.9394198656082153,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,encoder_level4,0.21511700749397278,0.9766839742660522,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level4,0.21511700749397278,0.9766839742660522,POLYIC_20190510_mouse34__E2_P1
brain,axis0_+6mm,canvas_level3,0.3606172800064087,0.9330929517745972,POLYIC_20190510_mouse34__E2_P1
