task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
lesion,resampling_floor,1.0,0.8766783722371411,0.8766783722371411,0.0,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,0.9798526994947958,0.8660774983004759,0.8766783722371411,-0.0106008739366652,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,0.9853094842952855,0.8751890034364261,0.8766783722371411,-0.0014893688007149297,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,0.9680267239322358,0.8475905616483882,0.8766783722371411,-0.02908781058875287,20170222CH_Exp3_zfp_M03
lesion,axis0_+6mm,0.9433151353234986,0.8231498806374605,0.8766783722371411,-0.05352849159968054,20170222CH_Exp3_zfp_M03
lesion,axis1_+1mm,0.981213163064833,0.8743221909533941,0.8766783722371411,-0.0023561812837469276,20170222CH_Exp3_zfp_M03
lesion,axis1_+2mm,0.9805281732992577,0.8655113829425756,0.8766783722371411,-0.0111669892945655,20170222CH_Exp3_zfp_M03
lesion,axis1_+4mm,0.9849559686888454,0.870361511651746,0.8766783722371411,-0.0063168605853950455,20170222CH_Exp3_zfp_M03
lesion,axis1_+6mm,0.8686025990694689,0.7512367491166078,0.8766783722371411,-0.1254416231205333,20170222CH_Exp3_zfp_M03
lesion,axis2_+1mm,0.9546316188550487,0.8988445452612178,0.8766783722371411,0.022166173024076752,20170222CH_Exp3_zfp_M03
lesion,axis2_+2mm,0.9728506787330317,0.8703792278783737,0.8766783722371411,-0.006299144358767328,20170222CH_Exp3_zfp_M03
lesion,axis2_+4mm,0.9706579187169674,0.8648758648758649,0.8766783722371411,-0.011802507361276193,20170222CH_Exp3_zfp_M03
lesion,axis2_+6mm,0.9702439024390244,0.867652067297868,0.8766783722371411,-0.009026304939273033,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,0.9999590315047728,0.897489539748954,0.8974504249291785,3.9114819775476484e-05,20170222CH_Exp3_zfp_M08
lesion,axis0_+1mm,0.9848300478624158,0.8931821122083746,0.8974504249291785,-0.004268312720803857,20170222CH_Exp3_zfp_M08
lesion,axis0_+2mm,0.9856424101116702,0.8962666434600992,0.8974504249291785,-0.0011837814690792703,20170222CH_Exp3_zfp_M08
lesion,axis0_+4mm,0.9710692825022882,0.8847194050033806,0.8974504249291785,-0.012731019925797837,20170222CH_Exp3_zfp_M08
lesion,axis0_+6mm,0.9611279587255327,0.8768703502465937,0.8974504249291785,-0.020580074682584826,20170222CH_Exp3_zfp_M08
lesion,axis1_+1mm,0.9767366980600499,0.8891835250844703,0.8974504249291785,-0.008266899844708187,20170222CH_Exp3_zfp_M08
lesion,axis1_+2mm,0.9719782851668529,0.8815873150464238,0.8974504249291785,-0.015863109882754634,20170222CH_Exp3_zfp_M08
lesion,axis1_+4mm,0.9756761081773083,0.8851302537078747,0.8974504249291785,-0.0123201712213038,20170222CH_Exp3_zfp_M08
lesion,axis1_+6mm,0.9099996270187609,0.8263236802651306,0.8974504249291785,-0.07112674466404789,20170222CH_Exp3_zfp_M08
lesion,axis2_+1mm,0.9549096094962459,0.9067751161959242,0.8974504249291785,0.009324691266745733,20170222CH_Exp3_zfp_M08
