task,transform,stage,relative_l2,cosine,subject
lesion,resampling_floor,input,1.8748411321212188e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level0,1.8436099708196707e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level1,1.970329503819812e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level2,2.320995190530084e-05,0.9999998211860657,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level3,6.321469072645414e-07,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,encoder_level4,4.187736067251535e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level4,4.187736067251535e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level3,6.741012475686148e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level2,0.00015834126679692417,0.9999998807907104,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level1,0.00017023498367052525,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,canvas_level0,0.00022646717843599617,0.9999998807907104,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,output_logits,6.889166979817674e-05,1.0,20170222CH_Exp3_zfp_M03
lesion,resampling_floor,query_mask_embedding,1.0326764368073782e-06,0.9999999403953552,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,input,1.7294191820838023e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,encoder_level0,0.009033415466547012,0.9999649524688721,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,encoder_level1,0.19191290438175201,0.9814141988754272,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,encoder_level2,0.19038984179496765,0.9817087054252625,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,encoder_level3,0.1783623844385147,0.9839650392532349,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,encoder_level4,0.16585975885391235,0.9861840605735779,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,canvas_level4,0.16585975885391235,0.9861840605735779,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,canvas_level3,0.21418872475624084,0.9767923951148987,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,canvas_level2,0.21066603064537048,0.9775617718696594,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,canvas_level1,0.1626664400100708,0.9866907000541687,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,canvas_level0,0.09591154754161835,0.9954080581665039,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,output_logits,0.03299621492624283,0.999455451965332,20170222CH_Exp3_zfp_M03
lesion,axis0_+1mm,query_mask_embedding,0.007588226813822985,0.9999715685844421,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,input,1.81313419034268e-06,1.0,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,encoder_level0,0.04328039288520813,0.999097466468811,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,encoder_level1,0.09691595286130905,0.9954193830490112,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,encoder_level2,0.23174847662448883,0.9727884531021118,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,encoder_level3,0.16725894808769226,0.9859148263931274,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,encoder_level4,0.18765874207019806,0.982237696647644,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,canvas_level4,0.18765874207019806,0.982237696647644,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,canvas_level3,0.2286442220211029,0.9735864400863647,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,canvas_level2,0.25731682777404785,0.9663304686546326,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,canvas_level1,0.15364833176136017,0.9881748557090759,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,canvas_level0,0.13293494284152985,0.9912021160125732,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,output_logits,0.043001871556043625,0.999081015586853,20170222CH_Exp3_zfp_M03
lesion,axis0_+2mm,query_mask_embedding,0.02595900557935238,0.9996703863143921,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,input,0.10247858613729477,0.9947352409362793,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,encoder_level0,0.1678266078233719,0.9859386682510376,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,encoder_level1,0.2632324993610382,0.9651243686676025,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,encoder_level2,0.2984379529953003,0.9547269344329834,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,encoder_level3,0.22766859829425812,0.9738448262214661,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,encoder_level4,0.19718684256076813,0.9804263114929199,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,canvas_level4,0.19718684256076813,0.9804263114929199,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,canvas_level3,0.28338444232940674,0.9592286348342896,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,canvas_level2,0.3081744909286499,0.9516863822937012,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,canvas_level1,0.27231794595718384,0.9623934626579285,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,canvas_level0,0.2914486527442932,0.9569258689880371,20170222CH_Exp3_zfp_M03
lesion,axis0_+4mm,output_logits,0.2718042731285095,0.9623629450798035,20170222CH_Exp3_zfp_M03
