transform,n,mean_self_consistency_dice,min_self_consistency_dice,mean_accuracy_delta,worst_accuracy_delta
resampling_floor,15,0.9999643080869285,0.9998126990073047,2.6336115711426504e-05,-7.259328306852275e-05
axis0_+1mm,15,0.9232505817179759,0.5926928281461434,-0.009822996354859897,-0.0686028582727517
axis0_+2mm,15,0.9206526331325742,0.491044776119403,0.005817813276258908,-0.03152916826374497
axis0_+4mm,15,0.9137839820174692,0.6113296616837136,-0.03625494993237069,-0.23283870619171532
axis0_+6mm,15,0.8797654427810543,0.49566294919454773,-0.058642562963423885,-0.22592242672513263
axis1_+1mm,15,0.9239876986161889,0.6257287213369608,-0.023880026148450733,-0.06236669931605876
axis1_+2mm,15,0.8972558383166732,0.5102620776760342,-0.0379442658829024,-0.09539830475520411
axis1_+4mm,15,0.8978281183668757,0.4993887530562347,-0.04503151206162933,-0.13856707374477972
axis1_+6mm,15,0.7554006012492656,0.25652985074626866,-0.13552812509963819,-0.42299536475201804
axis2_+1mm,15,0.8851484672198698,0.5890207715133531,0.01439039928046792,-0.0204391696513814
axis2_+2mm,15,0.9166202397314905,0.6497849976110845,-0.0173529744146429,-0.05429828766801359
axis2_+4mm,15,0.9253760444771999,0.7044247787610619,-0.0115583590844395,-0.05987330195985058
axis2_+6mm,15,0.8883554936806008,0.4227504244482173,-0.025918759531885598,-0.1448631271932801
