transform,stage,n,mean_relative_l2,sd_relative_l2,mean_cosine
resampling_floor,input,15,1.868445777593782e-06,7.383197022805393e-08,0.999999996026357
resampling_floor,encoder_level0,15,1.9036409867112525e-05,3.7317332890396923e-07,0.9999999880790711
resampling_floor,encoder_level1,15,2.0325939840404316e-05,6.423060526197504e-07,0.999999996026357
resampling_floor,encoder_level2,15,2.2775738155663324e-05,5.371825503172371e-07,0.9999999682108561
resampling_floor,encoder_level3,15,6.498989023384638e-07,4.2655992681067163e-08,0.9999999880790711
resampling_floor,encoder_level4,15,4.5180515068447375e-06,4.87689291124516e-07,0.9999999642372132
resampling_floor,canvas_level4,15,4.5180515068447375e-06,4.87689291124516e-07,0.9999999642372132
resampling_floor,canvas_level3,15,7.164317163793991e-05,2.5561200582460716e-06,0.9999999880790711
resampling_floor,canvas_level2,15,0.00016150621134632578,2.165446785617322e-06,0.9999999602635702
resampling_floor,canvas_level1,15,0.00017377567710354924,3.972432327695159e-06,0.9999999880790711
resampling_floor,canvas_level0,15,0.0002275926381116733,1.314620201355685e-06,0.9999999403953552
resampling_floor,output_logits,15,6.896316238756602e-05,4.1660471903282933e-07,0.999999984105428
resampling_floor,query_mask_embedding,15,1.628590943406986e-06,7.136864135397886e-07,0.999999996026357
axis0_+1mm,input,15,1.721576162102186e-06,6.804428654602703e-08,0.9999999920527141
axis0_+1mm,encoder_level0,15,0.008616942105193932,0.0002483678282622047,0.9999676942825317
axis0_+1mm,encoder_level1,15,0.19632737437884012,0.005704643716499873,0.9805219968159994
axis0_+1mm,encoder_level2,15,0.18728049794832866,0.003207269071915351,0.9823013345400492
axis0_+1mm,encoder_level3,15,0.1721544583638509,0.0046285911280028675,0.9850592374801636
axis0_+1mm,encoder_level4,15,0.16055619915326436,0.0061037586705973085,0.9870912512143453
axis0_+1mm,canvas_level4,15,0.16055619915326436,0.0061037586705973085,0.9870912512143453
axis0_+1mm,canvas_level3,15,0.2135565827290217,0.003404031643103881,0.9769279758135477
