domain,error_type,complexity_group,error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,error_distance_mm_mean,error_distance_mm_median,error_distance_mm_p95,error_distance_mm_maximum
CAMRI,FP,flat,1576,68434,2.302948827,0.1796315312,0.200000003,0.200000003,0.5
CAMRI,FP,medium complexity,3476,68430,5.079643431,0.1741970032,0.200000003,0.2828427255,0.9797959328
CAMRI,FP,high complexity,7992,68433,11.67857613,0.1696101576,0.1414213628,0.3605551422,1.118034005
CAMRI,FN,flat,1371,68434,2.003390128,0.007604843937,0,0,0.5
CAMRI,FN,medium complexity,3334,68430,4.872132106,0.003287770785,0,0,0.5
CAMRI,FN,high complexity,9898,68433,14.46378209,0.002331834985,0,0,0.4472135901
CAMRI,All,flat,2947,68434,4.306338954,0.09960146248,0.1000000015,0.200000003,0.5
CAMRI,All,medium complexity,6810,68430,9.951775537,0.09052426368,0.1000000015,0.200000003,0.9797959328
CAMRI,All,high complexity,17890,68433,26.14235822,0.07706008106,0,0.2236067951,1.118034005
Mouse,FP,flat,65585,568246,11.54165625,0.1445053667,0.1000000015,0.400000006,1.982424617
Mouse,FP,medium complexity,100502,568196,17.68791051,0.1362346113,0.1000000015,0.3000000119,1.757841706
Mouse,FP,high complexity,93574,568220,16.46791736,0.1606706679,0.1000000015,0.3999999464,1.788856387
Mouse,FN,flat,56623,568246,9.964522408,0.001131442143,0,0,0.2828427255
Mouse,FN,medium complexity,99600,568196,17.52916247,0.0007918652263,0,0,0.3162277639
Mouse,FN,high complexity,109329,568220,19.24061103,0.001335496432,0,0,0.4242640138
Mouse,All,flat,122208,568246,21.50617866,0.07807549834,0.1000000015,0.3000000119,1.982424617
Mouse,All,medium complexity,200102,568196,35.21707298,0.06881850958,0.0703125,0.2236067951,1.757841706
Mouse,All,high complexity,202903,568220,35.70852839,0.07481704652,0,0.3000000119,1.788856387
Combined,FP,flat,67161,636680,10.54862725,0.1453296393,0.1000000015,0.3999999762,1.982424617
Combined,FP,medium complexity,103978,636626,16.33266628,0.1375036836,0.1000000015,0.3000000119,1.757841706
Combined,FP,high complexity,101566,636653,15.95311732,0.1613740921,0.1000000015,0.3999999464,1.788856387
Combined,FN,flat,57994,636680,9.108814475,0.001284475788,0,0,0.5
Combined,FN,medium complexity,102934,636626,16.16867674,0.0008727067616,0,0,0.5
Combined,FN,high complexity,119227,636653,18.72715592,0.00141821045,0,0,0.4472135901
Combined,All,flat,125155,636680,19.65744173,0.07858236134,0.1000000015,0.3000000119,1.982424617
Combined,All,medium complexity,206912,636626,32.50134302,0.06953290105,0.0703125,0.2236067951,1.757841706
Combined,All,high complexity,220793,636653,34.68027324,0.07499879599,0,0.2899058759,1.788856387
