domain,voxel_group,voxels,probability_p05,probability_p25,probability_median,probability_p75,probability_p95,probability_mean,uncertain_0.25_to_0.75_percent,confident_incorrect_percent
CAMRI,correct inside,605617,0.8962385654,0.9993742704,0.9999694824,0.9999998808,1,0.9838056564,2.259183609,
CAMRI,correct outside,261170,7.629394531e-05,0.0007019042969,0.004104673862,0.03057909012,0.2621278346,0.04272338375,5.402228434,
CAMRI,FP boundary,13044,0.5157614231,0.5921872854,0.7015009224,0.8431220055,0.9816716671,0.721808672,59.09996933,17.01165287
CAMRI,FN boundary,14603,0.04110170007,0.1685282588,0.2952620387,0.4042114317,0.4834332407,0.2826882601,59.50832021,13.76429501
Mouse,correct inside,4336677,0.8419934511,0.9981513619,0.9999731779,0.9999995232,1,0.9782497287,3.110676677,
Mouse,correct outside,3289020,9.360677504e-05,0.0008656274877,0.00466778269,0.02911137231,0.2485518754,0.04064903781,4.956765237,
Mouse,FP boundary,259661,0.5272954702,0.6472865343,0.8066068292,0.9396082163,0.9956188798,0.7884626389,40.98112539,33.56838339
Mouse,FN boundary,265552,0.008388969116,0.06507351249,0.1876979768,0.3427714109,0.4697522223,0.2090194821,39.55647105,33.27596855
Combined,correct inside,4942294,0.8481655717,0.9983739853,0.9999716282,0.9999995232,1,0.9789303541,3.006336734,
Combined,correct outside,3550190,9.167194366e-05,0.0008528530598,0.004625580274,0.02920425031,0.2496660054,0.0408016555,4.989535771,
Combined,FP boundary,272705,0.5265184045,0.6434102058,0.8009777665,0.9369981289,0.9954195261,0.7852745056,41.84778424,32.77644341
Combined,FN boundary,280155,0.008830403071,0.06841429323,0.1941372752,0.3476958573,0.4708425403,0.2128594667,40.59645553,32.25892809
