domain,error_type,normalized_slice_region,error_voxels,percent_of_error_voxels,expert_surface_voxels,errors_per_100_surface_voxels,orientation_interpretation
CAMRI,FP,first 20%,3129,23.98804048,76247,4.103768017,acquisition-slice position only
CAMRI,FP,middle 60%,7155,54.85280589,71457,10.01301482,acquisition-slice position only
CAMRI,FP,final 20%,2760,21.15915363,57593,4.792249058,acquisition-slice position only
CAMRI,FN,first 20%,4616,31.60994316,76247,6.054008682,acquisition-slice position only
CAMRI,FN,middle 60%,6644,45.49750051,71457,9.297899436,acquisition-slice position only
CAMRI,FN,final 20%,3343,22.89255632,57593,5.804524855,acquisition-slice position only
CAMRI,All,first 20%,7745,28.01388939,76247,10.1577767,acquisition-slice position only
CAMRI,All,middle 60%,13799,49.91138279,71457,19.31091426,acquisition-slice position only
CAMRI,All,final 20%,6103,22.07472782,57593,10.59677391,acquisition-slice position only
Mouse,FP,first 20%,64246,24.7422601,451029,14.24431688,acquisition-slice position only
Mouse,FP,middle 60%,165642,63.79163602,1061919,15.59836485,acquisition-slice position only
Mouse,FP,final 20%,29773,11.46610388,191714,15.52990392,acquisition-slice position only
Mouse,FN,first 20%,67424,25.39013075,451029,14.9489279,acquisition-slice position only
Mouse,FN,middle 60%,168813,63.57060011,1061919,15.89697519,acquisition-slice position only
Mouse,FN,final 20%,29315,11.03926915,191714,15.29100639,acquisition-slice position only
Mouse,All,first 20%,131670,25.06982881,451029,29.19324478,acquisition-slice position only
Mouse,All,middle 60%,334455,63.67987845,1061919,31.49534004,acquisition-slice position only
Mouse,All,final 20%,59088,11.25029274,191714,30.82091031,acquisition-slice position only
Combined,FP,first 20%,67375,24.70618434,527276,12.77793793,acquisition-slice position only
Combined,FP,middle 60%,172797,63.36407473,1133376,15.24622014,acquisition-slice position only
Combined,FP,final 20%,32533,11.92974093,249307,13.04937286,acquisition-slice position only
Combined,FN,first 20%,72040,25.71433671,527276,13.66267382,acquisition-slice position only
Combined,FN,middle 60%,175457,62.62854491,1133376,15.48091719,acquisition-slice position only
Combined,FN,final 20%,32658,11.65711838,249307,13.09951185,acquisition-slice position only
Combined,All,first 20%,139415,25.21705314,527276,26.44061175,acquisition-slice position only
Combined,All,middle 60%,348254,62.99135405,1133376,30.72713733,acquisition-slice position only
Combined,All,final 20%,65191,11.79159281,249307,26.14888471,acquisition-slice position only
