domain,subject,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,dice,hd95_mm,assd_mm,fp_voxels,fn_voxels,surface_dice_0.1mm,surface_dice_0.2mm,surface_dice_0.5mm,surface_dice_1mm
CAMRI,064,0.200000003,0.200000003,0.200000003,0.9863617652,0.200000003,0.04082377742,2427,4663,0.8041086261,0.8041086261,0.9998135051,1
CAMRI,007,0.1000000015,0.1000000015,1,0.9857284277,0.1000000015,0.01399554184,1788,2364,0.8980494443,0.9789634838,0.9986391472,1
CAMRI,043,0.1000000015,0.1000000015,1,0.9862926147,0.1000000015,0.01335284416,1994,1652,0.9029114349,0.9828155073,0.9981822625,0.9998319738
CAMRI,078,0.200000003,0.200000003,0.200000003,0.9888957055,0.200000003,0.0317194293,2852,2578,0.8443798909,0.8443798909,0.9998369694,1
CAMRI,009,0.1000000015,0.1000000015,1,0.9866138474,0.1000000015,0.01152721547,1887,1607,0.9057867642,0.9877504187,0.9991936984,1
CAMRI,099,0.1000000015,0.1000000015,1,0.9876404748,0.1000000015,0.01149427706,2096,1739,0.9109745718,0.985969252,0.9986700713,1
Mouse,POLYIC_20190510_mouse34__E2_P1,0.1000000015,0.1000000015,0.3999999166,0.9677160618,0.200000003,0.04439901612,3180,3582,0.6924503038,0.9268204758,0.9994592646,1
Mouse,POLYIC_20190510_mouse35__E3_P1,0.1000000015,0.1000000015,0.4000000656,0.9690903656,0.200000003,0.03888971931,2464,4154,0.6967355062,0.9419990178,1,1
Mouse,POLYIC_20190510_mouse37__E2_P1,0.1000000015,0.1000000015,0.3999997675,0.9750998823,0.1414213583,0.0330855271,2564,3444,0.7397507847,0.9547940645,0.9999524398,1
Mouse,POLYIC_20190510_mouse38__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9732050707,0.1414213583,0.0332983263,2649,3504,0.7303211279,0.9563344429,1,1
Mouse,POLYIC_20190510_mouse39__E4_P1,0.1000000015,0.1000000015,0.3999998868,0.9731503124,0.1414213583,0.03407583087,2945,3373,0.7265541655,0.9543206285,1,1
Mouse,POLYIC_20190510_mouse42__E2_P1,0.1000000015,0.1000000015,0.400000155,0.9707410779,0.200000003,0.03908703356,2965,3752,0.7098309695,0.9377550029,0.9996599961,1
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.1000000015,0.1000000015,0.400000006,0.9608483799,0.200000003,0.04460506769,3072,3123,0.7113434277,0.9046902077,0.9989204852,1
Mouse,POLYIC_20190510_mouse43__E9_P1,0.1000000015,0.1000000015,0.3999999464,0.9501225801,0.3999999464,0.08459614336,6913,4887,0.5934908646,0.8154436052,0.9810361952,0.9992608505
Mouse,POLYIC_20190517_mouse33__E2_P1,0.1000000015,0.1000000015,0.400000006,0.9704582715,0.200000003,0.03914010478,3663,2842,0.7093448451,0.938420518,0.999619096,1
Mouse,POLYIC_20190517_mouse35__E2_P1,0.1000000015,0.1000000015,0.3999999762,0.9725985153,0.1414213583,0.03415990443,2662,3469,0.7301082746,0.9531886361,1,1
Mouse,POLYIC_20190517_mouse36__E2_P1,0.1000000015,0.1000000015,0.3999999464,0.9725103825,0.1414213583,0.03310198862,2245,4083,0.7329204521,0.9567197629,0.9999036075,1
Mouse,POLYIC_20190517_mouse37__E3_P1,0.0703125,0.0703125,0.3000001907,0.9684207766,0.2109375,0.0466042735,13278,5993,0.8561120593,0.9382849744,0.9990465541,1
Mouse,POLYIC_20190517_mouse38__E3_P1,0.1000000015,0.1000000015,0.4000001252,0.9740111239,0.1414213583,0.03309889659,3052,2971,0.7356582088,0.954322841,0.9996062314,1
Mouse,POLYIC_20190517_mouse39__E12_P1,0.0703125,0.0703125,0.3000001907,0.9710232256,0.2109375,0.04422896723,12109,5203,0.8704878823,0.941827545,0.9981817294,1
Mouse,POLYIC_20190517_mouse42__E4_P1,0.1000000015,0.1000000015,0.3999997973,0.9745930891,0.1414213583,0.03090364145,2490,3476,0.7462601239,0.9620295379,1,1
Mouse,POLYIC_20190517_mouse43__E3_P1,0.1000000015,0.1000000015,0.3999997377,0.974787456,0.1414213583,0.03143206193,3121,2908,0.7459878513,0.9597721525,1,1
Mouse,POLYIC_20190524_polyic___E3_P1,0.1000000015,0.1000000015,0.3999996185,0.9707138333,0.200000003,0.03849333658,2493,3981,0.7076276487,0.9418857729,0.9999249493,1
Mouse,POLYIC_20190524_polyic___E3_P1_1,0.1000000015,0.1000000015,0.4000000954,0.9751185998,0.1000000015,0.03049806293,2301,3526,0.7418954137,0.9678008622,0.9999269309,1
Mouse,POLYIC_20190524_polyic___E3_P1_10,0.1000000015,0.1000000015,0.4000000954,0.9743202484,0.1414213583,0.03137049325,3085,2696,0.7437285287,0.9620622328,0.9997281333,1
Mouse,POLYIC_20190524_polyic___E3_P1_12,0.1000000015,0.1000000015,0.4000000954,0.97114499,0.200000003,0.03927884697,3651,3210,0.7115271538,0.9357433497,0.9988239998,1
