domain,scan_id,inference_seconds,dice,precision,recall,false_positives,false_negatives,hd95_mm,assd_mm,surface_dice,boundary_precision,boundary_recall,connected_components,compactness,contour_roughness,volume_ratio,iou,probability_inside_brain,probability_boundary_band,probability_immediately_outside,probability_distant_background,prediction_path,probability_path,image_path,ground_truth_path,filtered_dice
CAMRI,064,0.8144763186573982,0.9918063343338419,0.9950492186325202,0.9885845186152791,1284,2980,0.20000000298023224,0.039138581466931596,0.8137712259749953,0.8114243185412596,0.8161317488537475,1,0.7656684459654366,5.286122313935583,0.9935031354266823,0.9837458497405969,0.6113815307617188,0.44344469904899597,0.23071236908435822,0.06760688871145248,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_camri/064_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,0.9918063343338419
CAMRI,007,0.011768843047320843,0.9889411465615864,0.9903871957722928,0.9874993139030682,1397,1822,0.10000000149011612,0.010915066890400074,0.9856523025342668,0.9844586824379826,0.9868468646213541,1,0.02470193403453463,16.605060869833,0.9970840880399583,0.9781242142318332,0.6718873977661133,0.657919704914093,0.25525379180908203,0.052917011082172394,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_camri/007_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,0.9889411465615864
CAMRI,043,0.010013218969106674,0.9915200531128346,0.9935814565330793,0.9894671856530872,849,1399,0.10000000149011612,0.008201902350558,0.9951664972265325,0.9952046035805626,0.9951280673473043,4,0.02585668857578195,16.354093997090327,0.99585915090007,0.9831827159016099,0.5772078037261963,0.5623825192451477,0.36128613352775574,0.06039746478199959,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_camri/043_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,0.9915350142592005
CAMRI,078,0.3294020965695381,0.99279381079521,0.9896710178520597,0.9959363733462103,2540,993,0.20000000298023224,0.03425688339446187,0.8382614548776384,0.8338913334608762,0.8426776220396327,3,0.7482854122830768,5.326742440562395,1.0063307456529835,0.9856907368480738,0.6035959720611572,0.4431542754173279,0.2220716029405594,0.06735087931156158,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_camri/078_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,0.9928424127331213
CAMRI,009,0.010372902266681194,0.9913703990137599,0.9896350878265788,0.9931118065783014,1356,898,0.10000000149011612,0.007614800162367576,0.9959651271705454,0.9956646363310642,0.9962689270448454,2,0.0259577398514185,16.33284469984076,1.0035131320569466,0.9828884637575537,0.6486040353775024,0.635502815246582,0.2599363327026367,0.05054503306746483,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_camri/009_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,0.9913779901375234
CAMRI,099,0.010161271318793297,0.9909039409818337,0.9885049351716875,0.993314619430194,1790,1036,0.10000000149011612,0.010474409414442831,0.9887877408587468,0.987143891839691,0.9904497467504729,2,0.021975624543803866,17.265151051820524,1.004865614816249,0.981971866926095,0.6648237109184265,0.6394565105438232,0.31625741720199585,0.05119667574763298,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_camri/099_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,0.9909166988541265
Mouse,POLYIC_20190510_mouse34__E2_P1,0.010708168148994446,0.9784211523881728,0.9729625301568154,0.9839413693199146,2869,1685,0.22360680108197992,0.0440334948990512,0.9346786848155312,0.9286538738998702,0.9408463185879921,1,0.28330874061246747,7.363158229912487,1.0112839280268375,0.957753926361587,0.1487811952829361,0.16886472702026367,0.14706647396087646,0.08160535991191864,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_mouse/POLYIC_20190510_mouse34__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,0.9784211523881728
Mouse,POLYIC_20190510_mouse35__E3_P1,0.01010711956769228,0.9821556625814839,0.9805723893282093,0.9837440569421403,2103,1754,0.10000000149011612,0.029895335140373947,0.9700879552227957,0.9655346092963016,0.9747356051703878,3,0.2925441303976828,7.284845209721596,1.0032345063438957,0.9649370011454338,0.2989044189453125,0.27601560950279236,0.19293098151683807,0.06112288683652878,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_mouse/POLYIC_20190510_mouse35__E3_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,0.9821556625814839
Mouse,POLYIC_20190510_mouse37__E2_P1,0.009962398558855057,0.9849212554451022,0.986688658836791,0.9831601724451199,1606,2039,0.10000000149011612,0.02402625053828908,0.9867644064345347,0.986510067114094,0.9870245777838803,3,0.29491537366392373,7.265268243213486,0.9964239110685321,0.9702904929577466,0.43578553199768066,0.3825364410877228,0.2397444099187851,0.04789351671934128,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_mouse/POLYIC_20190510_mouse37__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,0.9849212554451022
Mouse,POLYIC_20190510_mouse38__E2_P1,0.010271403007209301,0.983178121152212,0.9824795508110357,0.983877685606192,2022,1858,0.10000000149011612,0.027079242654414443,0.9821871398134889,0.9819564465952298,0.9824227022448115,1,0.2949341958228517,7.265113687898468,1.0014230675783555,0.9669128306585029,0.23699523508548737,0.22491204738616943,0.17536889016628265,0.07634751498699188,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/native_predictions/brain_mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/two_task_joint_decoder/probability_maps/brain_mouse/POLYIC_20190510_mouse38__E2_P1_probability.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,0.983178121152212
