domain,role,subject,slice,baseline_dice,unetr_style_dice,path
CAMRI,worst_dice,064,52,0.9873471741637831,0.9868096312583077,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/worst_dice_064.png
CAMRI,median_dice,043,0,0.9893833432090006,0.9892761797330325,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/median_dice_043.png
CAMRI,best_dice,078,51,0.9902644832412222,0.9905940119222787,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/best_dice_078.png
CAMRI,largest_improvement,007,1,0.9879251379174042,0.9886454797901882,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/largest_improvement_007.png
CAMRI,largest_regression,064,52,0.9873471741637831,0.9868096312583077,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/largest_regression_064.png
CAMRI,largest_hd95_improvement,007,1,0.9879251379174042,0.9886454797901882,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/largest_hd95_improvement_007.png
CAMRI,previously_pixelated,099,1,0.9893460194024758,0.9894016324956617,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/previously_pixelated_099.png
CAMRI,high_curvature,064,52,0.9873471741637831,0.9868096312583077,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/camri/high_curvature_064.png
Mouse,worst_dice,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.94303015064848,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/worst_dice_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_dice,POLYIC_20190531_polyic_m__E3_P1_3,0,0.9782849378491268,0.9809659577848104,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/median_dice_POLYIC_20190531_polyic_m__E3_P1_3.png
Mouse,best_dice,POLYIC_20190614_polyic___E3_P1_6,1,0.9821217888545372,0.9834872389590383,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/best_dice_POLYIC_20190614_polyic___E3_P1_6.png
Mouse,largest_improvement,POLYIC_20190531_polyic_m__E3_P1_3,0,0.9782849378491268,0.9809659577848104,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/largest_improvement_POLYIC_20190531_polyic_m__E3_P1_3.png
Mouse,largest_regression,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.94303015064848,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/largest_regression_POLYIC_20190510_mouse43__E9_P1.png
Mouse,largest_hd95_improvement,POLYIC_20190517_mouse37__E3_P1,23,0.9742176125116561,0.9743506413570673,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/largest_hd95_improvement_POLYIC_20190517_mouse37__E3_P1.png
Mouse,previously_pixelated,POLYIC_20190517_mouse39__E12_P1,17,0.9763518471575521,0.9775434230726778,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,8,0.9810138170360435,0.981190432453446,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_decoder/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
