domain,subject,baseline_dice,unetr_style_dice,dice_change,baseline_hd95_mm,unetr_style_hd95_mm,hd95_change_mm,baseline_assd_mm,unetr_style_assd_mm
CAMRI,064,0.9873471741637831,0.9868096312583077,-0.0005375429054754743,0.20000000298023224,0.2828427166893039,0.08284271370907165,0.03804505576516614,0.14960285945539284
CAMRI,007,0.9879251379174042,0.9886454797901882,0.000720341872784025,0.10000000149011612,0.10000000149011612,0.0,0.011416409673941138,0.010437927394316718
CAMRI,043,0.9893833432090006,0.9892761797330325,-0.00010716347596806397,0.10000000149011612,0.10000000149011612,0.0,0.009655559352078538,0.009712452173233752
CAMRI,078,0.9902644832412222,0.9905940119222787,0.00032952868105651234,0.20000000298023224,0.20000000298023224,0.0,0.027812486582450602,0.02669078331435313
CAMRI,009,0.9887403479144617,0.9882957639448431,-0.00044458396961866153,0.10000000149011612,0.10000000149011612,0.0,0.010032371806573922,0.010028799241501766
CAMRI,099,0.9893460194024758,0.9894016324956617,5.561309318591334e-05,0.10000000149011612,0.10000000149011612,0.0,0.009939829553465519,0.010751282448765772
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9749279593539092,0.9749585633402433,3.060398633414341e-05,0.20000000298023224,0.20000000298023224,0.0,0.03470856034128311,0.038087573479827004
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9777070505673854,0.9775215182761432,-0.0001855322912421853,0.14142135834465194,0.14142135834465194,0.0,0.028407452406270656,0.030528744429225558
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9810286870127125,0.9827877039634285,0.001759016950716008,0.10000000149011612,0.10000000149011612,0.0,0.02421230213200227,0.02098805501914637
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9800141178712329,0.9806335138683735,0.0006193959971405594,0.10000000149011612,0.10000000149011612,0.0,0.02443820450517168,0.02384204027757021
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9793219226819717,0.9807685782151341,0.0014466555331623665,0.10000000149011612,0.10000000149011612,0.0,0.025302355629467813,0.02314171577766941
Mouse,POLYIC_20190510_mouse42__E2_P1,0.9796471947842393,0.9807072974091909,0.0010601026249515977,0.10000000149011612,0.10000000149011612,0.0,0.026509234064009596,0.02351255650292068
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9722420109912477,0.9719396946806157,-0.0003023163106320448,0.20000000298023224,0.20000000298023224,0.0,0.030568430214321523,0.03208284671972452
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9531438429585958,0.94303015064848,-0.01011369231011583,0.4000000059604645,0.5385164887379713,0.13851648277750683,0.08674332226720438,0.11960198543462418
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9780392619016323,0.977333170230021,-0.0007060916716112864,0.14142135834465194,0.14142135834465194,0.0,0.02924265948764805,0.03135834504966839
Mouse,POLYIC_20190517_mouse35__E2_P1,0.9795426874138692,0.9791399314989689,-0.00040275591490024354,0.10000000149011612,0.10000000149011612,0.0,0.025215071915302038,0.027394681752075368
Mouse,POLYIC_20190517_mouse36__E2_P1,0.9804691384715166,0.9804196586455102,-4.9479826006448846e-05,0.10000000149011612,0.10000000149011612,0.0,0.023005462249557407,0.024099520197452245
Mouse,POLYIC_20190517_mouse37__E3_P1,0.9742176125116561,0.9743506413570673,0.0001330288454112205,0.1988737822087165,0.15722352966795397,-0.04165025254076252,0.036972372037906855,0.03677835884690593
Mouse,POLYIC_20190517_mouse38__E3_P1,0.9814981325217872,0.9819911596104703,0.0004930270886831511,0.10000000149011612,0.10000000149011612,0.0,0.022161587572418328,0.02198517783832335
Mouse,POLYIC_20190517_mouse39__E12_P1,0.9763518471575521,0.9775434230726778,0.0011915759151257532,0.15722352966795397,0.140625,-0.01659852966795397,0.03535949383157628,0.0320562465535877
Mouse,POLYIC_20190517_mouse42__E4_P1,0.9818470499333486,0.9824393264097094,0.0005922764763608424,0.10000000149011612,0.10000000149011612,0.0,0.021296577181448263,0.020248252822314655
Mouse,POLYIC_20190517_mouse43__E3_P1,0.9819619947911643,0.9806816619519979,-0.0012803328391663982,0.10000000149011612,0.10000000149011612,0.0,0.021463668631316487,0.024811413447020723
Mouse,POLYIC_20190524_polyic___E3_P1,0.9793026124004933,0.9800508384755643,0.0007482260750709679,0.10000000149011612,0.10000000149011612,0.0,0.026302667017409374,0.025206971537375538
