epoch,loss,epoch_seconds,balanced_validation_dice,camri_safety_eligible,camri_validation_dice,camri_validation_precision,camri_validation_recall,camri_validation_false_positives,camri_validation_false_negatives,camri_validation_volume_ratio,mouse_validation_dice,mouse_validation_precision,mouse_validation_recall,mouse_validation_false_positives,mouse_validation_false_negatives,mouse_validation_volume_ratio
1,1.7910483585936683,60.68257403373718,0.4970660919457287,False,0.6306777172243078,0.49854749985754454,0.8600707417354881,266218.8333333333,44267.166666666664,1.7295713414887028,0.36345446666714964,0.22849446599923465,0.8896948109529694,260850.7,9552.2,3.902581989676304
2,1.1732093755687987,57.48651313781738,0.6670061372543188,False,0.7992393010744722,0.7189631853007321,0.9016683108868048,110714.0,32933.0,1.256586464200071,0.5347729734341654,0.3703509412417721,0.9684659440051773,144542.5,2730.7,2.637826861334637
3,0.8283381930419377,57.014240980148315,0.825581708980409,False,0.8737681879931215,0.866227112160776,0.8843813590173982,42367.5,40634.833333333336,1.0189268072487865,0.7773952299676965,0.6527123098168239,0.9617261632429746,44470.5,3314.4,1.4752908659445174
4,0.5586251680340085,55.91940999031067,0.9121065664810194,False,0.9155373757991523,0.9376501243863008,0.8983559213484483,18104.166666666668,35916.166666666664,0.9575361798801052,0.9086757571628865,0.8620360632304347,0.9611733476084092,13393.7,3364.2,1.1160328559199608
5,0.3715750141335385,56.091092348098755,0.9426984551269147,False,0.9395059871909632,0.9602213511259613,0.9226218512943493,11495.0,27611.166666666668,0.9608737066512868,0.9458909230628663,0.9236692576671313,0.9695452939850823,6974.5,2639.3,1.0503655773348164
6,0.272186224215797,56.03189420700073,0.9546489980423195,False,0.9510658399580728,0.9698732365097548,0.935013647037819,8908.0,23051.833333333332,0.9640036368951331,0.9582321561265662,0.9474644068329292,0.9694644922796322,4672.1,2647.1,1.0236379333911862
7,0.221830014405506,56.13861036300659,0.9614211254013354,False,0.9573469968667555,0.9775733976197989,0.9396546650134211,6717.166666666667,21347.666666666668,0.9611087304598053,0.9654952539359153,0.9695550435520062,0.9615791362417674,2621.8,3330.4,0.991962214281906
8,0.19179819763771125,56.426249742507935,0.9642874105715198,False,0.9608172865427246,0.9770768278982582,0.9466669486528813,6750.833333333333,19096.166666666668,0.9688728065975415,0.9677575346003151,0.9655593842966546,0.970099481415178,3007.2,2590.4,1.0049441109860626
9,0.1745231170207262,57.22365164756775,0.9668723917730094,False,0.9637235535071214,0.9777265814608619,0.9513979887403661,6708.333333333333,17373.333333333332,0.9730293698742042,0.9700212300388975,0.9669358239895921,0.9732179804098842,2889.6,2321.2,1.006666045291742
10,0.1623762079647609,57.427467823028564,0.9677857931355042,False,0.964589178691678,0.9754804794326049,0.9551387433221078,7488.166666666667,16132.5,0.9790762370725213,0.9709824075793303,0.9636132841571208,0.9785896927719948,3211.2,1855.5,1.0157737151979027
11,0.15133733289050205,55.70639395713806,0.9693300645769509,False,0.9660596732507923,0.9782188069298304,0.9554843207519518,6540.666666666667,16124.666666666666,0.9767115187877136,0.9726004559031095,0.9702861009834004,0.9750263842345571,2595.6,2165.0,1.0050727891654003
12,0.14410707354545593,55.180662631988525,0.9704900076815226,False,0.9677674559888553,0.9799406951271749,0.9569103570211969,6156.0,15426.0,0.9764311033392788,0.97321255937419,0.9683921893957044,0.9781809838290536,2771.3,1892.2,1.0102924873999333
13,0.13898731062987021,55.61447286605835,0.9722698998751946,False,0.9702649465342001,0.981445281404285,0.9602591808222699,5629.5,14273.0,0.9783816925088796,0.9742748532161892,0.9708889862761916,0.9777828088779316,2547.2,1926.2,1.0072837829598518
14,0.1334650798567704,55.592490911483765,0.9729807910049446,False,0.9702989079279459,0.9826204942894686,0.9592100361067232,5360.0,14564.0,0.9761337687043504,0.9756626740819432,0.9732963710597481,0.9781257266288215,2330.2,1896.8,1.0051152448029403
15,0.12866036899920022,55.84917759895325,0.9704552030289205,False,0.9652018995569663,0.9848443301724329,0.9480697160105575,4459.166666666667,18856.166666666668,0.962586754894789,0.9757085065008747,0.9792685473381443,0.9722340352755202,1786.1,2405.7,0.9929060631171435
16,0.12626101981316293,55.504154443740845,0.9736654897930443,False,0.9706697250732573,0.9834258368393808,0.9591871872385882,5101.166666666667,14594.0,0.9752922210393127,0.9766612545128315,0.9775429872651132,0.9758359071508484,1944.6,2094.0,0.9983449394173126
17,0.12170663635645594,55.60228085517883,0.973771809563996,False,0.9702482261226316,0.9835935350615354,0.9583619202297142,4992.833333333333,15035.5,0.9743026973236028,0.9772953930053605,0.979525764242938,0.9751419560582144,1770.6,2154.3,0.9956319665005129
18,0.12025445380381175,55.50934410095215,0.9749094517647844,False,0.9720599892415437,0.9816850172230177,0.9633827011569355,5794.5,13058.333333333334,0.9813337203208166,0.9777589142880251,0.9798267200401043,0.9757717317767343,1746.1,2099.5,0.9959794131749993
