domain,subject,baseline_dice,filtered_dice,dice_change,image_path,ground_truth_path,baseline_prediction_path,filtered_prediction_path
CAMRI,064,0.9880044789403669,0.9881255252392411,0.0001210462988742167,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/064_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/064_prediction.nii.gz
CAMRI,007,0.9882581217811325,0.9882649217145393,6.7999334067980755e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/007_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/007_prediction.nii.gz
CAMRI,043,0.9882494909118335,0.9882867594373421,3.7268525508671324e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/043_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/043_prediction.nii.gz
CAMRI,078,0.9892969980977884,0.9900547611120529,0.0007577630142645564,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/078_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/078_prediction.nii.gz
CAMRI,009,0.9868839564249522,0.9869593276130032,7.537118805100995e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/009_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/009_prediction.nii.gz
CAMRI,099,0.9900270932782866,0.9900270932782866,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/camri/099_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/camri/099_prediction.nii.gz
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9771919290119044,0.9771919290119044,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9806102412462921,0.9806102412462921,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9812493482114923,0.9812534414576763,4.093246184000421e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9812586360694734,0.981267217630854,8.581561380616165e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse39__E4_P1,0.9799341992528874,0.9799341992528874,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse39__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse39__E4_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse39__E4_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse42__E2_P1,0.980191945308734,0.980191945308734,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse42__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse42__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse42__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse42__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.9801977030615183,0.9802102461402622,1.254307874387628e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse43__E2_P1_1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse43__E2_P1_1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse43__E2_P1_1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse43__E2_P1_1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse43__E9_P1,0.9595053451554915,0.9595720104565627,6.66653010712448e-05,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse43__E9_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse43__E9_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190510_mouse43__E9_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190510_mouse43__E9_P1_prediction.nii.gz
Mouse,POLYIC_20190517_mouse33__E2_P1,0.9788390074594997,0.9788390074594997,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse33__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse33__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190517_mouse33__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190517_mouse33__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190517_mouse35__E2_P1,0.9807961735126405,0.9808005497030622,4.376190421706561e-06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse35__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse35__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190517_mouse35__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190517_mouse35__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190517_mouse36__E2_P1,0.9815811428250316,0.9815811428250316,0.0,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse36__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse36__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190517_mouse36__E2_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190517_mouse36__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190517_mouse37__E3_P1,0.970267861483366,0.9711711887059312,0.0009033272225652533,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190517_mouse37__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190517_mouse37__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/native_predictions/mouse/POLYIC_20190517_mouse37__E3_P1_prediction.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/filtered_predictions/mouse/POLYIC_20190517_mouse37__E3_P1_prediction.nii.gz
