domain,role,subject,slice,baseline_dice,unetr_style_dice,path
CAMRI,worst_dice,009,0,0.9887403479144617,0.9869593276130032,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/worst_dice_009.png
CAMRI,median_dice,043,0,0.9893833432090006,0.9882867594373421,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/median_dice_043.png
CAMRI,best_dice,078,51,0.9902644832412222,0.9900547611120529,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/best_dice_078.png
CAMRI,largest_improvement,064,52,0.9873471741637831,0.9881255252392411,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/largest_improvement_064.png
CAMRI,largest_regression,009,0,0.9887403479144617,0.9869593276130032,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/largest_regression_009.png
CAMRI,largest_hd95_improvement,064,52,0.9873471741637831,0.9881255252392411,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/largest_hd95_improvement_064.png
CAMRI,previously_pixelated,099,1,0.9893460194024758,0.9900270932782866,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/previously_pixelated_099.png
CAMRI,high_curvature,064,52,0.9873471741637831,0.9881255252392411,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/camri/high_curvature_064.png
Mouse,worst_dice,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.9595720104565627,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/worst_dice_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_dice,POLYIC_20190612_polyic___E3_P1,0,0.9815566960027279,0.9817157099002636,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/median_dice_POLYIC_20190612_polyic___E3_P1.png
Mouse,best_dice,POLYIC_20190531_polyic_m__E3_P1_2,8,0.9820229914044932,0.983976130891842,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/best_dice_POLYIC_20190531_polyic_m__E3_P1_2.png
Mouse,largest_improvement,POLYIC_20190510_mouse43__E2_P1_1,1,0.9722420109912477,0.9802102461402622,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/largest_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,largest_regression,POLYIC_20190517_mouse37__E3_P1,23,0.9742176125116561,0.9711711887059312,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/largest_regression_POLYIC_20190517_mouse37__E3_P1.png
Mouse,largest_hd95_improvement,POLYIC_20190510_mouse43__E2_P1_1,1,0.9722420109912477,0.9802102461402622,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/largest_hd95_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,previously_pixelated,POLYIC_20190517_mouse39__E12_P1,17,0.9763518471575521,0.975138864449041,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,8,0.9810138170360435,0.9811898550104786,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_augmented_decoder/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
