domain,role,subject,slice,baseline_dice,unetr_style_dice,path
CAMRI,worst_dice,064,34,0.9873471741637831,0.9854855413662071,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/worst_dice_064.png
CAMRI,median_dice,099,1,0.9893460194024758,0.9889287013517994,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/median_dice_099.png
CAMRI,best_dice,078,51,0.9902644832412222,0.9903421977165044,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/best_dice_078.png
CAMRI,largest_improvement,007,1,0.9879251379174042,0.9885037754685457,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/largest_improvement_007.png
CAMRI,largest_regression,064,34,0.9873471741637831,0.9854855413662071,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/largest_regression_064.png
CAMRI,largest_hd95_improvement,007,1,0.9879251379174042,0.9885037754685457,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/largest_hd95_improvement_007.png
CAMRI,previously_pixelated,099,1,0.9893460194024758,0.9889287013517994,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/previously_pixelated_099.png
CAMRI,high_curvature,064,34,0.9873471741637831,0.9854855413662071,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/camri/high_curvature_064.png
Mouse,worst_dice,POLYIC_20190510_mouse43__E9_P1,1,0.9531438429585958,0.9505579297245964,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/worst_dice_POLYIC_20190510_mouse43__E9_P1.png
Mouse,median_dice,POLYIC_20190628_mouse34__E6_P1,8,0.9815154306359157,0.9817201802059496,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/median_dice_POLYIC_20190628_mouse34__E6_P1.png
Mouse,best_dice,POLYIC_20190629_polyic_mo__E3_P1_5,8,0.9813578375432201,0.9839284118615724,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/best_dice_POLYIC_20190629_polyic_mo__E3_P1_5.png
Mouse,largest_improvement,POLYIC_20190510_mouse43__E2_P1_1,0,0.9722420109912477,0.9785953730384392,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/largest_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,largest_regression,POLYIC_20190524_polyic___E9_P1_1,4,0.9730556274894258,0.9697507289228369,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/largest_regression_POLYIC_20190524_polyic___E9_P1_1.png
Mouse,largest_hd95_improvement,POLYIC_20190510_mouse43__E2_P1_1,0,0.9722420109912477,0.9785953730384392,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/largest_hd95_improvement_POLYIC_20190510_mouse43__E2_P1_1.png
Mouse,previously_pixelated,POLYIC_20190517_mouse39__E12_P1,17,0.9763518471575521,0.9787346138874348,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/previously_pixelated_POLYIC_20190517_mouse39__E12_P1.png
Mouse,high_curvature,POLYIC_20190629_polyic_mo__E4_P1_4,8,0.9810138170360435,0.9825932110967214,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/unetr_style_level0_full_width_decoder/figures/mouse/high_curvature_POLYIC_20190629_polyic_mo__E4_P1_4.png
