domain,subject,error_type,error_voxels,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,orientation_codes,<=1 voxel_count,<=1 voxel_percent,>1 to 2 voxels_count,>1 to 2 voxels_percent,>2 to 3 voxels_count,>2 to 3 voxels_percent,>3 to 5 voxels_count,>3 to 5 voxels_percent,>5 voxels_count,>5 voxels_percent,distance_voxels_mean,distance_voxels_median,distance_voxels_p95,distance_voxels_maximum,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_maximum,le1_voxel_distance_mm_mean,le1_voxel_distance_mm_median,le1_voxel_distance_mm_p95,le1_voxel_distance_mm_maximum,gt1_to_2_voxels_distance_mm_mean,gt1_to_2_voxels_distance_mm_median,gt1_to_2_voxels_distance_mm_p95,gt1_to_2_voxels_distance_mm_maximum,gt2_to_3_voxels_distance_mm_mean,gt2_to_3_voxels_distance_mm_median,gt2_to_3_voxels_distance_mm_p95,gt2_to_3_voxels_distance_mm_maximum,gt3_to_5_voxels_distance_mm_mean,gt3_to_5_voxels_distance_mm_median,gt3_to_5_voxels_distance_mm_p95,gt3_to_5_voxels_distance_mm_maximum,gt5_voxels_distance_mm_mean,gt5_voxels_distance_mm_median,gt5_voxels_distance_mm_p95,gt5_voxels_distance_mm_maximum
CAMRI,064,FP,2690,0.200000003,0.200000003,0.200000003,RPI,2380,88.47583643,263,9.776951673,44,1.635687732,3,0.1115241636,0,0,1.078228748,1,1.414213562,3.31662479,0.2156457528,0.200000003,0.2828427167,0.663324968,0.200000003,0.200000003,0.200000003,0.200000003,0.3090309118,0.2828427167,0.400000006,0.400000006,0.4746295948,0.4472136022,0.5656854334,0.6000000089,0.6427453503,0.6324555415,0.6602380253,0.663324968,,,,
CAMRI,064,FN,4634,0.200000003,0.200000003,0.200000003,RPI,4633,99.97842037,1,0.02157962883,0,0,0,0,0,0,0.006131681822,0,0,1.414213562,0.001226336383,0,0,0.2828427167,0.001165551496,0,0,0.200000003,0.2828427167,0.2828427167,0.2828427167,0.2828427167,,,,,,,,,,,,
CAMRI,064,All,7324,0.200000003,0.200000003,0.200000003,RPI,7013,95.75368651,264,3.604587657,44,0.6007646095,3,0.04096122338,0,0,0.3998975349,0,1,3.31662479,0.07997950818,0,0.200000003,0.663324968,0.06864394798,0,0.200000003,0.200000003,0.3089317141,0.2828427167,0.400000006,0.400000006,0.4746295948,0.4472136022,0.5656854334,0.6000000089,0.6427453503,0.6324555415,0.6602380253,0.663324968,,,,
CAMRI,007,FP,1618,0.1000000015,0.1000000015,1,RIA,1440,88.99876391,170,10.50679852,8,0.4944375773,0,0,0,0,1.066737847,1,1.414213562,2.449489743,0.1287691708,0.1000000015,0.2828427167,0.5000000075,0.1174702141,0.1000000015,0.200000003,0.5000000075,0.2171854065,0.200000003,0.4123105687,0.5000000075,0.2837363632,0.2914213606,0.3706797236,0.400000006,,,,,,,,
CAMRI,007,FN,2294,0.1000000015,0.1000000015,1,RIA,2278,99.30252833,16,0.6974716652,0,0,0,0,0,0,0.0348515183,0,0,2,0.003896172839,0,0,0.3000000045,0.002355437008,0,0,0.1414213583,0.2232584368,0.200000003,0.3000000045,0.3000000045,,,,,,,,,,,,
CAMRI,007,All,3912,0.1000000015,0.1000000015,1,RIA,3718,95.0408998,186,4.754601227,8,0.2044989775,0,0,0,0,0.4616388599,0,1,2.449489743,0.05554354263,0,0.200000003,0.5000000075,0.04693996605,0,0.1414213583,0.5000000075,0.2177078177,0.200000003,0.409232928,0.5000000075,0.2837363632,0.2914213606,0.3706797236,0.400000006,,,,,,,,
CAMRI,043,FP,1316,0.1000000015,0.1000000015,1,RIA,1186,90.12158055,120,9.118541033,9,0.6838905775,1,0.07598784195,0,0,1.062781102,1,1.414213562,3.464101615,0.1217364915,0.1000000015,0.200000003,0.4472136022,0.1141558043,0.1000000015,0.200000003,0.4472136022,0.185547623,0.200000003,0.2236068011,0.3000000045,0.2433521063,0.2236068011,0.2828427167,0.2828427167,0.3605551329,0.3605551329,0.3605551329,0.3605551329,,,,
CAMRI,043,FN,2295,0.1000000015,0.1000000015,1,RIA,2291,99.82570806,4,0.174291939,0,0,0,0,0,0,0.01306086775,0,0,1.732050808,0.001371621313,0,0,0.2236068011,0.001065657526,0,0,0.1414213583,0.1766123802,0.1707106807,0.2200657814,0.2236068011,,,,,,,,,,,,
CAMRI,043,All,3611,0.1000000015,0.1000000015,1,RIA,3477,96.28911659,124,3.433951814,9,0.2492384381,1,0.02769315979,0,0,0.3956229912,0,1,3.464101615,0.04523763326,0,0.200000003,0.4472136022,0.03964055373,0,0.1414213583,0.4472136022,0.1852593894,0.200000003,0.2236068011,0.3000000045,0.2433521063,0.2236068011,0.2828427167,0.2828427167,0.3605551329,0.3605551329,0.3605551329,0.3605551329,,,,
CAMRI,078,FP,2833,0.200000003,0.200000003,0.200000003,RPI,2432,85.84539358,246,8.683374515,48,1.694316978,84,2.965054712,23,0.8118602188,1.207334102,1,2.236067977,7,0.2414668239,0.200000003,0.4472136022,1.400000021,0.200000003,0.200000003,0.200000003,0.200000003,0.3157398826,0.2828427167,0.400000006,0.400000006,0.505554727,0.468555779,0.6000000089,0.6000000089,0.8241661093,0.8246211374,0.9969693994,1.000000015,1.152474513,1.148912546,1.323599758,1.400000021
CAMRI,078,FN,3181,0.200000003,0.200000003,0.200000003,RPI,3180,99.96856334,1,0.03143665514,0,0,0,0,0,0,0.003902613506,0,0,1.414213562,0.0007805227128,0,0,0.2828427167,0.0006918239097,0,0,0.200000003,0.2828427167,0.2828427167,0.2828427167,0.2828427167,,,,,,,,,,,,
CAMRI,078,All,6014,0.200000003,0.200000003,0.200000003,RPI,5612,93.31559694,247,4.107083472,48,0.7981376787,84,1.396740938,23,0.3824409711,0.5708000871,0,1.414213562,7,0.1141600191,0,0.2828427167,1.400000021,0.08706343679,0,0.200000003,0.200000003,0.3156066957,0.2828427167,0.400000006,0.400000006,0.505554727,0.468555779,0.6000000089,0.6000000089,0.8241661093,0.8246211374,0.9969693994,1.000000015,1.152474513,1.148912546,1.323599758,1.400000021
CAMRI,009,FP,1963,0.1000000015,0.1000000015,1,RIA,1721,87.67193072,171,8.711156393,34,1.732042792,10,0.5094243505,27,1.375445746,1.166564169,1,2,8.062257748,0.1276588041,0.1000000015,0.2236068011,0.9000000134,0.1091503793,0.1000000015,0.200000003,0.509901959,0.1772079727,0.200000003,0.2236068011,0.2828427167,0.2703000186,0.2828427167,0.3605551329,0.3605551329,0.4029942407,0.4061552873,0.5000000075,0.5000000075,0.7119897485,0.7071067917,0.8845584544,0.9000000134
CAMRI,009,FN,1496,0.1000000015,0.1000000015,1,RIA,1470,98.26203209,26,1.737967914,0,0,0,0,0,0,0.06004574006,0,0,2,0.007825616944,0,0,0.5000000075,0.002985913121,0,0,0.2828427167,0.2814550254,0.3000000045,0.409232928,0.5000000075,,,,,,,,,,,,
CAMRI,009,All,3459,0.1000000015,0.1000000015,1,RIA,3191,92.25209598,197,5.695287655,34,0.9829430471,10,0.2891008962,27,0.7805724198,0.6880005467,1,1.414213562,8.062257748,0.0758315569,0.1000000015,0.200000003,0.9000000134,0.06024352713,0.1000000015,0.1414213583,0.509901959,0.190966467,0.200000003,0.3000000045,0.5000000075,0.2703000186,0.2828427167,0.3605551329,0.3605551329,0.4029942407,0.4061552873,0.5000000075,0.5000000075,0.7119897485,0.7071067917,0.8845584544,0.9000000134
CAMRI,099,FP,2041,0.1000000015,0.1000000015,1,RIA,1813,88.82900539,192,9.407153356,36,1.763841254,0,0,0,0,1.08538937,1,2,3,0.1292585765,0.1000000015,0.2236068011,0.7280109998,0.1205233517,0.1000000015,0.200000003,0.7280109998,0.1842437164,0.200000003,0.2236068011,0.3000000045,0.2759201222,0.3000000045,0.3000000045,0.3000000045,,,,,,,,
CAMRI,099,FN,1751,0.1000000015,0.1000000015,1,RIA,1751,100,0,0,0,0,0,0,0,0,0.002284408909,0,0,1,0.0002284408943,0,0,0.1000000015,0.0002284408943,0,0,0.1000000015,,,,,,,,,,,,,,,,
CAMRI,099,All,3792,0.1000000015,0.1000000015,1,RIA,3564,93.98734177,192,5.063291139,36,0.9493670886,0,0,0,0,0.5852530865,1,1.414213562,3,0.06967741417,0.1000000015,0.200000003,0.7280109998,0.06142223249,0.1000000015,0.200000003,0.7280109998,0.1842437164,0.200000003,0.2236068011,0.3000000045,0.2759201222,0.3000000045,0.3000000045,0.3000000045,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FP,7786,0.1000000015,0.1000000015,0.3999999166,LPS,5214,66.96634986,2087,26.80452094,383,4.919085538,102,1.310043668,0,0,1.311340381,1,2.236067977,5,0.253949494,0.200000003,0.7999998331,0.8062256094,0.176285393,0.1000000015,0.3999999166,0.3999999166,0.4236462529,0.2828427167,0.7999998331,0.7999998331,0.3336753106,0.3000000045,0.5000000075,0.8062256094,0.4524641905,0.4297620854,0.5826632488,0.6708203499,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FN,2020,0.1000000015,0.1000000015,0.3999999166,LPS,2020,100,0,0,0,0,0,0,0,0,0.01188118812,0,0,1,0.001377644928,0,0,0.200000003,0.001377644928,0,0,0.200000003,,,,,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,All,9806,0.1000000015,0.1000000015,0.3999999166,LPS,7234,73.77116051,2087,21.28288803,383,3.905771976,102,1.040179482,0,0,1.043656558,1,2,5,0.2019206203,0.1000000015,0.7999998331,0.8062256094,0.1274446892,0.1000000015,0.3999999166,0.3999999166,0.4236462529,0.2828427167,0.7999998331,0.7999998331,0.3336753106,0.3000000045,0.5000000075,0.8062256094,0.4524641905,0.4297620854,0.5826632488,0.6708203499,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,FP,7060,0.1000000015,0.1000000015,0.4000000656,LPS,4821,68.28611898,1583,22.42209632,538,7.620396601,113,1.600566572,5,0.07082152975,1.315681191,1,2.449489743,5.916079783,0.2170940065,0.1414213583,0.5000000075,0.9000000134,0.1683497443,0.1000000015,0.4000000656,0.4000000656,0.3083911175,0.200000003,0.8000001311,0.8000001311,0.3312882334,0.3000000045,0.7092073128,0.8544003873,0.4479388165,0.4123105687,0.8000000119,0.8944272043,0.8072547401,0.894427231,0.8988854569,0.9000000134
Mouse,POLYIC_20190510_mouse35__E3_P1,FN,2593,0.1000000015,0.1000000015,0.4000000656,LPS,2593,100,0,0,0,0,0,0,0,0,0.01658310837,0,0,1,0.002116965794,0,0,0.2236068011,0.002116965794,0,0,0.2236068011,,,,,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,All,9653,0.1000000015,0.1000000015,0.4000000656,LPS,7414,76.8051383,1583,16.39904693,538,5.573396871,113,1.170620532,5,0.05179736869,0.9667159651,1,2.236067977,5.916079783,0.1593466257,0.1000000015,0.4123106265,0.9000000134,0.1102108726,0.1000000015,0.4000000656,0.4000000656,0.3083911175,0.200000003,0.8000001311,0.8000001311,0.3312882334,0.3000000045,0.7092073128,0.8544003873,0.4479388165,0.4123105687,0.8000000119,0.8944272043,0.8072547401,0.894427231,0.8988854569,0.9000000134
Mouse,POLYIC_20190510_mouse37__E2_P1,FP,4563,0.1000000015,0.1000000015,0.3999997675,LPS,3788,83.01555994,556,12.18496603,163,3.572211265,56,1.227262766,0,0,1.152305766,1,2,4.898979486,0.175334259,0.1000000015,0.3999997675,0.7549833285,0.1596653,0.1000000015,0.3999997675,0.3999997675,0.2119068038,0.200000003,0.3704163512,0.5000000075,0.3111668629,0.3000000045,0.4472136022,0.5744561072,0.4767443888,0.4472136022,0.6708202966,0.7549833285,,,,
Mouse,POLYIC_20190510_mouse37__E2_P1,FN,2877,0.1000000015,0.1000000015,0.3999997675,LPS,2875,99.93048314,2,0.06951685784,0,0,0,0,0,0,0.01210581409,0,0,1.414213562,0.001429807561,0,0,0.2828427167,0.001332422134,0,0,0.2828427167,0.1414213583,0.1414213583,0.1414213583,0.1414213583,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse37__E2_P1,All,7440,0.1000000015,0.1000000015,0.3999997675,LPS,6663,89.55645161,558,7.5,163,2.190860215,56,0.752688172,0,0,0.7113978004,1,1.732050808,4.898979486,0.1080865296,0.1000000015,0.3999997675,0.7549833285,0.09134667119,0.1000000015,0.3999997675,0.3999997675,0.2116541678,0.200000003,0.3664718639,0.5000000075,0.3111668629,0.3000000045,0.4472136022,0.5744561072,0.4767443888,0.4472136022,0.6708202966,0.7549833285,,,,
Mouse,POLYIC_20190510_mouse38__E2_P1,FP,5304,0.1000000015,0.1000000015,0.3999999762,LPS,4305,81.16515837,795,14.98868778,183,3.450226244,21,0.3959276018,0,0,1.153016747,1,2,4.69041576,0.1827534044,0.1000000015,0.3999999762,0.7071067917,0.1680119514,0.1000000015,0.3999999762,0.3999999762,0.2213527982,0.200000003,0.4123105398,0.5385164666,0.3306204442,0.3000000045,0.4867338934,0.5099019356,0.4549328623,0.400000006,0.6403124333,0.7071067917,,,,
Mouse,POLYIC_20190510_mouse38__E2_P1,FN,2401,0.1000000015,0.1000000015,0.3999999762,LPS,2398,99.87505206,3,0.1249479384,0,0,0,0,0,0,0.007669393404,0,0,2,0.0008329862681,0,0,0.200000003,0.0005838198586,0,0,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse38__E2_P1,All,7705,0.1000000015,0.1000000015,0.3999999762,LPS,6703,86.9954575,798,10.3569111,183,2.375081116,21,0.272550292,0,0,0.7961083765,1,2,4.69041576,0.1260641216,0.1000000015,0.3999999762,0.7071067917,0.1081144936,0.1000000015,0.3999999762,0.3999999762,0.2212725245,0.200000003,0.4123105398,0.5385164666,0.3306204442,0.3000000045,0.4867338934,0.5099019356,0.4549328623,0.400000006,0.6403124333,0.7071067917,,,,
Mouse,POLYIC_20190510_mouse39__E4_P1,FP,4745,0.1000000015,0.1000000015,0.3999998868,LPS,3663,77.19704953,819,17.26027397,202,4.25711275,57,1.201264489,4,0.08429926238,1.204569723,1,2.236067977,5.656854249,0.1937252811,0.1414213583,0.3999998868,0.8602324841,0.1707555745,0.1000000015,0.3999998868,0.3999998868,0.2496762139,0.200000003,0.6403123588,0.7999997735,0.2929636182,0.2828427167,0.400000006,0.5000000075,0.4717945496,0.4472136022,0.7071067378,0.7810249182,0.7982575176,0.8058436602,0.8557969627,0.8602324841
Mouse,POLYIC_20190510_mouse39__E4_P1,FN,4151,0.1000000015,0.1000000015,0.3999998868,LPS,4130,99.49409781,18,0.4336304505,3,0.07227174175,0,0,0,0,0.04771037324,0,0,3,0.00559194095,0,0,0.3000000045,0.004527503759,0,0,0.3000000045,0.2017063129,0.200000003,0.2854163099,0.3000000045,0.2942809085,0.3000000045,0.3000000045,0.3000000045,,,,,,,,
Mouse,POLYIC_20190510_mouse39__E4_P1,All,8896,0.1000000015,0.1000000015,0.3999998868,LPS,7793,87.60116906,837,9.408723022,205,2.304406475,57,0.6407374101,4,0.04496402878,0.6647627133,1,2,5.656854249,0.1059395915,0.1000000015,0.3999998868,0.8602324841,0.08266088283,0,0.3999998868,0.3999998868,0.2486446031,0.200000003,0.6403123588,0.7999997735,0.2929828956,0.2828427167,0.400000006,0.5000000075,0.4717945496,0.4472136022,0.7071067378,0.7810249182,0.7982575176,0.8058436602,0.8557969627,0.8602324841
